Theta,Pitch,Duty Cycle,Fill Factor,Mode,Lambda,Transmission
14,7.50E-07,0.65,0.25,0,0.0000017,0.0010884
14,7.50E-07,0.65,0.25,0,1.69738E-06,0.000898214
14,7.50E-07,0.65,0.25,0,1.69476E-06,0.000692504
14,7.50E-07,0.65,0.25,0,1.69215E-06,0.000489808
14,7.50E-07,0.65,0.25,0,1.68955E-06,0.000311278
14,7.50E-07,0.65,0.25,0,1.68696E-06,0.000179975
14,7.50E-07,0.65,0.25,0,1.68437E-06,0.000119993
14,7.50E-07,0.65,0.25,0,1.6818E-06,0.00015544
14,7.50E-07,0.65,0.25,0,1.67923E-06,0.000309316
14,7.50E-07,0.65,0.25,0,1.67667E-06,0.000602368
14,7.50E-07,0.65,0.25,0,1.67411E-06,0.00105206
14,7.50E-07,0.65,0.25,0,1.67157E-06,0.00167179
14,7.50E-07,0.65,0.25,0,1.66903E-06,0.0024705
14,7.50E-07,0.65,0.25,0,1.6665E-06,0.00345295
14,7.50E-07,0.65,0.25,0,1.66398E-06,0.00462054
14,7.50E-07,0.65,0.25,0,1.66147E-06,0.0059731
14,7.50E-07,0.65,0.25,0,1.65896E-06,0.00751133
14,7.50E-07,0.65,0.25,0,1.65646E-06,0.00924006
14,7.50E-07,0.65,0.25,0,1.65397E-06,0.0111719
14,7.50E-07,0.65,0.25,0,1.65148E-06,0.0133314
14,7.50E-07,0.65,0.25,0,1.64901E-06,0.0157588
14,7.50E-07,0.65,0.25,0,1.64654E-06,0.0185133
14,7.50E-07,0.65,0.25,0,1.64407E-06,0.0216759
14,7.50E-07,0.65,0.25,0,1.64162E-06,0.0253501
14,7.50E-07,0.65,0.25,0,1.63917E-06,0.0296612
14,7.50E-07,0.65,0.25,0,1.63673E-06,0.0347539
14,7.50E-07,0.65,0.25,0,1.6343E-06,0.0407869
14,7.50E-07,0.65,0.25,0,1.63187E-06,0.0479257
14,7.50E-07,0.65,0.25,0,1.62946E-06,0.0563338
14,7.50E-07,0.65,0.25,0,1.62704E-06,0.0661614
14,7.50E-07,0.65,0.25,0,1.62464E-06,0.0775332
14,7.50E-07,0.65,0.25,0,1.62224E-06,0.0905366
14,7.50E-07,0.65,0.25,0,1.61985E-06,0.105209
14,7.50E-07,0.65,0.25,0,1.61747E-06,0.121528
14,7.50E-07,0.65,0.25,0,1.61509E-06,0.1394
14,7.50E-07,0.65,0.25,0,1.61272E-06,0.15866
14,7.50E-07,0.65,0.25,0,1.61036E-06,0.179065
14,7.50E-07,0.65,0.25,0,1.60801E-06,0.200298
14,7.50E-07,0.65,0.25,0,1.60566E-06,0.221976
14,7.50E-07,0.65,0.25,0,1.60332E-06,0.243661
14,7.50E-07,0.65,0.25,0,1.60098E-06,0.264872
14,7.50E-07,0.65,0.25,0,1.59866E-06,0.285108
14,7.50E-07,0.65,0.25,0,1.59633E-06,0.303866
14,7.50E-07,0.65,0.25,0,1.59402E-06,0.320663
14,7.50E-07,0.65,0.25,0,1.59171E-06,0.335058
14,7.50E-07,0.65,0.25,0,1.58941E-06,0.34667
14,7.50E-07,0.65,0.25,0,1.58712E-06,0.355198
14,7.50E-07,0.65,0.25,0,1.58483E-06,0.360434
14,7.50E-07,0.65,0.25,0,1.58255E-06,0.362267
14,7.50E-07,0.65,0.25,0,1.58027E-06,0.360694
14,7.50E-07,0.65,0.25,0,1.57801E-06,0.355813
14,7.50E-07,0.65,0.25,0,1.57574E-06,0.347816
14,7.50E-07,0.65,0.25,0,1.57349E-06,0.336982
14,7.50E-07,0.65,0.25,0,1.57124E-06,0.323658
14,7.50E-07,0.65,0.25,0,0.000001569,0.308245
14,7.50E-07,0.65,0.25,0,1.56676E-06,0.291174
14,7.50E-07,0.65,0.25,0,1.56453E-06,0.272893
14,7.50E-07,0.65,0.25,0,1.56231E-06,0.253843
14,7.50E-07,0.65,0.25,0,1.56009E-06,0.234443
14,7.50E-07,0.65,0.25,0,1.55788E-06,0.215078
14,7.50E-07,0.65,0.25,0,1.55568E-06,0.196086
14,7.50E-07,0.65,0.25,0,1.55348E-06,0.177749
14,7.50E-07,0.65,0.25,0,1.55129E-06,0.160294
14,7.50E-07,0.65,0.25,0,1.5491E-06,0.143887
14,7.50E-07,0.65,0.25,0,1.54692E-06,0.128638
14,7.50E-07,0.65,0.25,0,1.54475E-06,0.114606
14,7.50E-07,0.65,0.25,0,1.54258E-06,0.101806
14,7.50E-07,0.65,0.25,0,1.54042E-06,0.0902149
14,7.50E-07,0.65,0.25,0,1.53827E-06,0.0797815
14,7.50E-07,0.65,0.25,0,1.53612E-06,0.0704348
14,7.50E-07,0.65,0.25,0,1.53397E-06,0.0620915
14,7.50E-07,0.65,0.25,0,1.53184E-06,0.0546625
14,7.50E-07,0.65,0.25,0,1.5297E-06,0.0480587
14,7.50E-07,0.65,0.25,0,1.52758E-06,0.0421954
14,7.50E-07,0.65,0.25,0,1.52546E-06,0.0369947
14,7.50E-07,0.65,0.25,0,1.52335E-06,0.0323874
14,7.50E-07,0.65,0.25,0,1.52124E-06,0.0283133
14,7.50E-07,0.65,0.25,0,1.51914E-06,0.0247207
14,7.50E-07,0.65,0.25,0,1.51704E-06,0.0215653
14,7.50E-07,0.65,0.25,0,1.51495E-06,0.0188087
14,7.50E-07,0.65,0.25,0,1.51287E-06,0.0164169
14,7.50E-07,0.65,0.25,0,1.51079E-06,0.0143585
14,7.50E-07,0.65,0.25,0,1.50871E-06,0.0126036
14,7.50E-07,0.65,0.25,0,1.50665E-06,0.0111227
14,7.50E-07,0.65,0.25,0,1.50458E-06,0.00988569
14,7.50E-07,0.65,0.25,0,1.50253E-06,0.00886244
14,7.50E-07,0.65,0.25,0,1.50048E-06,0.00802226
14,7.50E-07,0.65,0.25,0,1.49843E-06,0.00733466
14,7.50E-07,0.65,0.25,0,1.49639E-06,0.00676997
14,7.50E-07,0.65,0.25,0,1.49436E-06,0.00630015
14,7.50E-07,0.65,0.25,0,1.49233E-06,0.00589954
14,7.50E-07,0.65,0.25,0,1.49031E-06,0.00554565
14,7.50E-07,0.65,0.25,0,1.48829E-06,0.0052197
14,7.50E-07,0.65,0.25,0,1.48628E-06,0.00490696
14,7.50E-07,0.65,0.25,0,1.48427E-06,0.00459693
14,7.50E-07,0.65,0.25,0,1.48227E-06,0.00428314
14,7.50E-07,0.65,0.25,0,1.48028E-06,0.00396288
14,7.50E-07,0.65,0.25,0,1.47829E-06,0.00363661
14,7.50E-07,0.65,0.25,0,1.4763E-06,0.00330733
14,7.50E-07,0.65,0.25,0,1.47432E-06,0.00297978
14,7.50E-07,0.65,0.25,0,1.47235E-06,0.00265975
14,7.50E-07,0.65,0.25,0,1.47038E-06,0.0023533
14,7.50E-07,0.65,0.25,0,1.46841E-06,0.00206619
14,7.50E-07,0.65,0.25,0,1.46646E-06,0.00180332
14,7.50E-07,0.65,0.25,0,1.4645E-06,0.00156842
14,7.50E-07,0.65,0.25,0,1.46255E-06,0.00136386
14,7.50E-07,0.65,0.25,0,1.46061E-06,0.00119053
14,7.50E-07,0.65,0.25,0,1.45867E-06,0.00104798
14,7.50E-07,0.65,0.25,0,1.45674E-06,0.000934536
14,7.50E-07,0.65,0.25,0,1.45481E-06,0.000847603
14,7.50E-07,0.65,0.25,0,1.45289E-06,0.000783909
14,7.50E-07,0.65,0.25,0,1.45097E-06,0.000739843
14,7.50E-07,0.65,0.25,0,1.44906E-06,0.000711749
14,7.50E-07,0.65,0.25,0,1.44715E-06,0.000696206
14,7.50E-07,0.65,0.25,0,1.44525E-06,0.000690266
14,7.50E-07,0.65,0.25,0,1.44335E-06,0.000691644
14,7.50E-07,0.65,0.25,0,1.44146E-06,0.000698849
14,7.50E-07,0.65,0.25,0,1.43957E-06,0.000711267
14,7.50E-07,0.65,0.25,0,1.43769E-06,0.000729181
14,7.50E-07,0.65,0.25,0,1.43581E-06,0.000753751
14,7.50E-07,0.65,0.25,0,1.43394E-06,0.000786943
14,7.50E-07,0.65,0.25,0,1.43207E-06,0.000831433
14,7.50E-07,0.65,0.25,0,1.43021E-06,0.000890481
14,7.50E-07,0.65,0.25,0,1.42835E-06,0.000967798
14,7.50E-07,0.65,0.25,0,1.4265E-06,0.00106741
14,7.50E-07,0.65,0.25,0,1.42465E-06,0.00119351
14,7.50E-07,0.65,0.25,0,1.42281E-06,0.00135039
14,7.50E-07,0.65,0.25,0,1.42097E-06,0.00154229
14,7.50E-07,0.65,0.25,0,1.41914E-06,0.00177335
14,7.50E-07,0.65,0.25,0,1.41731E-06,0.00204754
14,7.50E-07,0.65,0.25,0,1.41548E-06,0.00236862
14,7.50E-07,0.65,0.25,0,1.41366E-06,0.00274008
14,7.50E-07,0.65,0.25,0,1.41185E-06,0.00316509
14,7.50E-07,0.65,0.25,0,1.41004E-06,0.00364645
14,7.50E-07,0.65,0.25,0,1.40823E-06,0.00418649
14,7.50E-07,0.65,0.25,0,1.40643E-06,0.00478704
14,7.50E-07,0.65,0.25,0,1.40463E-06,0.00544928
14,7.50E-07,0.65,0.25,0,1.40284E-06,0.00617368
14,7.50E-07,0.65,0.25,0,1.40105E-06,0.0069599
14,7.50E-07,0.65,0.25,0,1.39927E-06,0.00780673
14,7.50E-07,0.65,0.25,0,1.39749E-06,0.00871207
14,7.50E-07,0.65,0.25,0,1.39572E-06,0.00967288
14,7.50E-07,0.65,0.25,0,1.39395E-06,0.0106853
14,7.50E-07,0.65,0.25,0,1.39218E-06,0.0117445
14,7.50E-07,0.65,0.25,0,1.39042E-06,0.0128451
14,7.50E-07,0.65,0.25,0,1.38866E-06,0.0139809
14,7.50E-07,0.65,0.25,0,1.38691E-06,0.0151452
14,7.50E-07,0.65,0.25,0,1.38517E-06,0.0163309
14,7.50E-07,0.65,0.25,0,1.38342E-06,0.0175304
14,7.50E-07,0.65,0.25,0,1.38168E-06,0.0187357
14,7.50E-07,0.65,0.25,0,1.37995E-06,0.0199382
14,7.50E-07,0.65,0.25,0,1.37822E-06,0.0211293
14,7.50E-07,0.65,0.25,0,1.37649E-06,0.0222994
14,7.50E-07,0.65,0.25,0,1.37477E-06,0.0234388
14,7.50E-07,0.65,0.25,0,1.37306E-06,0.0245371
14,7.50E-07,0.65,0.25,0,1.37134E-06,0.0255832
14,7.50E-07,0.65,0.25,0,1.36964E-06,0.026566
14,7.50E-07,0.65,0.25,0,1.36793E-06,0.0274738
14,7.50E-07,0.65,0.25,0,1.36623E-06,0.0282953
14,7.50E-07,0.65,0.25,0,1.36454E-06,0.0290193
14,7.50E-07,0.65,0.25,0,1.36284E-06,0.0296357
14,7.50E-07,0.65,0.25,0,1.36116E-06,0.0301354
14,7.50E-07,0.65,0.25,0,1.35947E-06,0.0305116
14,7.50E-07,0.65,0.25,0,1.3578E-06,0.0307594
14,7.50E-07,0.65,0.25,0,1.35612E-06,0.030877
14,7.50E-07,0.65,0.25,0,1.35445E-06,0.0308655
14,7.50E-07,0.65,0.25,0,1.35278E-06,0.0307296
14,7.50E-07,0.65,0.25,0,1.35112E-06,0.0304773
14,7.50E-07,0.65,0.25,0,1.34946E-06,0.0301199
14,7.50E-07,0.65,0.25,0,1.34781E-06,0.0296721
14,7.50E-07,0.65,0.25,0,1.34616E-06,0.0291507
14,7.50E-07,0.65,0.25,0,1.34451E-06,0.0285748
14,7.50E-07,0.65,0.25,0,1.34287E-06,0.0279645
14,7.50E-07,0.65,0.25,0,1.34123E-06,0.0273403
14,7.50E-07,0.65,0.25,0,1.3396E-06,0.0267221
14,7.50E-07,0.65,0.25,0,1.33797E-06,0.0261285
14,7.50E-07,0.65,0.25,0,1.33634E-06,0.0255759
14,7.50E-07,0.65,0.25,0,1.33472E-06,0.0250779
14,7.50E-07,0.65,0.25,0,1.3331E-06,0.0246449
14,7.50E-07,0.65,0.25,0,1.33149E-06,0.0242835
14,7.50E-07,0.65,0.25,0,1.32988E-06,0.0239966
14,7.50E-07,0.65,0.25,0,1.32827E-06,0.0237834
14,7.50E-07,0.65,0.25,0,1.32667E-06,0.0236398
14,7.50E-07,0.65,0.25,0,1.32507E-06,0.0235582
14,7.50E-07,0.65,0.25,0,1.32347E-06,0.0235286
14,7.50E-07,0.65,0.25,0,1.32188E-06,0.0235388
14,7.50E-07,0.65,0.25,0,1.32029E-06,0.0235752
14,7.50E-07,0.65,0.25,0,1.31871E-06,0.0236231
14,7.50E-07,0.65,0.25,0,1.31713E-06,0.0236677
14,7.50E-07,0.65,0.25,0,1.31555E-06,0.0236944
14,7.50E-07,0.65,0.25,0,1.31398E-06,0.0236892
14,7.50E-07,0.65,0.25,0,1.31241E-06,0.0236396
14,7.50E-07,0.65,0.25,0,1.31085E-06,0.0235344
14,7.50E-07,0.65,0.25,0,1.30929E-06,0.0233643
14,7.50E-07,0.65,0.25,0,1.30773E-06,0.0231222
14,7.50E-07,0.65,0.25,0,1.30618E-06,0.022803
14,7.50E-07,0.65,0.25,0,1.30463E-06,0.0224037
14,7.50E-07,0.65,0.25,0,1.30308E-06,0.0219234
14,7.50E-07,0.65,0.25,0,1.30154E-06,0.0213635
14,7.50E-07,0.65,0.25,0,0.0000013,0.0207269
14,7.50E-07,0.65,0.25,1,0.0000017,-0.00841129
14,7.50E-07,0.65,0.25,1,1.69738E-06,-0.00870585
14,7.50E-07,0.65,0.25,1,1.69476E-06,-0.00894641
14,7.50E-07,0.65,0.25,1,1.69215E-06,-0.0091172
14,7.50E-07,0.65,0.25,1,1.68955E-06,-0.00922177
14,7.50E-07,0.65,0.25,1,1.68696E-06,-0.00928378
14,7.50E-07,0.65,0.25,1,1.68437E-06,-0.00934158
14,7.50E-07,0.65,0.25,1,1.6818E-06,-0.00943795
14,7.50E-07,0.65,0.25,1,1.67923E-06,-0.00960789
14,7.50E-07,0.65,0.25,1,1.67667E-06,-0.00986812
14,7.50E-07,0.65,0.25,1,1.67411E-06,-0.0102116
14,7.50E-07,0.65,0.25,1,1.67157E-06,-0.0106088
14,7.50E-07,0.65,0.25,1,1.66903E-06,-0.011016
14,7.50E-07,0.65,0.25,1,1.6665E-06,-0.0113882
14,7.50E-07,0.65,0.25,1,1.66398E-06,-0.011693
14,7.50E-07,0.65,0.25,1,1.66147E-06,-0.0119217
14,7.50E-07,0.65,0.25,1,1.65896E-06,-0.012094
14,7.50E-07,0.65,0.25,1,1.65646E-06,-0.0122556
14,7.50E-07,0.65,0.25,1,1.65397E-06,-0.0124685
14,7.50E-07,0.65,0.25,1,1.65148E-06,-0.0127988
14,7.50E-07,0.65,0.25,1,1.64901E-06,-0.0133051
14,7.50E-07,0.65,0.25,1,1.64654E-06,-0.0140315
14,7.50E-07,0.65,0.25,1,1.64407E-06,-0.0150097
14,7.50E-07,0.65,0.25,1,1.64162E-06,-0.016269
14,7.50E-07,0.65,0.25,1,1.63917E-06,-0.0178519
14,7.50E-07,0.65,0.25,1,1.63673E-06,-0.019832
14,7.50E-07,0.65,0.25,1,1.6343E-06,-0.022326
14,7.50E-07,0.65,0.25,1,1.63187E-06,-0.0254971
14,7.50E-07,0.65,0.25,1,1.62946E-06,-0.0295447
14,7.50E-07,0.65,0.25,1,1.62704E-06,-0.0346829
14,7.50E-07,0.65,0.25,1,1.62464E-06,-0.0411092
14,7.50E-07,0.65,0.25,1,1.62224E-06,-0.0489724
14,7.50E-07,0.65,0.25,1,1.61985E-06,-0.0583462
14,7.50E-07,0.65,0.25,1,1.61747E-06,-0.0692149
14,7.50E-07,0.65,0.25,1,1.61509E-06,-0.0814769
14,7.50E-07,0.65,0.25,1,1.61272E-06,-0.0949637
14,7.50E-07,0.65,0.25,1,1.61036E-06,-0.109471
14,7.50E-07,0.65,0.25,1,1.60801E-06,-0.124795
14,7.50E-07,0.65,0.25,1,1.60566E-06,-0.14076
14,7.50E-07,0.65,0.25,1,1.60332E-06,-0.157238
14,7.50E-07,0.65,0.25,1,1.60098E-06,-0.174143
14,7.50E-07,0.65,0.25,1,1.59866E-06,-0.191409
14,7.50E-07,0.65,0.25,1,1.59633E-06,-0.208957
