,training_loss_mse,testing_loss_mse,learning_rate
0,0.8233678,0.8323413,0.001
1,0.7201231,0.728156,0.001
2,0.67958087,0.68789476,0.001
3,0.6376488,0.6459764,0.001
4,0.5890498,0.59663135,0.001
5,0.5384697,0.5448628,0.001
6,0.48339635,0.4876929,0.001
7,0.42417762,0.42771673,0.001
8,0.3681145,0.37091243,0.001
9,0.32293066,0.3261077,0.001
10,0.28563794,0.2882141,0.001
11,0.24977234,0.25054437,0.001
12,0.22665876,0.22673248,0.001
13,0.19414769,0.19402382,0.001
14,0.18032087,0.18035111,0.001
15,0.1631615,0.16244182,0.001
16,0.15924704,0.15894891,0.001
17,0.14113213,0.14020312,0.001
18,0.14054672,0.13993157,0.001
19,0.12716465,0.12627977,0.001
20,0.12987092,0.12916932,0.001
21,0.1171929,0.11611576,0.001
22,0.11281313,0.11180817,0.001
23,0.10967014,0.10854018,0.001
24,0.13040744,0.12981254,0.001
25,0.103823036,0.1027312,0.001
26,0.10203517,0.10088753,0.001
27,0.09980571,0.09881523,0.001
28,0.09656669,0.095533736,0.001
29,0.094695345,0.09369051,0.001
30,0.09280751,0.09178515,0.001
31,0.09109408,0.090066634,0.001
32,0.08943946,0.08843071,0.001
33,0.08790009,0.086912505,0.001
34,0.08638513,0.08543839,0.001
35,0.08833232,0.087422855,0.001
36,0.08551697,0.08462756,0.001
37,0.08245114,0.08155033,0.001
38,0.08155855,0.080706045,0.001
39,0.08553228,0.084729336,0.001
40,0.07937927,0.07852521,0.001
41,0.07893748,0.07811388,0.001
42,0.07791825,0.07709816,0.001
43,0.08340981,0.08264806,0.001
44,0.07743612,0.07666617,0.001
45,0.075494125,0.07473102,0.001
46,0.08424153,0.08351404,0.001
47,0.077315405,0.07659886,0.001
48,0.07337041,0.07264146,0.001
49,0.073127866,0.07243121,0.001
50,0.071674444,0.0710086,0.001
51,0.071071826,0.070429854,0.001
52,0.070440166,0.0698338,0.001
53,0.06982279,0.06924291,0.001
54,0.069248386,0.068685785,0.001
55,0.068797596,0.068250746,0.001
56,0.06833107,0.06780299,0.001
57,0.06808468,0.0675626,0.001
58,0.06714453,0.06664957,0.001
59,0.066934824,0.066433854,0.001
60,0.06624855,0.06578962,0.001
61,0.06646881,0.06600729,0.001
62,0.06520753,0.064790696,0.001
63,0.06505904,0.06461044,0.001
64,0.064390354,0.06395331,0.001
65,0.063929185,0.0635242,0.001
66,0.06347889,0.06310644,0.001
67,0.06317589,0.06281279,0.001
68,0.062807165,0.062477306,0.001
69,0.06277139,0.062455747,0.001
70,0.068361156,0.06801933,0.001
71,0.0620782,0.06170994,0.001
72,0.06191702,0.06157199,0.001
73,0.061501857,0.061185084,0.001
74,0.061298784,0.061011627,0.001
75,0.061299443,0.06101309,0.001
76,0.060835894,0.060614325,0.001
77,0.06038126,0.060184237,0.001
78,0.06372473,0.06347136,0.001
79,0.059485685,0.05929192,0.001
80,0.058977935,0.058814332,0.001
81,0.05920929,0.05905677,0.001
82,0.06113919,0.06101659,0.001
83,0.059770156,0.059599623,0.001
84,0.05893993,0.058799915,0.001
85,0.05747671,0.057345245,0.001
86,0.05741607,0.05730592,0.001
87,0.057040855,0.056953803,0.001
88,0.0569628,0.056887608,0.001
89,0.05669407,0.05663416,0.001
90,0.056486987,0.056427415,0.001
91,0.05634255,0.056287136,0.001
92,0.056107406,0.05606617,0.001
93,0.055594932,0.05556184,0.001
94,0.05681833,0.05677777,0.001
95,0.057030138,0.056978725,0.001
96,0.055932976,0.055945348,0.001
97,0.06210088,0.061969344,0.001
98,0.056489795,0.05652706,0.001
99,0.055075586,0.05510376,0.001
100,0.05431121,0.0543375,0.001
101,0.053900924,0.053928085,0.001
102,0.057610765,0.057595063,0.001
103,0.053703565,0.05374453,0.001
104,0.055481646,0.055519287,0.001
105,0.053340912,0.05341745,0.001
106,0.0550611,0.055106882,0.001
107,0.0532382,0.053342283,0.001
108,0.0566696,0.05669305,0.001
109,0.052828245,0.052928086,0.001
110,0.055828612,0.05586168,0.001
111,0.05269264,0.052809313,0.001
112,0.05381071,0.053855173,0.001
113,0.05273095,0.052860945,0.001
114,0.053832613,0.053918906,0.001
115,0.05208678,0.052240137,0.001
116,0.053315416,0.05339232,0.001
117,0.052316513,0.052461497,0.001
118,0.052685294,0.0528231,0.001
119,0.052578565,0.0527201,0.001
120,0.052538108,0.052680895,0.001
121,0.052201815,0.052355383,0.001
122,0.05315805,0.053274814,0.001
123,0.052665893,0.0528137,0.001
124,0.05144085,0.051617704,0.001
125,0.05245044,0.05255855,0.001
126,0.051097687,0.05130159,0.001
127,0.051618807,0.051768087,0.001
128,0.050500136,0.050730497,0.001
129,0.052865706,0.053201847,0.001
130,0.052262053,0.052636523,0.001
131,0.058633745,0.059133183,0.001
132,0.05523265,0.05562549,0.001
133,0.054917637,0.055326752,0.001
134,0.053467214,0.053864278,0.001
135,0.053419534,0.0538361,0.001
136,0.05261292,0.052999448,0.001
137,0.05083375,0.051174533,0.001
138,0.050356474,0.050698616,0.001
139,0.051312245,0.05167634,0.001
140,0.051009472,0.0513671,0.001
141,0.050625708,0.050971527,0.001
142,0.051014826,0.051381167,0.001
143,0.05030777,0.050674137,0.001
144,0.05112969,0.051552843,0.001
145,0.05074829,0.051166363,0.001
146,0.049149573,0.049549498,0.001
147,0.05043186,0.050877772,0.001
148,0.05061171,0.051046263,0.001
149,0.048700534,0.049093258,0.001
150,0.04907125,0.049517542,0.001
151,0.049239606,0.0496951,0.001
152,0.050645597,0.051132552,0.001
153,0.04751191,0.04789841,0.001
154,0.048504658,0.04895991,0.001
155,0.047273725,0.047712747,0.001
156,0.047256775,0.047715172,0.001
157,0.046435364,0.046893157,0.001
158,0.04605023,0.046485703,0.001
159,0.04604141,0.046455044,0.001
160,0.04604911,0.046454407,0.001
161,0.045812987,0.04624775,0.001
162,0.046022743,0.046440523,0.001
163,0.04615928,0.04653166,0.001
164,0.045819808,0.046235435,0.001
165,0.04681489,0.047220428,0.001
166,0.04579969,0.04628072,0.001
167,0.0461148,0.046540294,0.001
168,0.045623027,0.046078913,0.001
169,0.045020916,0.045498107,0.001
170,0.04526611,0.045733705,0.001
171,0.044852983,0.045326214,0.001
172,0.04490441,0.0453955,0.001
173,0.04487492,0.04536637,0.001
174,0.04460296,0.045084707,0.001
175,0.045382332,0.04589965,0.001
176,0.04460997,0.045137927,0.001
177,0.044582583,0.04510408,0.001
178,0.044579986,0.04512288,0.001
179,0.04479654,0.045314025,0.001
180,0.044784594,0.04531285,0.001
181,0.048522696,0.048937976,0.001
182,0.054731525,0.0554883,0.001
183,0.04540781,0.04605939,0.001
184,0.046405606,0.047085773,0.001
185,0.044593032,0.045236543,0.001
186,0.045346934,0.045984015,0.001
187,0.04461466,0.04527881,0.001
188,0.045065988,0.045690484,0.001
189,0.044252638,0.0449464,0.001
190,0.04493466,0.045605794,0.001
191,0.04434144,0.0450313,0.001
192,0.04441434,0.04514055,0.001
193,0.043949455,0.044577025,0.001
194,0.043456197,0.044058304,0.001
195,0.043584567,0.04417138,0.001
196,0.0448827,0.045473482,0.001
197,0.04290945,0.043585498,0.001
198,0.042447828,0.043058537,0.001
199,0.042939607,0.04352704,0.001
200,0.04426914,0.044828556,0.001
201,0.042938523,0.043536454,0.001
202,0.0429075,0.043513294,0.001
203,0.043040253,0.04366586,0.001
204,0.042938642,0.043562595,0.001
205,0.043708377,0.044262312,0.001
206,0.04386046,0.04440383,0.001
207,0.043793943,0.04434598,0.001
208,0.04490512,0.04552231,0.001
209,0.04295723,0.043665335,0.001
210,0.046443574,0.047235366,0.001
211,0.04306951,0.043745108,0.001
212,0.042011753,0.04277447,0.001
213,0.04348577,0.044256546,0.001
214,0.04315269,0.04391698,0.001
215,0.042456884,0.04325608,0.001
216,0.040969416,0.04169559,0.001
217,0.04134287,0.042135462,0.001
218,0.04151723,0.04231514,0.001
219,0.040579144,0.041343626,0.001
220,0.041100107,0.04181792,0.001
221,0.041203067,0.04195027,0.001
222,0.040565573,0.041301213,0.001
223,0.040226173,0.04100661,0.001
224,0.040351007,0.041118853,0.001
225,0.041085374,0.04184295,0.001
226,0.0416642,0.04244328,0.001
227,0.045059517,0.045797333,0.001
228,0.040924095,0.041673772,0.001
229,0.04149061,0.042228222,0.001
230,0.040958,0.041787103,0.001
231,0.040033482,0.040808044,0.001
232,0.041676234,0.042565428,0.001
233,0.04136977,0.042287998,0.001
234,0.041508432,0.042450756,0.001
235,0.04166199,0.04263139,0.001
236,0.041799065,0.042782996,0.001
237,0.04011414,0.040988423,0.001
238,0.039847754,0.040658873,0.001
239,0.0410573,0.041906003,0.001
240,0.039488453,0.04039658,0.001
241,0.039317153,0.04019804,0.001
242,0.038919583,0.039790593,0.001
243,0.039028145,0.03992285,0.001
244,0.03902206,0.03993578,0.001
245,0.039479,0.040405255,0.001
246,0.03854475,0.039472762,0.001
247,0.039078176,0.040031645,0.001
248,0.038436767,0.039375618,0.001
249,0.038588285,0.039536525,0.001
