,training_loss_mse,testing_loss_mse,learning_rate
0,0.99737805,1.0085186,0.001
1,0.75904703,0.7691192,0.001
2,0.7222456,0.7315211,0.001
3,0.6906821,0.6998906,0.001
4,0.65266335,0.6617432,0.001
5,0.5956797,0.6032618,0.001
6,0.54326916,0.5488382,0.001
7,0.48936734,0.49266887,0.001
8,0.44549924,0.44723684,0.001
9,0.4063257,0.4076122,0.001
10,0.37614322,0.37694162,0.001
11,0.35184586,0.3524193,0.001
12,0.33065268,0.3307072,0.001
13,0.31611085,0.3163868,0.001
14,0.29813004,0.29790825,0.001
15,0.28217006,0.28166345,0.001
16,0.26713553,0.26633403,0.001
17,0.24955423,0.24814099,0.001
18,0.24004948,0.23870598,0.001
19,0.22199102,0.22029102,0.001
20,0.20560941,0.20364182,0.001
21,0.19437343,0.19223434,0.001
22,0.18558507,0.18339263,0.001
23,0.17732656,0.17527878,0.001
24,0.17115541,0.16926332,0.001
25,0.16327374,0.1613885,0.001
26,0.15746586,0.15568732,0.001
27,0.15326256,0.15154669,0.001
28,0.14642395,0.14470653,0.001
29,0.14557576,0.14391789,0.001
30,0.13960233,0.1379839,0.001
31,0.13536657,0.13374092,0.001
32,0.13705817,0.13553664,0.001
33,0.13202222,0.130467,0.001
34,0.13137628,0.12987529,0.001
35,0.12661389,0.12509973,0.001
36,0.12526967,0.12378067,0.001
37,0.124426454,0.122935794,0.001
38,0.12099765,0.1194798,0.001
39,0.12087525,0.119413964,0.001
40,0.11762922,0.11611235,0.001
41,0.11737177,0.115930766,0.001
42,0.11650708,0.11507719,0.001
43,0.11367694,0.11222148,0.001
44,0.11237339,0.11093242,0.001
45,0.11134781,0.10991053,0.001
46,0.11010835,0.10869621,0.001
47,0.10894391,0.107559346,0.001
48,0.10791407,0.10655712,0.001
49,0.10699927,0.10567007,0.001
50,0.10600562,0.10469397,0.001
51,0.105049364,0.10374513,0.001
52,0.10419864,0.10291268,0.001
53,0.10334526,0.10206256,0.001
54,0.10257316,0.10128787,0.001
55,0.10193538,0.10065221,0.001
56,0.101350285,0.10006607,0.001
57,0.1009615,0.09966354,0.001
58,0.10002185,0.098741405,0.001
59,0.0994735,0.098202966,0.001
60,0.09906407,0.09780908,0.001
61,0.09836961,0.09712028,0.001
62,0.09751501,0.09626512,0.001
63,0.09691212,0.09567971,0.001
64,0.0962712,0.09506023,0.001
65,0.095737234,0.09453395,0.001
66,0.09529645,0.09409549,0.001
67,0.09481805,0.09363186,0.001
68,0.09441218,0.09323533,0.001
69,0.09392705,0.09276406,0.001
70,0.093667865,0.09249835,0.001
71,0.09326045,0.092104174,0.001
72,0.09293731,0.091796726,0.001
73,0.0924238,0.09131437,0.001
74,0.09198289,0.09089987,0.001
75,0.09158662,0.09052968,0.001
76,0.091245405,0.090199605,0.001
77,0.09080376,0.08977244,0.001
78,0.09051979,0.08950404,0.001
79,0.09013508,0.089129075,0.001
80,0.09014892,0.08917855,0.001
81,0.08978208,0.08883437,0.001
82,0.089249544,0.088304974,0.001
83,0.089001864,0.088084765,0.001
84,0.088588774,0.08766983,0.001
85,0.08830686,0.08741679,0.001
86,0.08799287,0.08710344,0.001
87,0.08772783,0.08684645,0.001
88,0.087389335,0.08650754,0.001
89,0.0871136,0.08624363,0.001
90,0.08687793,0.08602572,0.001
91,0.086587794,0.0857397,0.001
92,0.08630042,0.08545807,0.001
93,0.086051114,0.08521017,0.001
94,0.08585416,0.08502033,0.001
95,0.085725136,0.08487636,0.001
96,0.08566274,0.08480947,0.001
97,0.085593045,0.084739015,0.001
98,0.08554387,0.08467713,0.001
99,0.08523284,0.08438374,0.001
100,0.08535766,0.08448735,0.001
101,0.085002884,0.08413261,0.001
102,0.08505749,0.084186845,0.001
103,0.08497362,0.08410007,0.001
104,0.083956935,0.0831107,0.001
105,0.083535105,0.08270542,0.001
106,0.08353383,0.08268935,0.001
107,0.08332979,0.08249492,0.001
108,0.08342778,0.08257473,0.001
109,0.08302417,0.082159825,0.001
110,0.08236447,0.08154153,0.001
111,0.08211334,0.08128264,0.001
112,0.081756726,0.080933854,0.001
113,0.08161007,0.080783725,0.001
114,0.08147952,0.080640405,0.001
115,0.081355855,0.08050836,0.001
116,0.08115971,0.080308,0.001
117,0.08099869,0.0801502,0.001
118,0.08087732,0.08002927,0.001
119,0.08174128,0.080864675,0.001
120,0.081064306,0.080206715,0.001
121,0.08152045,0.08064926,0.001
122,0.08063559,0.07978935,0.001
123,0.080084056,0.07926831,0.001
124,0.079768516,0.078963965,0.001
125,0.07959367,0.07879424,0.001
126,0.079934135,0.079119295,0.001
127,0.08075451,0.07990523,0.001
128,0.07990649,0.079073146,0.001
129,0.079875246,0.079039656,0.001
130,0.07925493,0.07842963,0.001
131,0.07889427,0.07806436,0.001
132,0.07810112,0.077299684,0.001
133,0.07771664,0.07693057,0.001
134,0.07788445,0.0770811,0.001
135,0.07831788,0.07749127,0.001
136,0.07774305,0.07693068,0.001
137,0.07762116,0.07681124,0.001
138,0.079992115,0.07909858,0.001
139,0.07893635,0.078065254,0.001
140,0.078327924,0.0774735,0.001
141,0.076890744,0.07609173,0.001
142,0.076517686,0.07574149,0.001
143,0.077543624,0.076718725,0.001
144,0.07866902,0.07779983,0.001
145,0.079142645,0.07826327,0.001
146,0.07845894,0.077584,0.001
147,0.07825158,0.0773885,0.001
148,0.07753416,0.076683804,0.001
149,0.07742901,0.07658542,0.001
150,0.07691591,0.07609693,0.001
151,0.07645486,0.07564816,0.001
152,0.07619032,0.07538942,0.001
153,0.077777006,0.07692734,0.001
154,0.077842064,0.076968275,0.001
155,0.07793422,0.07706213,0.001
156,0.07701996,0.076177746,0.001
157,0.07886437,0.077952236,0.001
158,0.077842385,0.07695532,0.001
159,0.076764196,0.07591924,0.001
160,0.07762764,0.076751605,0.001
161,0.077004604,0.07613929,0.001
