,training_loss_mse,testing_loss_mse,learning_rate
0,0.9293205,0.9385619,0.001
1,0.7738727,0.7839867,0.001
2,0.7267812,0.7353838,0.001
3,0.7092574,0.7172497,0.001
4,0.6921306,0.70001554,0.001
5,0.67302215,0.6806934,0.001
6,0.64190274,0.64911854,0.001
7,0.59707236,0.6035771,0.001
8,0.5442704,0.5488542,0.001
9,0.5022243,0.5053106,0.001
10,0.46877185,0.4710423,0.001
11,0.43577155,0.4372393,0.001
12,0.39842504,0.39954522,0.001
13,0.35716492,0.35743922,0.001
14,0.31871888,0.31822857,0.001
15,0.28882352,0.2878875,0.001
16,0.26561463,0.2644678,0.001
17,0.24679926,0.24542283,0.001
18,0.23084427,0.22932844,0.001
19,0.21761489,0.21615638,0.001
20,0.20799556,0.20643948,0.001
21,0.19963664,0.19795452,0.001
22,0.19332032,0.19159873,0.001
23,0.18712297,0.18541546,0.001
24,0.18178575,0.18018858,0.001
25,0.17673364,0.17517737,0.001
26,0.17206238,0.17048094,0.001
27,0.16762945,0.16598578,0.001
28,0.16355558,0.16179562,0.001
29,0.1601573,0.15833478,0.001
30,0.15738727,0.15558258,0.001
31,0.15456365,0.15277359,0.001
32,0.1520769,0.15037136,0.001
33,0.14994454,0.14831407,0.001
34,0.14803176,0.14646006,0.001
35,0.14616787,0.14467402,0.001
36,0.14414543,0.14271115,0.001
37,0.1422513,0.14084119,0.001
38,0.14039572,0.13898219,0.001
39,0.13885446,0.13743109,0.001
40,0.13726415,0.13584675,0.001
41,0.13581018,0.13437484,0.001
42,0.13432227,0.13290069,0.001
43,0.13293505,0.13151018,0.001
44,0.1316851,0.13026798,0.001
45,0.1303565,0.12894353,0.001
46,0.12918355,0.12778933,0.001
47,0.12806194,0.12669882,0.001
48,0.12695183,0.12559822,0.001
49,0.12591386,0.12457243,0.001
50,0.124930926,0.123587355,0.001
51,0.12397328,0.12261983,0.001
52,0.123114206,0.121770106,0.001
53,0.12217069,0.12083772,0.001
54,0.121248096,0.11991273,0.001
55,0.120428875,0.119097896,0.001
56,0.119585015,0.11827887,0.001
57,0.11875918,0.11745937,0.001
58,0.11799289,0.11672023,0.001
59,0.11729499,0.11606052,0.001
60,0.11659872,0.11538798,0.001
61,0.11589,0.11468454,0.001
62,0.11523933,0.11404052,0.001
63,0.11463635,0.113444954,0.001
64,0.11397641,0.11280539,0.001
65,0.11344987,0.11229823,0.001
66,0.112898834,0.1117521,0.001
67,0.112374686,0.11124322,0.001
68,0.11188711,0.11077549,0.001
69,0.11139253,0.11029119,0.001
70,0.11096362,0.10989478,0.001
71,0.110478014,0.109425254,0.001
72,0.109981604,0.10894873,0.001
73,0.10958414,0.108588,0.001
74,0.10907235,0.10810066,0.001
75,0.10862602,0.10767708,0.001
76,0.10814001,0.1072005,0.001
77,0.10763042,0.106707655,0.001
78,0.10718334,0.10628379,0.001
79,0.106678784,0.1057933,0.001
80,0.10632102,0.10547028,0.001
81,0.10598707,0.10516515,0.001
82,0.10557736,0.10477804,0.001
83,0.105195396,0.10441005,0.001
84,0.10491601,0.1041433,0.001
85,0.10454853,0.10379779,0.001
86,0.104185425,0.103448704,0.001
87,0.10415793,0.103448555,0.001
88,0.10345071,0.102732114,0.001
89,0.10322291,0.1025233,0.001
90,0.102918044,0.10223038,0.001
91,0.102658585,0.10198215,0.001
92,0.10229597,0.10163195,0.001
93,0.1020078,0.101340435,0.001
94,0.10163692,0.100973904,0.001
95,0.10126349,0.10059813,0.001
96,0.10105552,0.10039537,0.001
97,0.100752614,0.10010325,0.001
98,0.10033071,0.099675275,0.001
99,0.100081824,0.099436015,0.001
100,0.099813916,0.099172115,0.001
101,0.09962408,0.09899355,0.001
102,0.099344335,0.098718524,0.001
103,0.09915705,0.098547466,0.001
104,0.09890155,0.098309614,0.001
105,0.0984972,0.09790102,0.001
106,0.09821333,0.09762721,0.001
107,0.098016754,0.09744629,0.001
108,0.09789706,0.09735073,0.001
109,0.09765278,0.097120985,0.001
110,0.09732991,0.09680567,0.001
111,0.097078115,0.09656102,0.001
112,0.096844316,0.09633571,0.001
113,0.096581444,0.09608095,0.001
114,0.096347146,0.095853835,0.001
115,0.09605644,0.095564745,0.001
116,0.0958249,0.095342055,0.001
117,0.09559758,0.09511921,0.001
118,0.0953577,0.09488533,0.001
119,0.09518179,0.094715245,0.001
120,0.09488425,0.09441609,0.001
121,0.094724365,0.094262406,0.001
122,0.09447107,0.09400292,0.001
123,0.09427603,0.093801335,0.001
124,0.09401829,0.093537115,0.001
125,0.09377481,0.093283266,0.001
126,0.093614735,0.09312242,0.001
127,0.09331406,0.09280831,0.001
128,0.09309595,0.09259935,0.001
129,0.0929418,0.09243619,0.001
130,0.09270281,0.092193455,0.001
131,0.09241966,0.091915205,0.001
132,0.09214908,0.0916495,0.001
133,0.091856,0.09135755,0.001
134,0.09169408,0.09120542,0.001
135,0.09147049,0.09098425,0.001
136,0.091322735,0.09084286,0.001
137,0.091087125,0.09060626,0.001
138,0.09097827,0.090507016,0.001
139,0.09073901,0.09026324,0.001
140,0.09054254,0.090071045,0.001
141,0.09039122,0.08991898,0.001
142,0.090204716,0.08973959,0.001
143,0.090093896,0.08963688,0.001
144,0.089880824,0.08943109,0.001
145,0.089724176,0.08927741,0.001
146,0.089523,0.08907919,0.001
147,0.08937142,0.08893416,0.001
148,0.089267656,0.088832736,0.001
149,0.089108564,0.08867705,0.001
150,0.088992566,0.088559404,0.001
151,0.08881627,0.08837389,0.001
152,0.08875284,0.08831183,0.001
153,0.08851537,0.08807525,0.001
154,0.08836868,0.08792857,0.001
155,0.08824995,0.087806344,0.001
156,0.08819806,0.08777076,0.001
157,0.08796618,0.087560445,0.001
158,0.08787289,0.08748426,0.001
159,0.08769497,0.08731132,0.001
160,0.087556645,0.08719014,0.001
161,0.087389186,0.08702074,0.001
162,0.087301545,0.08694075,0.001
163,0.08713456,0.086770445,0.001
164,0.08703782,0.08667825,0.001
165,0.08693876,0.08659027,0.001
166,0.086793944,0.08645561,0.001
167,0.08668734,0.08635456,0.001
168,0.08658027,0.086258255,0.001
169,0.08649851,0.08618159,0.001
170,0.08634482,0.08603163,0.001
171,0.0862269,0.085916296,0.001
172,0.08607996,0.08577148,0.001
173,0.08597659,0.08567804,0.001
174,0.08590621,0.085614905,0.001
175,0.08583202,0.08554262,0.001
176,0.0856945,0.08541042,0.001
177,0.08555212,0.085275605,0.001
178,0.085439295,0.085164614,0.001
179,0.085357994,0.08508481,0.001
180,0.085266165,0.08500727,0.001
181,0.085154995,0.084897585,0.001
182,0.08503735,0.08478235,0.001
183,0.08490096,0.08464927,0.001
184,0.08480171,0.08455238,0.001
185,0.084661104,0.084414355,0.001
186,0.084554985,0.08430429,0.001
187,0.084475316,0.084229924,0.001
188,0.08438143,0.084137745,0.001
189,0.08418473,0.0839417,0.001
190,0.084089436,0.08384038,0.001
191,0.08397058,0.0837234,0.001
192,0.08382,0.083579615,0.001
193,0.083654135,0.08341671,0.001
194,0.0834734,0.083233275,0.001
195,0.083374724,0.08313012,0.001
196,0.08320149,0.082959674,0.001
197,0.083132274,0.082899496,0.001
198,0.08303491,0.0827978,0.001
199,0.08290998,0.08267851,0.001
200,0.08279892,0.08257559,0.001
201,0.082673006,0.08244841,0.001
202,0.08258763,0.08236653,0.001
203,0.082464434,0.082238495,0.001
204,0.08237972,0.0821596,0.001
205,0.082290046,0.082077205,0.001
206,0.082197666,0.08199023,0.001
207,0.082107,0.08189831,0.001
208,0.0820481,0.08184625,0.001
209,0.08195079,0.08175414,0.001
210,0.08184237,0.08164414,0.001
211,0.08176979,0.08157739,0.001
212,0.08166263,0.08146942,0.001
213,0.08158134,0.081387796,0.001
214,0.081469804,0.081278674,0.001
215,0.08138559,0.081198804,0.001
216,0.081270754,0.08108517,0.001
217,0.081181474,0.08100092,0.001
218,0.08107753,0.08090082,0.001
219,0.08097315,0.080802,0.001
220,0.080890864,0.0807189,0.001
221,0.08079446,0.080624506,0.001
222,0.080740556,0.08057722,0.001
223,0.080667205,0.080508836,0.001
224,0.080543,0.080384724,0.001
225,0.08049144,0.080336414,0.001
