,training_loss_mse,testing_loss_mse,learning_rate
0,0.58425814,0.4939639,0.001
1,0.41059464,0.4122924,0.001
2,0.25404492,0.26559648,0.001
3,0.23307426,0.25723103,0.001
4,0.15623334,0.19413128,0.001
5,0.15047373,0.18914653,0.001
6,0.12890494,0.17072509,0.001
7,0.12804033,0.16658294,0.001
8,0.11344017,0.15357894,0.001
9,0.114146955,0.15296215,0.001
10,0.10607707,0.1438278,0.001
11,0.103378326,0.14016394,0.001
12,0.09930266,0.1359119,0.001
13,0.09393444,0.13029882,0.001
14,0.090064436,0.12640129,0.001
15,0.08759774,0.12433343,0.001
16,0.08521886,0.12157579,0.001
17,0.08439794,0.121076755,0.001
18,0.0818352,0.11797946,0.001
19,0.08143234,0.11738102,0.001
20,0.079471275,0.115451366,0.001
21,0.07942898,0.11484417,0.001
22,0.07723713,0.11268276,0.001
23,0.07676935,0.11220715,0.001
24,0.07454614,0.11014087,0.001
25,0.077179946,0.11246811,0.001
26,0.07645746,0.11108699,0.001
27,0.07496389,0.10878018,0.001
28,0.07230207,0.106368504,0.001
29,0.0709431,0.105310746,0.001
30,0.07254459,0.10710852,0.001
31,0.06919488,0.10280312,0.001
32,0.07039401,0.10490909,0.001
33,0.06719982,0.101574704,0.001
34,0.067490935,0.10189005,0.001
35,0.075757734,0.10756016,0.001
36,0.073402375,0.1072223,0.001
37,0.06752836,0.10145232,0.001
38,0.07182596,0.104435004,0.001
39,0.06553313,0.09905182,0.001
40,0.07346832,0.10414103,0.001
41,0.07286542,0.10416763,0.001
42,0.088201635,0.11622544,0.001
43,0.081914596,0.111881085,0.001
44,0.07957852,0.10901648,0.001
45,0.07082077,0.10208519,0.001
46,0.07543078,0.10511116,0.001
47,0.06769307,0.098561615,0.001
48,0.064386,0.09525865,0.001
49,0.07234303,0.10211441,0.001
50,0.061852057,0.092638835,0.001
51,0.06625448,0.09595618,0.001
52,0.06801933,0.09871624,0.001
53,0.059775982,0.0919347,0.001
54,0.0656238,0.094596654,0.001
55,0.068537876,0.09944753,0.001
56,0.07314496,0.10207304,0.001
57,0.06083569,0.09209199,0.001
58,0.06925008,0.09658153,0.001
59,0.057315588,0.08968644,0.001
60,0.07145147,0.09837795,0.001
61,0.06457287,0.0941527,0.001
62,0.0701631,0.0964461,0.001
63,0.057924345,0.08785865,0.001
64,0.057123527,0.0870139,0.001
65,0.05919348,0.088665,0.001
66,0.062469054,0.0917307,0.001
67,0.059461467,0.08929509,0.001
68,0.057322983,0.08641232,0.001
69,0.05891511,0.0887491,0.001
70,0.056631126,0.08685765,0.001
71,0.055332217,0.08566353,0.001
72,0.055600703,0.086080134,0.001
73,0.057536934,0.08674359,0.001
74,0.054424454,0.08474957,0.001
75,0.053650778,0.083393075,0.001
76,0.051884998,0.082520545,0.001
77,0.05215179,0.08389079,0.001
78,0.051736694,0.08336273,0.001
79,0.051953558,0.0824534,0.001
80,0.05042134,0.08180811,0.001
81,0.05273191,0.0848096,0.001
82,0.050591756,0.082628876,0.001
83,0.05111059,0.083582535,0.001
84,0.049933016,0.08274098,0.001
85,0.050039764,0.08203422,0.001
86,0.048916724,0.08063982,0.001
87,0.04967279,0.08191679,0.001
88,0.04863325,0.080698356,0.001
89,0.048787683,0.08150103,0.001
90,0.0480101,0.081515744,0.001
91,0.04731692,0.081895664,0.001
92,0.04866658,0.08314804,0.001
93,0.04909293,0.08369658,0.001
94,0.049796917,0.08472634,0.001
95,0.04804198,0.08385363,0.001
96,0.048536226,0.08496035,0.001
97,0.049433094,0.085537836,0.001
98,0.048417225,0.083771236,0.001
99,0.04885053,0.08394329,0.001
100,0.052096747,0.086790495,0.001
101,0.04993833,0.08450334,0.001
102,0.049989413,0.08531237,0.001
103,0.047126167,0.08388609,0.001
104,0.051206257,0.086870216,0.001
105,0.052057438,0.08764828,0.001
106,0.050869834,0.0877098,0.001
107,0.04800625,0.0840402,0.001
108,0.050863907,0.08542708,0.001
109,0.045869578,0.082526505,0.001
110,0.044736862,0.08249091,0.001
111,0.050222587,0.085924014,0.001
112,0.04870459,0.085960396,0.001
113,0.04688306,0.085916616,0.001
114,0.047896527,0.08489857,0.001
115,0.047533415,0.08589005,0.001
116,0.046747595,0.08468625,0.001
117,0.046235975,0.08419007,0.001
118,0.046436206,0.08633587,0.001
119,0.0443431,0.08307204,0.001
120,0.044689633,0.08266048,0.001
121,0.04346109,0.08215484,0.001
122,0.04417785,0.08350651,0.001
123,0.043696556,0.08281969,0.001
124,0.04333713,0.08413247,0.001
125,0.045472153,0.08526427,0.001
126,0.04294665,0.08257498,0.001
127,0.04269467,0.08204965,0.001
128,0.042626824,0.082573146,0.001
129,0.042617537,0.0827262,0.001
130,0.0423884,0.08354716,0.001
131,0.044406205,0.08502443,0.001
132,0.041383237,0.08101606,0.001
133,0.045469902,0.08468816,0.001
134,0.04426973,0.08379309,0.001
135,0.042213194,0.08236401,0.001
136,0.039742198,0.07945014,0.001
137,0.039133977,0.07837978,0.001
138,0.038674057,0.07795972,0.001
139,0.039365746,0.079707436,0.001
140,0.038678415,0.07781453,0.001
141,0.03880221,0.07800306,0.001
142,0.03923054,0.07761138,0.001
143,0.038836412,0.077462174,0.001
0,0.049837243,0.08575377,0.001
1,0.04936594,0.08900976,0.001
2,0.04360802,0.08381765,0.001
3,0.040000957,0.07943457,0.001
4,0.042393476,0.08217594,0.001
5,0.042427424,0.08252372,0.001
6,0.041570682,0.08200192,0.001
7,0.042011354,0.082078554,0.001
8,0.04182622,0.08191871,0.001
9,0.04093714,0.081017524,0.001
10,0.04114766,0.08141718,0.001
11,0.040016465,0.080070294,0.001
12,0.049155276,0.089876994,0.001
13,0.045321226,0.08475679,0.001
14,0.04872106,0.087899886,0.001
15,0.04621674,0.0863271,0.001
