,training_loss_mse,testing_loss_mse,learning_rate
0,0.049837243,0.08575377,0.001
1,0.04936594,0.08900976,0.001
2,0.04360802,0.08381765,0.001
3,0.040000957,0.07943457,0.001
4,0.042393476,0.08217594,0.001
5,0.042427424,0.08252372,0.001
6,0.041570682,0.08200192,0.001
7,0.042011354,0.082078554,0.001
8,0.04182622,0.08191871,0.001
9,0.04093714,0.081017524,0.001
10,0.04114766,0.08141718,0.001
11,0.040016465,0.080070294,0.001
12,0.049155276,0.089876994,0.001
13,0.045321226,0.08475679,0.001
14,0.04872106,0.087899886,0.001
15,0.04621674,0.0863271,0.001
16,0.04744426,0.08606915,0.001
17,0.046943855,0.08670273,0.001
18,0.043992914,0.082928486,0.001
19,0.04296448,0.08260088,0.001
20,0.044436645,0.08437541,0.001
21,0.042053636,0.08199617,0.001
22,0.042389236,0.08234202,0.001
23,0.045042276,0.08545627,0.001
24,0.044779673,0.08425378,0.001
25,0.042305063,0.08043354,0.001
26,0.042480458,0.081029184,0.001
27,0.04132572,0.07998426,0.001
28,0.04323539,0.08204994,0.001
29,0.043229003,0.082526706,0.001
30,0.04366084,0.08198597,0.001
31,0.04075693,0.07990002,0.001
32,0.039563145,0.07859345,0.001
33,0.03856812,0.077680804,0.001
34,0.038636073,0.07768207,0.001
35,0.037759718,0.07745241,0.001
36,0.040048465,0.07948194,0.001
37,0.041307062,0.08093657,0.001
38,0.038714845,0.078282714,0.001
39,0.035209633,0.07414013,0.001
40,0.036322147,0.07578895,0.001
41,0.0354341,0.07424654,0.001
42,0.03528379,0.07481724,0.001
43,0.03540148,0.075266935,0.001
44,0.035330005,0.07472563,0.001
45,0.035484806,0.07482225,0.001
46,0.034687646,0.074460536,0.001
47,0.034979176,0.07441895,0.001
48,0.033718374,0.073326215,0.001
49,0.03624155,0.076270685,0.001
50,0.035946243,0.07634746,0.001
51,0.034020163,0.07439299,0.001
52,0.03453724,0.07465104,0.001
53,0.03425086,0.07417775,0.001
54,0.03505743,0.07619743,0.001
55,0.035935514,0.07716396,0.001
56,0.03698034,0.078437306,0.001
57,0.03488648,0.076402485,0.001
58,0.036772758,0.0775622,0.001
59,0.037203606,0.079234295,0.001
60,0.037697893,0.07925855,0.001
61,0.036556996,0.077957585,0.001
62,0.03517629,0.076581,0.001
63,0.03444189,0.07565711,0.001
64,0.038115125,0.08033824,0.001
65,0.038628127,0.080319636,0.001
66,0.034614608,0.075930946,0.001
67,0.03412734,0.07514174,0.001
68,0.033823356,0.075369515,0.001
69,0.035817157,0.077180766,0.001
70,0.035769325,0.07791787,0.001
71,0.035605934,0.0772776,0.001
72,0.034743503,0.075804785,0.001
73,0.034473713,0.076733544,0.001
74,0.035060816,0.07663986,0.001
75,0.034651514,0.07677496,0.001
76,0.034797873,0.07635814,0.001
77,0.033857506,0.07593791,0.001
78,0.035228644,0.077655144,0.001
79,0.03516462,0.07800573,0.001
80,0.03504971,0.07708069,0.001
81,0.034688603,0.077448204,0.001
82,0.034725215,0.0774695,0.001
83,0.035754617,0.07839502,0.001
84,0.034587707,0.07699106,0.001
85,0.0343756,0.07630542,0.001
86,0.033204086,0.07559898,0.001
87,0.03349382,0.07647195,0.001
88,0.033659983,0.07599063,0.001
89,0.03432496,0.07752127,0.001
90,0.0338598,0.07683645,0.001
91,0.035355188,0.078429736,0.001
92,0.034465827,0.07781894,0.001
93,0.032831308,0.07589478,0.001
94,0.032428376,0.075467125,0.001
95,0.033296794,0.07599542,0.001
96,0.033161428,0.0754094,0.001
97,0.033156957,0.075703114,0.001
98,0.03332156,0.0763048,0.001
99,0.033818368,0.077234365,0.001
100,0.034375016,0.07800646,0.001
101,0.034125358,0.078226365,0.001
102,0.03470313,0.07909289,0.001
103,0.03389852,0.07772665,0.001
104,0.034146134,0.07789321,0.001
105,0.034095258,0.07859595,0.001
106,0.033816326,0.07777366,0.001
