,training_loss_mse,testing_loss_mse,learning_rate
0,0.6718873,0.5529527,0.001
1,0.48306417,0.41747198,0.001
2,0.2913922,0.26465848,0.001
3,0.2570073,0.25212237,0.001
4,0.19218145,0.19765036,0.001
5,0.21491894,0.22255741,0.001
6,0.1911666,0.20500264,0.001
7,0.1773018,0.19437402,0.001
8,0.17173557,0.19035242,0.001
9,0.16192053,0.18139224,0.001
10,0.15406333,0.17349365,0.001
11,0.14865938,0.16766445,0.001
12,0.14181589,0.16071543,0.001
13,0.13793354,0.15636471,0.001
14,0.13584729,0.15413892,0.001
15,0.1347401,0.15247427,0.001
16,0.13226862,0.14962128,0.001
17,0.1304062,0.14772294,0.001
18,0.13092177,0.14796048,0.001
19,0.13110533,0.14837767,0.001
20,0.13458087,0.1520464,0.001
21,0.13159837,0.14906177,0.001
22,0.12957376,0.14699577,0.001
23,0.1283382,0.1461379,0.001
24,0.12801434,0.14568077,0.001
25,0.123440444,0.14112024,0.001
26,0.12077807,0.13865966,0.001
27,0.11861046,0.13693531,0.001
28,0.11814001,0.13618952,0.001
29,0.11583541,0.1337487,0.001
30,0.11410985,0.13189021,0.001
31,0.11326793,0.13090047,0.001
32,0.11096811,0.12816557,0.001
33,0.11005508,0.12712961,0.001
34,0.11011206,0.12697218,0.001
35,0.10967256,0.12630536,0.001
36,0.11206643,0.12856023,0.001
37,0.111356705,0.12750977,0.001
38,0.11166483,0.12786762,0.001
39,0.11114629,0.1270875,0.001
40,0.10931424,0.12494036,0.001
41,0.10971095,0.12512848,0.001
42,0.107947074,0.12327774,0.001
43,0.10741068,0.12267256,0.001
44,0.10655912,0.121754795,0.001
45,0.10852355,0.12384382,0.001
46,0.11001524,0.12519985,0.001
47,0.10865074,0.123770826,0.001
48,0.10646567,0.121400736,0.001
49,0.10759591,0.12255957,0.001
50,0.10645404,0.121628664,0.001
51,0.106583074,0.12177587,0.001
52,0.10528844,0.12065155,0.001
53,0.10803676,0.12321511,0.001
54,0.10843622,0.12385954,0.001
55,0.107749656,0.12296075,0.001
56,0.10926246,0.12494454,0.001
57,0.10930821,0.12507486,0.001
58,0.10992016,0.1257541,0.001
59,0.10940683,0.12522861,0.001
60,0.10838461,0.12432692,0.001
61,0.11210837,0.12853509,0.001
62,0.11261747,0.12897305,0.001
63,0.11335047,0.12957357,0.001
64,0.114224344,0.13062468,0.001
65,0.113549605,0.13022466,0.001
66,0.11305538,0.13014063,0.001
67,0.113040134,0.13044308,0.001
68,0.11122058,0.1281007,0.001
69,0.11100552,0.12831506,0.001
70,0.111592725,0.1288838,0.001
71,0.113479376,0.13098387,0.001
72,0.11191005,0.12915792,0.001
73,0.11184916,0.12897064,0.001
74,0.1125438,0.12974894,0.001
75,0.11425252,0.13140571,0.001
76,0.11321844,0.13013504,0.001
77,0.112067305,0.12886062,0.001
78,0.11081495,0.12775919,0.001
79,0.11112847,0.12803529,0.001
80,0.10875144,0.12501517,0.001
81,0.10581446,0.1221624,0.001
82,0.10531411,0.121490285,0.001
83,0.10369285,0.11984305,0.001
84,0.103770085,0.11984715,0.001
85,0.10404549,0.1203242,0.001
86,0.103910744,0.12025194,0.001
87,0.10496524,0.12134982,0.001
88,0.103643544,0.12030137,0.001
89,0.1021341,0.11857429,0.001
90,0.102373905,0.118638,0.001
91,0.1024218,0.11868186,0.001
92,0.101271816,0.11770273,0.001
93,0.10085024,0.117663346,0.001
94,0.09878403,0.11549458,0.001
95,0.09805561,0.11483264,0.001
96,0.098593764,0.11521851,0.001
97,0.09719754,0.11363469,0.001
98,0.097979605,0.11454931,0.001
99,0.096110255,0.11248785,0.001
100,0.09415085,0.1112007,0.001
101,0.093879715,0.110786654,0.001
102,0.093082935,0.11000895,0.001
103,0.09275878,0.1095179,0.001
104,0.092037916,0.10895747,0.001
105,0.09208676,0.10911663,0.001
106,0.09133991,0.10859787,0.001
107,0.0902358,0.107497714,0.001
108,0.08804534,0.10520376,0.001
109,0.08795678,0.10517593,0.001
110,0.08761817,0.104981095,0.001
111,0.09032244,0.10783384,0.001
112,0.08927247,0.10687086,0.001
113,0.08616996,0.10433031,0.001
114,0.08527711,0.103465326,0.001
115,0.08315664,0.101380564,0.001
116,0.08186852,0.10020365,0.001
117,0.081951216,0.100433804,0.001
118,0.08162389,0.10014905,0.001
119,0.08027841,0.09867046,0.001
120,0.081139095,0.09950955,0.001
121,0.081269555,0.09942879,0.001
122,0.079372734,0.09771221,0.001
123,0.079456784,0.09782731,0.001
124,0.07992723,0.09840915,0.001
125,0.079394124,0.09788217,0.001
