,training_loss_mse,testing_loss_mse,learning_rate
0,0.7127545,0.58694834,0.001
1,0.53639215,0.47477466,0.001
2,0.41761354,0.39987683,0.001
3,0.3155423,0.29720983,0.001
4,0.2416608,0.23572165,0.001
5,0.22289781,0.22306524,0.001
6,0.20827462,0.21389122,0.001
7,0.19069207,0.20461865,0.001
8,0.1770355,0.19905613,0.001
9,0.17398219,0.2022208,0.001
10,0.15643589,0.18765955,0.001
11,0.15077229,0.18083145,0.001
12,0.14354038,0.17224188,0.001
13,0.14179544,0.16922306,0.001
14,0.13870133,0.16523021,0.001
15,0.13776767,0.16420849,0.001
16,0.13517374,0.16123486,0.001
17,0.13244109,0.1579253,0.001
18,0.1306928,0.15571307,0.001
19,0.12895228,0.15329434,0.001
20,0.12777822,0.15182005,0.001
21,0.12659721,0.15055713,0.001
22,0.12645307,0.15025945,0.001
23,0.123330764,0.1472758,0.001
24,0.1213559,0.14522119,0.001
25,0.1202759,0.1436875,0.001
26,0.11934334,0.14268227,0.001
27,0.11709875,0.14045306,0.001
28,0.11568754,0.13876934,0.001
29,0.114886835,0.13794212,0.001
30,0.11389449,0.13662834,0.001
31,0.11260757,0.13520786,0.001
32,0.11114839,0.13330908,0.001
33,0.10963647,0.13171646,0.001
34,0.108332925,0.13026398,0.001
35,0.10713065,0.1288803,0.001
36,0.106331296,0.12803516,0.001
37,0.1050669,0.12662089,0.001
38,0.1041376,0.1256466,0.001
39,0.103090994,0.12451042,0.001
40,0.10207655,0.12326412,0.001
41,0.101262204,0.122341804,0.001
42,0.10081134,0.12180746,0.001
43,0.10034692,0.12111333,0.001
44,0.09976311,0.12041399,0.001
45,0.099328995,0.12004612,0.001
46,0.09891865,0.1197065,0.001
47,0.09852625,0.11924228,0.001
48,0.098128214,0.11880057,0.001
49,0.097392544,0.11796577,0.001
50,0.097068526,0.11764185,0.001
51,0.096837446,0.11707248,0.001
52,0.096917056,0.116724394,0.001
53,0.09669074,0.116457075,0.001
54,0.09650481,0.11628344,0.001
55,0.096583106,0.11631609,0.001
56,0.09667464,0.116283685,0.001
57,0.09660739,0.1162154,0.001
58,0.09668779,0.116302736,0.001
59,0.09688991,0.116175674,0.001
60,0.09695548,0.11621048,0.001
61,0.09674569,0.116131045,0.001
62,0.09625244,0.1157199,0.001
63,0.095671505,0.11522195,0.001
64,0.09537994,0.11486225,0.001
65,0.09517405,0.114788264,0.001
66,0.09440779,0.11412433,0.001
67,0.09408626,0.1136926,0.001
