Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
0.0,0.0,0.0,0.0,0.0,1.5112299999999998e-06,0.00083658
0.0,0.0,0.0,0.0,1.0,1.51268e-06,-0.000174103
0.0,0.0,0.0,0.1428575,0.0,1.5258400000000001e-06,0.00100724
0.0,0.0,0.0,0.1428575,1.0,1.5467700000000002e-06,-0.000135666
0.0,0.0,0.0,0.285715,0.0,1.5422299999999998e-06,0.00120186
0.0,0.0,0.0,0.285715,1.0,1.5888e-06,-9.457040000000001e-05
0.0,0.0,0.0,0.4285725,0.0,1.5452500000000002e-06,0.000840787
0.0,0.0,0.0,0.4285725,1.0,1.6872799999999998e-06,-4.5162e-05
0.0,0.0,0.0,0.5714275,0.0,1.55745e-06,0.000816349
0.0,0.0,0.0,0.5714275,1.0,1.4461700000000003e-06,-4.9889300000000004e-05
0.0,0.0,0.0,0.7142850000000002,0.0,1.5872e-06,0.00160255
0.0,0.0,0.0,0.7142850000000002,1.0,1.6818900000000003e-06,-3.97153e-05
0.0,0.0,0.0,0.8571424999999998,0.0,1.58084e-06,0.000655745
0.0,0.0,0.0,0.8571424999999998,1.0,1.592e-06,-6.13368e-05
0.0,0.0,0.0,1.0,0.0,1.52143e-06,0.000489563
0.0,0.0,0.0,1.0,1.0,1.4772899999999998e-06,-5.43201e-05
0.0,0.0,0.1428575,0.0,0.0,1.53474e-06,0.00127363
0.0,0.0,0.1428575,0.0,1.0,1.5317600000000003e-06,-0.00015941
0.0,0.0,0.1428575,0.1428575,0.0,1.54374e-06,0.00128037
0.0,0.0,0.1428575,0.1428575,1.0,1.56053e-06,-0.00014036700000000002
0.0,0.0,0.1428575,0.285715,0.0,1.54828e-06,0.00081702
0.0,0.0,0.1428575,0.285715,1.0,1.5952200000000001e-06,-9.3185e-05
0.0,0.0,0.1428575,0.4285725,0.0,1.55899e-06,0.00081151
0.0,0.0,0.1428575,0.4285725,1.0,1.7e-06,-6.0875e-05
0.0,0.0,0.1428575,0.5714275,0.0,1.5824299999999999e-06,0.00137804
0.0,0.0,0.1428575,0.5714275,1.0,1.66768e-06,-5.29316e-05
0.0,0.0,0.1428575,0.7142850000000002,0.0,1.5856000000000001e-06,0.000935803
0.0,0.0,0.1428575,0.7142850000000002,1.0,1.6981700000000001e-06,-4.02529e-05
0.0,0.0,0.1428575,0.8571424999999998,0.0,1.51996e-06,0.0005758380000000001
0.0,0.0,0.1428575,0.8571424999999998,1.0,1.63826e-06,-4.1e-05
0.0,0.0,0.1428575,1.0,0.0,1.60822e-06,0.0006593660000000001
0.0,0.0,0.1428575,1.0,1.0,1.51268e-06,-5.9258199999999994e-05
0.0,0.0,0.285715,0.0,0.0,1.5498e-06,0.00105644
0.0,0.0,0.285715,0.0,1.0,1.5667199999999999e-06,-0.000118375
0.0,0.0,0.285715,0.1428575,0.0,1.55745e-06,0.000750993
0.0,0.0,0.285715,0.1428575,1.0,1.5856000000000001e-06,-9.438610000000001e-05
0.0,0.0,0.285715,0.285715,0.0,1.56984e-06,0.00106945
0.0,0.0,0.285715,0.285715,1.0,1.62143e-06,-7.73744e-05
0.0,0.0,0.285715,0.4285725,0.0,1.5856000000000001e-06,0.00143585
0.0,0.0,0.285715,0.4285725,1.0,1.65024e-06,-8.13334e-05
0.0,0.0,0.285715,0.5714275,0.0,1.5872e-06,0.00102508
0.0,0.0,0.285715,0.5714275,1.0,1.68368e-06,-5.45469e-05
0.0,0.0,0.285715,0.7142850000000002,0.0,1.5243600000000001e-06,0.000619842
0.0,0.0,0.285715,0.7142850000000002,1.0,1.63148e-06,-4.43703e-05
0.0,0.0,0.285715,0.8571424999999998,0.0,1.60495e-06,0.00069892
0.0,0.0,0.285715,0.8571424999999998,1.0,1.5025999999999998e-06,-6.31904e-05
0.0,0.0,0.285715,1.0,0.0,1.6468e-06,0.00197304
0.0,0.0,0.285715,1.0,1.0,1.5025999999999998e-06,-5.7658e-05
0.0,0.0,0.42857249999999986,0.0,0.0,1.5714e-06,0.000907646
0.0,0.0,0.42857249999999986,0.0,1.0,1.6016899999999998e-06,-0.000101191
0.0,0.0,0.42857249999999986,0.1428575,0.0,1.5824299999999999e-06,0.00132282
0.0,0.0,0.42857249999999986,0.1428575,1.0,1.61811e-06,-6.745239999999999e-05
0.0,0.0,0.42857249999999986,0.285715,0.0,1.592e-06,0.00126796
0.0,0.0,0.42857249999999986,0.285715,1.0,1.6468e-06,-7.2392e-05
0.0,0.0,0.42857249999999986,0.4285725,0.0,1.59361e-06,0.000872085
0.0,0.0,0.42857249999999986,0.4285725,1.0,1.56984e-06,-7.63951e-05
0.0,0.0,0.42857249999999986,0.5714275,0.0,1.5952200000000001e-06,0.000587979
0.0,0.0,0.42857249999999986,0.5714275,1.0,1.7e-06,-4.7972399999999995e-05
0.0,0.0,0.42857249999999986,0.7142850000000002,0.0,1.60986e-06,0.0007388469999999999
0.0,0.0,0.42857249999999986,0.7142850000000002,1.0,1.5903999999999998e-06,-9.68542e-05
0.0,0.0,0.42857249999999986,0.8571424999999998,0.0,1.64509e-06,0.00196799
0.0,0.0,0.42857249999999986,0.8571424999999998,1.0,1.48703e-06,-5.25201e-05
0.0,0.0,0.42857249999999986,1.0,0.0,1.66416e-06,0.0014014000000000001
0.0,0.0,0.42857249999999986,1.0,1.0,1.6033199999999999e-06,-7.81826e-05
0.0,0.0,0.5714274999999999,0.0,0.0,1.5968299999999999e-06,0.00132076
0.0,0.0,0.5714274999999999,0.0,1.0,1.5714e-06,-7.69727e-05
0.0,0.0,0.5714274999999999,0.1428575,0.0,1.5968299999999999e-06,0.000855447
0.0,0.0,0.5714274999999999,0.1428575,1.0,1.5792600000000002e-06,-7.620310000000001e-05
0.0,0.0,0.5714274999999999,0.285715,0.0,1.60007e-06,0.000645485
0.0,0.0,0.5714274999999999,0.285715,1.0,1.59845e-06,-6.48711e-05
0.0,0.0,0.5714274999999999,0.4285725,0.0,1.5407299999999997e-06,0.000619992
0.0,0.0,0.5714274999999999,0.4285725,1.0,1.49832e-06,-5.3986e-05
0.0,0.0,0.5714274999999999,0.5714275,0.0,1.6231e-06,0.000905596
0.0,0.0,0.5714274999999999,0.5714275,1.0,1.5888e-06,-8.1693e-05
0.0,0.0,0.5714274999999999,0.7142850000000002,0.0,1.6537000000000002e-06,0.00201925
0.0,0.0,0.5714274999999999,0.7142850000000002,1.0,1.4369499999999999e-06,-6.89603e-05
0.0,0.0,0.5714274999999999,0.8571424999999998,0.0,1.66416e-06,0.00147753
0.0,0.0,0.5714274999999999,0.8571424999999998,1.0,1.62143e-06,-6.7208e-05
0.0,0.0,0.5714274999999999,1.0,0.0,1.56828e-06,0.000579795
0.0,0.0,0.5714274999999999,1.0,1.0,1.5824299999999999e-06,-4.5260500000000005e-05
0.0,0.0,0.7142850000000001,0.0,0.0,1.6065799999999999e-06,0.000605178
0.0,0.0,0.7142850000000001,0.0,1.0,1.61315e-06,-5.64401e-05
0.0,0.0,0.7142850000000001,0.1428575,0.0,1.5467700000000002e-06,0.000618202
0.0,0.0,0.7142850000000001,0.1428575,1.0,1.5888e-06,-5.7237799999999996e-05
0.0,0.0,0.7142850000000001,0.285715,0.0,1.61977e-06,0.000643944
0.0,0.0,0.7142850000000001,0.285715,1.0,1.47316e-06,-6.0216499999999995e-05
0.0,0.0,0.7142850000000001,0.4285725,0.0,1.65024e-06,0.00130479
0.0,0.0,0.7142850000000001,0.4285725,1.0,1.5888e-06,-7.50534e-05
0.0,0.0,0.7142850000000001,0.5714275,0.0,1.66416e-06,0.00190185
0.0,0.0,0.7142850000000001,0.5714275,1.0,1.6115000000000002e-06,-4.5253599999999996e-05
0.0,0.0,0.7142850000000001,0.7142850000000002,0.0,1.66768e-06,0.00121095
0.0,0.0,0.7142850000000001,0.7142850000000002,1.0,1.68368e-06,-3.3798000000000004e-05
0.0,0.0,0.7142850000000001,0.8571424999999998,0.0,1.52143e-06,0.00056294
0.0,0.0,0.7142850000000001,0.8571424999999998,1.0,1.64166e-06,-3.27792e-05
0.0,0.0,0.7142850000000001,1.0,0.0,1.5258400000000001e-06,0.000452043
0.0,0.0,0.7142850000000001,1.0,1.0,1.48145e-06,-4.08416e-05
0.0,0.0,0.8571424999999999,0.0,0.0,1.63656e-06,0.000756574
0.0,0.0,0.8571424999999999,0.0,1.0,1.65024e-06,-4.3581800000000003e-05
0.0,0.0,0.8571424999999999,0.1428575,0.0,1.6606599999999998e-06,0.00157902
0.0,0.0,0.8571424999999999,0.1428575,1.0,1.61315e-06,-4.80433e-05
0.0,0.0,0.8571424999999999,0.285715,0.0,1.66944e-06,0.00186521
0.0,0.0,0.8571424999999999,0.285715,1.0,1.60986e-06,-4.7575100000000005e-05
0.0,0.0,0.8571424999999999,0.4285725,0.0,1.6712099999999998e-06,0.00125826
0.0,0.0,0.8571424999999999,0.4285725,1.0,1.68368e-06,-3.32009e-05
0.0,0.0,0.8571424999999999,0.5714275,0.0,1.57768e-06,0.000442875
0.0,0.0,0.8571424999999999,0.5714275,1.0,1.58084e-06,-4.23456e-05
0.0,0.0,0.8571424999999999,0.7142850000000002,0.0,1.5287899999999998e-06,0.0005563990000000001
0.0,0.0,0.8571424999999999,0.7142850000000002,1.0,1.65024e-06,-3.55744e-05
0.0,0.0,0.8571424999999999,0.8571424999999998,0.0,1.5317600000000003e-06,0.000376497
0.0,0.0,0.8571424999999999,0.8571424999999998,1.0,1.6554400000000001e-06,-3.09044e-05
0.0,0.0,0.8571424999999999,1.0,0.0,1.4e-06,0.000616416
0.0,0.0,0.8571424999999999,1.0,1.0,1.5856000000000001e-06,-3.49512e-05
0.0,0.0,1.0,0.0,0.0,1.6818900000000003e-06,0.00105679
0.0,0.0,1.0,0.0,1.0,1.63148e-06,-3.43058e-05
0.0,0.0,1.0,0.1428575,0.0,1.6818900000000003e-06,0.00039022199999999996
0.0,0.0,1.0,0.1428575,1.0,1.6468e-06,-3.51224e-05
0.0,0.0,1.0,0.285715,0.0,1.5317600000000003e-06,0.000454235
0.0,0.0,1.0,0.285715,1.0,1.64509e-06,-3.70992e-05
0.0,0.0,1.0,0.4285725,0.0,1.53474e-06,0.000429054
0.0,0.0,1.0,0.4285725,1.0,1.6606599999999998e-06,-4.2386000000000004e-05
0.0,0.0,1.0,0.5714275,0.0,1.5952200000000001e-06,0.000640435
0.0,0.0,1.0,0.5714275,1.0,1.66768e-06,-3.95301e-05
0.0,0.0,1.0,0.7142850000000002,0.0,1.4e-06,0.000527943
0.0,0.0,1.0,0.7142850000000002,1.0,1.5968299999999999e-06,-3.78633e-05
0.0,0.0,1.0,0.8571424999999998,0.0,1.49832e-06,0.000741385
0.0,0.0,1.0,0.8571424999999998,1.0,1.66768e-06,-3.81799e-05
0.0,0.0,1.0,1.0,0.0,1.59845e-06,0.00181117
0.0,0.0,1.0,1.0,1.0,1.6247700000000001e-06,-3.08577e-05
0.0,0.1428570000000001,0.0,0.0,0.0,1.5498e-06,0.00106462
0.0,0.1428570000000001,0.0,0.0,1.0,1.56984e-06,-0.00047432199999999995
0.0,0.1428570000000001,0.0,0.1428575,0.0,1.56053e-06,0.000985907
0.0,0.1428570000000001,0.0,0.1428575,1.0,1.6247700000000001e-06,-0.000437365
0.0,0.1428570000000001,0.0,0.285715,0.0,1.56984e-06,0.0009084360000000001
0.0,0.1428570000000001,0.0,0.285715,1.0,1.67653e-06,-0.00018031099999999997
0.0,0.1428570000000001,0.0,0.4285725,0.0,1.50834e-06,0.000887836
0.0,0.1428570000000001,0.0,0.4285725,1.0,1.43304e-06,-0.00011138200000000001
0.0,0.1428570000000001,0.0,0.5714275,0.0,1.51996e-06,0.000872808
0.0,0.1428570000000001,0.0,0.5714275,1.0,1.45416e-06,-7.670270000000001e-05
0.0,0.1428570000000001,0.0,0.7142850000000002,0.0,1.5317600000000003e-06,0.000804118
0.0,0.1428570000000001,0.0,0.7142850000000002,1.0,1.51558e-06,-7.26711e-05
0.0,0.1428570000000001,0.0,0.8571424999999998,0.0,1.5422299999999998e-06,0.000531688
0.0,0.1428570000000001,0.0,0.8571424999999998,1.0,1.4176e-06,-5.3621999999999996e-05
0.0,0.1428570000000001,0.0,1.0,0.0,1.49548e-06,0.0006504169999999999
0.0,0.1428570000000001,0.0,1.0,1.0,1.67475e-06,-4.9505e-05
0.0,0.1428570000000001,0.1428575,0.0,0.0,1.56984e-06,0.0010991
0.0,0.1428570000000001,0.1428575,0.0,1.0,1.5377299999999999e-06,-0.00034018599999999997
0.0,0.1428570000000001,0.1428575,0.1428575,0.0,1.5069e-06,0.00120238
0.0,0.1428570000000001,0.1428575,0.1428575,1.0,1.5824299999999999e-06,-0.000385366
0.0,0.1428570000000001,0.1428575,0.285715,0.0,1.51558e-06,0.00125635
