Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
10, 1.51e-06, 0.444444, 0.555556, 0, 1.7e-06, -0.000163059
10, 1.51e-06, 0.444444, 0.555556, 0, 1.69738e-06, -0.000155508
10, 1.51e-06, 0.444444, 0.555556, 0, 1.69476e-06, -0.000141625
10, 1.51e-06, 0.444444, 0.555556, 0, 1.69215e-06, -0.000120659
10, 1.51e-06, 0.444444, 0.555556, 0, 1.68955e-06, -9.23762e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.68696e-06, -5.71675e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.68437e-06, -1.60765e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.6818e-06, 2.92789e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.67923e-06, 7.68908e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.67667e-06, 0.00012463
10, 1.51e-06, 0.444444, 0.555556, 0, 1.67411e-06, 0.000170559
10, 1.51e-06, 0.444444, 0.555556, 0, 1.67157e-06, 0.000213221
10, 1.51e-06, 0.444444, 0.555556, 0, 1.66903e-06, 0.000251855
10, 1.51e-06, 0.444444, 0.555556, 0, 1.6665e-06, 0.000286442
10, 1.51e-06, 0.444444, 0.555556, 0, 1.66398e-06, 0.000317581
10, 1.51e-06, 0.444444, 0.555556, 0, 1.66147e-06, 0.000346146
10, 1.51e-06, 0.444444, 0.555556, 0, 1.65896e-06, 0.000372789
10, 1.51e-06, 0.444444, 0.555556, 0, 1.65646e-06, 0.000397374
10, 1.51e-06, 0.444444, 0.555556, 0, 1.65397e-06, 0.000418461
10, 1.51e-06, 0.444444, 0.555556, 0, 1.65148e-06, 0.000433034
10, 1.51e-06, 0.444444, 0.555556, 0, 1.64901e-06, 0.000436637
10, 1.51e-06, 0.444444, 0.555556, 0, 1.64654e-06, 0.000424109
10, 1.51e-06, 0.444444, 0.555556, 0, 1.64407e-06, 0.000391031
10, 1.51e-06, 0.444444, 0.555556, 0, 1.64162e-06, 0.000335964
10, 1.51e-06, 0.444444, 0.555556, 0, 1.63917e-06, 0.000263431
10, 1.51e-06, 0.444444, 0.555556, 0, 1.63673e-06, 0.000187509
10, 1.51e-06, 0.444444, 0.555556, 0, 1.6343e-06, 0.00013577
10, 1.51e-06, 0.444444, 0.555556, 0, 1.63187e-06, 0.000153231
10, 1.51e-06, 0.444444, 0.555556, 0, 1.62946e-06, 0.000305871
10, 1.51e-06, 0.444444, 0.555556, 0, 1.62704e-06, 0.000683255
10, 1.51e-06, 0.444444, 0.555556, 0, 1.62464e-06, 0.00139981
10, 1.51e-06, 0.444444, 0.555556, 0, 1.62224e-06, 0.00259436
10, 1.51e-06, 0.444444, 0.555556, 0, 1.61985e-06, 0.00442755
10, 1.51e-06, 0.444444, 0.555556, 0, 1.61747e-06, 0.00707716
10, 1.51e-06, 0.444444, 0.555556, 0, 1.61509e-06, 0.0107311
10, 1.51e-06, 0.444444, 0.555556, 0, 1.61272e-06, 0.0155787
10, 1.51e-06, 0.444444, 0.555556, 0, 1.61036e-06, 0.0218
10, 1.51e-06, 0.444444, 0.555556, 0, 1.60801e-06, 0.0295544
10, 1.51e-06, 0.444444, 0.555556, 0, 1.60566e-06, 0.0389689
10, 1.51e-06, 0.444444, 0.555556, 0, 1.60332e-06, 0.0501269
10, 1.51e-06, 0.444444, 0.555556, 0, 1.60098e-06, 0.0630582
10, 1.51e-06, 0.444444, 0.555556, 0, 1.59866e-06, 0.0777312
10, 1.51e-06, 0.444444, 0.555556, 0, 1.59633e-06, 0.0940479
10, 1.51e-06, 0.444444, 0.555556, 0, 1.59402e-06, 0.111842
10, 1.51e-06, 0.444444, 0.555556, 0, 1.59171e-06, 0.130881
10, 1.51e-06, 0.444444, 0.555556, 0, 1.58941e-06, 0.15087
10, 1.51e-06, 0.444444, 0.555556, 0, 1.58712e-06, 0.171466
10, 1.51e-06, 0.444444, 0.555556, 0, 1.58483e-06, 0.192281
10, 1.51e-06, 0.444444, 0.555556, 0, 1.58255e-06, 0.212906
10, 1.51e-06, 0.444444, 0.555556, 0, 1.58027e-06, 0.232921
10, 1.51e-06, 0.444444, 0.555556, 0, 1.57801e-06, 0.251913
10, 1.51e-06, 0.444444, 0.555556, 0, 1.57574e-06, 0.269494
10, 1.51e-06, 0.444444, 0.555556, 0, 1.57349e-06, 0.285314
10, 1.51e-06, 0.444444, 0.555556, 0, 1.57124e-06, 0.299077
10, 1.51e-06, 0.444444, 0.555556, 0, 1.569e-06, 0.310547
10, 1.51e-06, 0.444444, 0.555556, 0, 1.56676e-06, 0.31956
10, 1.51e-06, 0.444444, 0.555556, 0, 1.56453e-06, 0.326021
10, 1.51e-06, 0.444444, 0.555556, 0, 1.56231e-06, 0.329909
10, 1.51e-06, 0.444444, 0.555556, 0, 1.56009e-06, 0.331271
10, 1.51e-06, 0.444444, 0.555556, 0, 1.55788e-06, 0.330212
10, 1.51e-06, 0.444444, 0.555556, 0, 1.55568e-06, 0.326891
10, 1.51e-06, 0.444444, 0.555556, 0, 1.55348e-06, 0.321507
10, 1.51e-06, 0.444444, 0.555556, 0, 1.55129e-06, 0.314286
10, 1.51e-06, 0.444444, 0.555556, 0, 1.5491e-06, 0.305472
10, 1.51e-06, 0.444444, 0.555556, 0, 1.54692e-06, 0.295314
10, 1.51e-06, 0.444444, 0.555556, 0, 1.54475e-06, 0.284056
10, 1.51e-06, 0.444444, 0.555556, 0, 1.54258e-06, 0.271931
10, 1.51e-06, 0.444444, 0.555556, 0, 1.54042e-06, 0.259152
10, 1.51e-06, 0.444444, 0.555556, 0, 1.53827e-06, 0.245909
10, 1.51e-06, 0.444444, 0.555556, 0, 1.53612e-06, 0.232367
10, 1.51e-06, 0.444444, 0.555556, 0, 1.53397e-06, 0.218668
10, 1.51e-06, 0.444444, 0.555556, 0, 1.53184e-06, 0.204929
10, 1.51e-06, 0.444444, 0.555556, 0, 1.5297e-06, 0.191249
10, 1.51e-06, 0.444444, 0.555556, 0, 1.52758e-06, 0.177706
10, 1.51e-06, 0.444444, 0.555556, 0, 1.52546e-06, 0.164369
10, 1.51e-06, 0.444444, 0.555556, 0, 1.52335e-06, 0.151295
10, 1.51e-06, 0.444444, 0.555556, 0, 1.52124e-06, 0.138537
10, 1.51e-06, 0.444444, 0.555556, 0, 1.51914e-06, 0.126141
10, 1.51e-06, 0.444444, 0.555556, 0, 1.51704e-06, 0.114157
10, 1.51e-06, 0.444444, 0.555556, 0, 1.51495e-06, 0.102629
10, 1.51e-06, 0.444444, 0.555556, 0, 1.51287e-06, 0.0916067
10, 1.51e-06, 0.444444, 0.555556, 0, 1.51079e-06, 0.0811348
10, 1.51e-06, 0.444444, 0.555556, 0, 1.50871e-06, 0.0712585
10, 1.51e-06, 0.444444, 0.555556, 0, 1.50665e-06, 0.0620195
10, 1.51e-06, 0.444444, 0.555556, 0, 1.50458e-06, 0.0534543
10, 1.51e-06, 0.444444, 0.555556, 0, 1.50253e-06, 0.0455924
10, 1.51e-06, 0.444444, 0.555556, 0, 1.50048e-06, 0.0384544
10, 1.51e-06, 0.444444, 0.555556, 0, 1.49843e-06, 0.0320505
10, 1.51e-06, 0.444444, 0.555556, 0, 1.49639e-06, 0.0263795
10, 1.51e-06, 0.444444, 0.555556, 0, 1.49436e-06, 0.0214281
10, 1.51e-06, 0.444444, 0.555556, 0, 1.49233e-06, 0.0171712
10, 1.51e-06, 0.444444, 0.555556, 0, 1.49031e-06, 0.0135722
10, 1.51e-06, 0.444444, 0.555556, 0, 1.48829e-06, 0.0105844
10, 1.51e-06, 0.444444, 0.555556, 0, 1.48628e-06, 0.00815282
10, 1.51e-06, 0.444444, 0.555556, 0, 1.48427e-06, 0.00621624
10, 1.51e-06, 0.444444, 0.555556, 0, 1.48227e-06, 0.00470962
10, 1.51e-06, 0.444444, 0.555556, 0, 1.48028e-06, 0.00356662
10, 1.51e-06, 0.444444, 0.555556, 0, 1.47829e-06, 0.00272207
10, 1.51e-06, 0.444444, 0.555556, 0, 1.4763e-06, 0.00211426
10, 1.51e-06, 0.444444, 0.555556, 0, 1.47432e-06, 0.00168687
10, 1.51e-06, 0.444444, 0.555556, 0, 1.47235e-06, 0.00139051
10, 1.51e-06, 0.444444, 0.555556, 0, 1.47038e-06, 0.00118369
10, 1.51e-06, 0.444444, 0.555556, 0, 1.46841e-06, 0.00103329
10, 1.51e-06, 0.444444, 0.555556, 0, 1.46646e-06, 0.000914518
10, 1.51e-06, 0.444444, 0.555556, 0, 1.4645e-06, 0.000810327
10, 1.51e-06, 0.444444, 0.555556, 0, 1.46255e-06, 0.000710487
10, 1.51e-06, 0.444444, 0.555556, 0, 1.46061e-06, 0.000610356
10, 1.51e-06, 0.444444, 0.555556, 0, 1.45867e-06, 0.000509488
10, 1.51e-06, 0.444444, 0.555556, 0, 1.45674e-06, 0.000410209
10, 1.51e-06, 0.444444, 0.555556, 0, 1.45481e-06, 0.000316283
10, 1.51e-06, 0.444444, 0.555556, 0, 1.45289e-06, 0.000231754
10, 1.51e-06, 0.444444, 0.555556, 0, 1.45097e-06, 0.000160062
10, 1.51e-06, 0.444444, 0.555556, 0, 1.44906e-06, 0.00010344
10, 1.51e-06, 0.444444, 0.555556, 0, 1.44715e-06, 6.26264e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.44525e-06, 3.68547e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.44335e-06, 2.40735e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.44146e-06, 2.13282e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.43957e-06, 2.52278e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.43769e-06, 3.24205e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.43581e-06, 4.00118e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.43394e-06, 4.58729e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.43207e-06, 4.88113e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.43021e-06, 4.85929e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.42835e-06, 4.58299e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.4265e-06, 4.1761e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.42465e-06, 3.79675e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.42281e-06, 3.60671e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.42097e-06, 3.74329e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.41914e-06, 4.29717e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.41731e-06, 5.29893e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.41548e-06, 6.71541e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.41366e-06, 8.45559e-05
10, 1.51e-06, 0.444444, 0.555556, 0, 1.41185e-06, 0.000103848
10, 1.51e-06, 0.444444, 0.555556, 0, 1.41004e-06, 0.000123444
10, 1.51e-06, 0.444444, 0.555556, 0, 1.40823e-06, 0.000141743
10, 1.51e-06, 0.444444, 0.555556, 0, 1.40643e-06, 0.000157354
10, 1.51e-06, 0.444444, 0.555556, 0, 1.40463e-06, 0.000169275
10, 1.51e-06, 0.444444, 0.555556, 0, 1.40284e-06, 0.000177034
10, 1.51e-06, 0.444444, 0.555556, 0, 1.40105e-06, 0.000180746
10, 1.51e-06, 0.444444, 0.555556, 0, 1.39927e-06, 0.000181106
10, 1.51e-06, 0.444444, 0.555556, 0, 1.39749e-06, 0.000179311
10, 1.51e-06, 0.444444, 0.555556, 0, 1.39572e-06, 0.00017693
10, 1.51e-06, 0.444444, 0.555556, 0, 1.39395e-06, 0.000175739
10, 1.51e-06, 0.444444, 0.555556, 0, 1.39218e-06, 0.00017754
10, 1.51e-06, 0.444444, 0.555556, 0, 1.39042e-06, 0.000183999
10, 1.51e-06, 0.444444, 0.555556, 0, 1.38866e-06, 0.000196496
10, 1.51e-06, 0.444444, 0.555556, 0, 1.38691e-06, 0.000216029
10, 1.51e-06, 0.444444, 0.555556, 0, 1.38517e-06, 0.00024316
10, 1.51e-06, 0.444444, 0.555556, 0, 1.38342e-06, 0.000278004
10, 1.51e-06, 0.444444, 0.555556, 0, 1.38168e-06, 0.000320266
10, 1.51e-06, 0.444444, 0.555556, 0, 1.37995e-06, 0.000369306
10, 1.51e-06, 0.444444, 0.555556, 0, 1.37822e-06, 0.000424219
10, 1.51e-06, 0.444444, 0.555556, 0, 1.37649e-06, 0.00048393
10, 1.51e-06, 0.444444, 0.555556, 0, 1.37477e-06, 0.000547269
10, 1.51e-06, 0.444444, 0.555556, 0, 1.37306e-06, 0.000613045
10, 1.51e-06, 0.444444, 0.555556, 0, 1.37134e-06, 0.000680099
10, 1.51e-06, 0.444444, 0.555556, 0, 1.36964e-06, 0.000747343
10, 1.51e-06, 0.444444, 0.555556, 0, 1.36793e-06, 0.000813786
10, 1.51e-06, 0.444444, 0.555556, 0, 1.36623e-06, 0.000878571
10, 1.51e-06, 0.444444, 0.555556, 0, 1.36454e-06, 0.000941009
10, 1.51e-06, 0.444444, 0.555556, 0, 1.36284e-06, 0.00100064
