Fill Factor,Pitch,Duty Cycle,Theta,Lambda,Transmission,Mode
0.2,5.00E-07,0.4,5,1.70E-06,9.68E-05, TM
0.2,5.00E-07,0.4,5,1.70E-06,9.79E-05, TM
0.2,5.00E-07,0.4,5,1.69E-06,9.97E-05, TM
0.2,5.00E-07,0.4,5,1.69E-06,0.000101789, TM
0.2,5.00E-07,0.4,5,1.69E-06,0.000103621, TM
0.2,5.00E-07,0.4,5,1.69E-06,0.000104705, TM
0.2,5.00E-07,0.4,5,1.68E-06,0.000104577, TM
0.2,5.00E-07,0.4,5,1.68E-06,0.000102846, TM
0.2,5.00E-07,0.4,5,1.68E-06,9.92E-05, TM
0.2,5.00E-07,0.4,5,1.68E-06,9.35E-05, TM
0.2,5.00E-07,0.4,5,1.67E-06,8.58E-05, TM
0.2,5.00E-07,0.4,5,1.67E-06,7.62E-05, TM
0.2,5.00E-07,0.4,5,1.67E-06,6.51E-05, TM
0.2,5.00E-07,0.4,5,1.67E-06,5.29E-05, TM
0.2,5.00E-07,0.4,5,1.66E-06,4.06E-05, TM
0.2,5.00E-07,0.4,5,1.66E-06,2.89E-05, TM
0.2,5.00E-07,0.4,5,1.66E-06,1.88E-05, TM
0.2,5.00E-07,0.4,5,1.66E-06,1.13E-05, TM
0.2,5.00E-07,0.4,5,1.65E-06,7.35E-06, TM
0.2,5.00E-07,0.4,5,1.65E-06,7.87E-06, TM
0.2,5.00E-07,0.4,5,1.65E-06,1.35E-05, TM
0.2,5.00E-07,0.4,5,1.65E-06,2.46E-05, TM
0.2,5.00E-07,0.4,5,1.64E-06,4.13E-05, TM
0.2,5.00E-07,0.4,5,1.64E-06,6.34E-05, TM
0.2,5.00E-07,0.4,5,1.64E-06,9.01E-05, TM
0.2,5.00E-07,0.4,5,1.64E-06,0.000120466, TM
0.2,5.00E-07,0.4,5,1.63E-06,0.000153274, TM
0.2,5.00E-07,0.4,5,1.63E-06,0.000187027, TM
0.2,5.00E-07,0.4,5,1.63E-06,0.000220139, TM
0.2,5.00E-07,0.4,5,1.63E-06,0.000251029, TM
0.2,5.00E-07,0.4,5,1.62E-06,0.000278228, TM
0.2,5.00E-07,0.4,5,1.62E-06,0.000300492, TM
0.2,5.00E-07,0.4,5,1.62E-06,0.00031688, TM
0.2,5.00E-07,0.4,5,1.62E-06,0.000326825, TM
0.2,5.00E-07,0.4,5,1.62E-06,0.000330155, TM
0.2,5.00E-07,0.4,5,1.61E-06,0.000327093, TM
0.2,5.00E-07,0.4,5,1.61E-06,0.000318224, TM
0.2,5.00E-07,0.4,5,1.61E-06,0.000304423, TM
0.2,5.00E-07,0.4,5,1.61E-06,0.00028678, TM
0.2,5.00E-07,0.4,5,1.60E-06,0.000266492, TM
0.2,5.00E-07,0.4,5,1.60E-06,0.000244768, TM
0.2,5.00E-07,0.4,5,1.60E-06,0.000222732, TM
0.2,5.00E-07,0.4,5,1.60E-06,0.000201347, TM
0.2,5.00E-07,0.4,5,1.59E-06,0.000181351, TM
0.2,5.00E-07,0.4,5,1.59E-06,0.000163226, TM
0.2,5.00E-07,0.4,5,1.59E-06,0.000147189, TM
0.2,5.00E-07,0.4,5,1.59E-06,0.00013321, TM
0.2,5.00E-07,0.4,5,1.58E-06,0.00012105, TM
0.2,5.00E-07,0.4,5,1.58E-06,0.000110313, TM
0.2,5.00E-07,0.4,5,1.58E-06,0.000100511, TM
0.2,5.00E-07,0.4,5,1.58E-06,9.11E-05, TM
0.2,5.00E-07,0.4,5,1.58E-06,8.17E-05, TM
0.2,5.00E-07,0.4,5,1.57E-06,7.18E-05, TM
0.2,5.00E-07,0.4,5,1.57E-06,6.13E-05, TM
0.2,5.00E-07,0.4,5,1.57E-06,5.01E-05, TM
0.2,5.00E-07,0.4,5,1.57E-06,3.83E-05, TM
0.2,5.00E-07,0.4,5,1.56E-06,2.63E-05, TM
0.2,5.00E-07,0.4,5,1.56E-06,1.46E-05, TM
0.2,5.00E-07,0.4,5,1.56E-06,3.86E-06, TM
0.2,5.00E-07,0.4,5,1.56E-06,-5.00E-06, TM
0.2,5.00E-07,0.4,5,1.56E-06,-1.10E-05, TM
0.2,5.00E-07,0.4,5,1.55E-06,-1.33E-05, TM
0.2,5.00E-07,0.4,5,1.55E-06,-1.07E-05, TM
0.2,5.00E-07,0.4,5,1.55E-06,-2.34E-06, TM
0.2,5.00E-07,0.4,5,1.55E-06,1.26E-05, TM
0.2,5.00E-07,0.4,5,1.54E-06,3.49E-05, TM
0.2,5.00E-07,0.4,5,1.54E-06,6.50E-05, TM
0.2,5.00E-07,0.4,5,1.54E-06,0.000103017, TM
0.2,5.00E-07,0.4,5,1.54E-06,0.000148826, TM
0.2,5.00E-07,0.4,5,1.54E-06,0.000201946, TM
0.2,5.00E-07,0.4,5,1.53E-06,0.000261519, TM
0.2,5.00E-07,0.4,5,1.53E-06,0.000326322, TM
0.2,5.00E-07,0.4,5,1.53E-06,0.000394792, TM
0.2,5.00E-07,0.4,5,1.53E-06,0.000465074, TM
0.2,5.00E-07,0.4,5,1.53E-06,0.000535083, TM
0.2,5.00E-07,0.4,5,1.52E-06,0.000602592, TM
0.2,5.00E-07,0.4,5,1.52E-06,0.00066533, TM
0.2,5.00E-07,0.4,5,1.52E-06,0.000721094, TM
0.2,5.00E-07,0.4,5,1.52E-06,0.000767855, TM
0.2,5.00E-07,0.4,5,1.51E-06,0.000803865, TM
0.2,5.00E-07,0.4,5,1.51E-06,0.000827756, TM
0.2,5.00E-07,0.4,5,1.51E-06,0.000838605, TM
0.2,5.00E-07,0.4,5,1.51E-06,0.000835995, TM
0.2,5.00E-07,0.4,5,1.51E-06,0.000820031, TM
0.2,5.00E-07,0.4,5,1.50E-06,0.000791341, TM
0.2,5.00E-07,0.4,5,1.50E-06,0.000751036, TM
0.2,5.00E-07,0.4,5,1.50E-06,0.000700654, TM
0.2,5.00E-07,0.4,5,1.50E-06,0.00064208, TM
0.2,5.00E-07,0.4,5,1.50E-06,0.000577442, TM
0.2,5.00E-07,0.4,5,1.49E-06,0.000509013, TM
0.2,5.00E-07,0.4,5,1.49E-06,0.000439098, TM
0.2,5.00E-07,0.4,5,1.49E-06,0.000369928, TM
0.2,5.00E-07,0.4,5,1.49E-06,0.000303569, TM
0.2,5.00E-07,0.4,5,1.49E-06,0.000241837, TM
0.2,5.00E-07,0.4,5,1.48E-06,0.00018624, TM
0.2,5.00E-07,0.4,5,1.48E-06,0.000137934, TM
0.2,5.00E-07,0.4,5,1.48E-06,9.77E-05, TM
0.2,5.00E-07,0.4,5,1.48E-06,6.59E-05, TM
0.2,5.00E-07,0.4,5,1.48E-06,4.27E-05, TM
0.2,5.00E-07,0.4,5,1.47E-06,2.77E-05, TM
0.2,5.00E-07,0.4,5,1.47E-06,2.04E-05, TM
0.2,5.00E-07,0.4,5,1.47E-06,1.99E-05, TM
0.2,5.00E-07,0.4,5,1.47E-06,2.54E-05, TM
0.2,5.00E-07,0.4,5,1.47E-06,3.56E-05, TM
0.2,5.00E-07,0.4,5,1.46E-06,4.95E-05, TM
0.2,5.00E-07,0.4,5,1.46E-06,6.59E-05, TM
0.2,5.00E-07,0.4,5,1.46E-06,8.36E-05, TM
0.2,5.00E-07,0.4,5,1.46E-06,0.000101743, TM
0.2,5.00E-07,0.4,5,1.46E-06,0.000119372, TM
0.2,5.00E-07,0.4,5,1.45E-06,0.000135765, TM
0.2,5.00E-07,0.4,5,1.45E-06,0.000150355, TM
0.2,5.00E-07,0.4,5,1.45E-06,0.00016275, TM
0.2,5.00E-07,0.4,5,1.45E-06,0.000172718, TM
0.2,5.00E-07,0.4,5,1.45E-06,0.000180183, TM
0.2,5.00E-07,0.4,5,1.45E-06,0.000185201, TM
0.2,5.00E-07,0.4,5,1.44E-06,0.000187935, TM
0.2,5.00E-07,0.4,5,1.44E-06,0.000188626, TM
0.2,5.00E-07,0.4,5,1.44E-06,0.000187563, TM
0.2,5.00E-07,0.4,5,1.44E-06,0.000185054, TM
0.2,5.00E-07,0.4,5,1.44E-06,0.000181403, TM
0.2,5.00E-07,0.4,5,1.43E-06,0.000176886, TM
0.2,5.00E-07,0.4,5,1.43E-06,0.000171737, TM
0.2,5.00E-07,0.4,5,1.43E-06,0.00016614, TM
0.2,5.00E-07,0.4,5,1.43E-06,0.000160229, TM
0.2,5.00E-07,0.4,5,1.43E-06,0.000154091, TM
0.2,5.00E-07,0.4,5,1.42E-06,0.000147782, TM
0.2,5.00E-07,0.4,5,1.42E-06,0.00014134, TM
0.2,5.00E-07,0.4,5,1.42E-06,0.000134805, TM
0.2,5.00E-07,0.4,5,1.42E-06,0.000128241, TM
0.2,5.00E-07,0.4,5,1.42E-06,0.000121755, TM
0.2,5.00E-07,0.4,5,1.42E-06,0.000115519, TM
0.2,5.00E-07,0.4,5,1.41E-06,0.000109778, TM
0.2,5.00E-07,0.4,5,1.41E-06,0.000104863, TM
0.2,5.00E-07,0.4,5,1.41E-06,0.000101195, TM
0.2,5.00E-07,0.4,5,1.41E-06,9.93E-05, TM
0.2,5.00E-07,0.4,5,1.41E-06,9.97E-05, TM
0.2,5.00E-07,0.4,5,1.40E-06,0.000103052, TM
0.2,5.00E-07,0.4,5,1.40E-06,0.000110033, TM
0.2,5.00E-07,0.4,5,1.40E-06,0.000121281, TM
0.2,5.00E-07,0.4,5,1.40E-06,0.000137411, TM
0.2,5.00E-07,0.4,5,1.40E-06,0.000158953, TM
0.2,5.00E-07,0.4,5,1.40E-06,0.000186316, TM
0.2,5.00E-07,0.4,5,1.39E-06,0.000219744, TM
0.2,5.00E-07,0.4,5,1.39E-06,0.000259279, TM
0.2,5.00E-07,0.4,5,1.39E-06,0.000304727, TM
0.2,5.00E-07,0.4,5,1.39E-06,0.000355637, TM
