,Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5212,0.7142866666666666,0.0,0.7142850000000001,0.8571424999999998,0.0,1.4448400000000002e-06,0.000533915
7730,1.0,0.5714299999999998,0.42857249999999986,0.1428575,0.0,1.6712099999999998e-06,0.00276111
1562,0.14285733333333336,0.5714299999999998,0.1428575,0.7142850000000002,0.0,1.7e-06,0.0061826
4428,0.5714266666666667,0.28571399999999997,0.5714274999999999,0.8571424999999998,0.0,1.6399599999999997e-06,0.139388
2187,0.28571399999999997,0.1428570000000001,0.0,0.7142850000000002,1.0,1.59845e-06,-0.00010999399999999999
7793,1.0,0.5714299999999998,1.0,0.0,1.0,1.45149e-06,-0.000463775
2917,0.28571399999999997,0.8571399999999998,0.8571424999999999,0.285715,1.0,1.6963499999999999e-06,-0.000773798
7430,1.0,0.28571399999999997,0.0,0.4285725,0.0,1.67653e-06,0.0701306
2503,0.28571399999999997,0.428571,0.5714274999999999,0.4285725,1.0,1.42657e-06,-5.631229999999999e-05
6836,0.8571399999999999,0.71429,0.42857249999999986,0.285715,0.0,1.42399e-06,0.0246397
5307,0.7142866666666666,0.1428570000000001,0.42857249999999986,0.7142850000000002,1.0,1.5888e-06,-0.00039158199999999997
3287,0.4285733333333333,0.1428570000000001,0.7142850000000001,0.4285725,1.0,1.6712099999999998e-06,-0.00012846
5329,0.7142866666666666,0.1428570000000001,0.7142850000000001,0.0,1.0,1.6712099999999998e-06,-0.000314985
1669,0.14285733333333336,0.71429,0.0,0.285715,1.0,1.67475e-06,-0.000524637
726,0.0,0.71429,0.7142850000000001,0.4285725,0.0,1.4e-06,0.00244769
4123,0.5714266666666667,0.0,0.1428575,0.7142850000000002,1.0,1.5824299999999999e-06,-0.000221326
4536,0.5714266666666667,0.428571,0.42857249999999986,0.5714275,0.0,1.63826e-06,0.016641299999999998
5971,0.7142866666666666,0.8571399999999998,0.7142850000000001,0.1428575,1.0,1.6433700000000002e-06,-0.000437981
3741,0.4285733333333333,0.71429,0.1428575,0.8571424999999998,1.0,1.5888e-06,-0.000218408
100,0.0,0.0,0.8571424999999999,0.285715,0.0,1.66944e-06,0.00186521
3491,0.4285733333333333,0.428571,0.285715,0.1428575,1.0,1.4201499999999999e-06,-0.00011777700000000001
984,0.0,1.0,0.7142850000000001,0.5714275,0.0,1.5258400000000001e-06,0.0278928
7252,1.0,0.0,0.7142850000000001,0.285715,0.0,1.48843e-06,0.00103856
4247,0.5714266666666667,0.1428570000000001,0.1428575,0.4285725,1.0,1.4163299999999999e-06,-9.47397e-05
3864,0.4285733333333333,0.8571399999999998,0.1428575,0.5714275,0.0,1.4448400000000002e-06,0.147899
8178,1.0,1.0,1.0,0.1428575,0.0,1.7e-06,0.0486098
3574,0.4285733333333333,0.428571,1.0,0.4285725,0.0,1.6148e-06,0.013764600000000002
5732,0.7142866666666666,0.5714299999999998,0.8571424999999999,0.285715,0.0,1.6331700000000001e-06,0.00187003
2105,0.28571399999999997,0.0,0.42857249999999986,0.5714275,1.0,1.4581899999999998e-06,-6.958640000000001e-05
2124,0.28571399999999997,0.0,0.5714274999999999,0.8571424999999998,0.0,1.6872799999999998e-06,0.000876751
4274,0.5714266666666667,0.1428570000000001,0.42857249999999986,0.1428575,0.0,1.40373e-06,0.190574
2741,0.28571399999999997,0.71429,0.42857249999999986,0.285715,1.0,1.6963499999999999e-06,-0.000122611
4334,0.5714266666666667,0.1428570000000001,0.8571424999999999,1.0,0.0,1.48145e-06,0.377836
3049,0.28571399999999997,1.0,0.8571424999999999,0.5714275,1.0,1.68368e-06,-0.00111256
6179,0.8571399999999999,0.0,0.285715,0.1428575,1.0,1.41126e-06,-0.00022722200000000001
1051,0.14285733333333336,0.0,0.1428575,0.7142850000000002,1.0,1.66768e-06,-5.5613900000000006e-05
3708,0.4285733333333333,0.5714299999999998,1.0,0.8571424999999998,0.0,1.5258400000000001e-06,0.00154997
1442,0.14285733333333336,0.428571,0.285715,0.1428575,0.0,1.7e-06,0.12330999999999999
1346,0.14285733333333336,0.28571399999999997,0.5714274999999999,0.1428575,0.0,1.55591e-06,0.31612199999999996
4924,0.5714266666666667,0.8571399999999998,0.42857249999999986,0.8571424999999998,0.0,1.5069e-06,0.09431360000000001
359,0.0,0.28571399999999997,0.8571424999999999,0.4285725,1.0,1.4690399999999999e-06,-5.6273900000000003e-05
4410,0.5714266666666667,0.28571399999999997,0.42857249999999986,0.7142850000000002,0.0,1.61811e-06,0.16367
7063,0.8571399999999999,1.0,0.1428575,0.4285725,1.0,1.62812e-06,-0.00110778
1458,0.14285733333333336,0.428571,0.42857249999999986,0.1428575,0.0,1.7e-06,0.131718
2903,0.28571399999999997,0.8571399999999998,0.7142850000000001,0.4285725,1.0,1.6963499999999999e-06,-0.0008911110000000001
6688,0.8571399999999999,0.5714299999999998,0.285715,0.0,0.0,1.64166e-06,0.00387699
2319,0.28571399999999997,0.28571399999999997,0.0,1.0,1.0,1.41126e-06,-6.62265e-05
4888,0.5714266666666667,0.8571399999999998,0.1428575,0.5714275,0.0,1.4636e-06,0.209919
8026,1.0,0.8571399999999998,0.7142850000000001,0.7142850000000002,0.0,1.57768e-06,0.00940223
3703,0.4285733333333333,0.5714299999999998,1.0,0.4285725,1.0,1.47041e-06,-8.67786e-05
6276,0.8571399999999999,0.1428570000000001,0.0,0.285715,0.0,1.40498e-06,0.19917
3359,0.4285733333333333,0.28571399999999997,0.1428575,1.0,1.0,1.4842400000000002e-06,-9.26643e-05
816,0.0,0.8571399999999998,0.42857249999999986,0.0,0.0,1.4125299999999998e-06,0.00403706
2295,0.28571399999999997,0.1428570000000001,1.0,0.4285725,1.0,1.4369499999999999e-06,-0.00035087599999999997
3171,0.4285733333333333,0.0,0.8571424999999999,0.1428575,1.0,1.40498e-06,-5.7980200000000004e-05
4545,0.5714266666666667,0.428571,0.5714274999999999,0.0,1.0,1.5228899999999998e-06,-0.000284163
7865,1.0,0.71429,0.42857249999999986,0.5714275,1.0,1.4e-06,-0.00046258
1618,0.14285733333333336,0.5714299999999998,0.7142850000000001,0.1428575,0.0,1.7e-06,0.0228812
7159,0.8571399999999999,1.0,1.0,0.4285725,1.0,1.5714e-06,-0.00306607
6609,0.8571399999999999,0.428571,0.7142850000000001,0.0,1.0,1.56828e-06,-0.00043219199999999997
4931,0.5714266666666667,0.8571399999999998,0.5714274999999999,0.1428575,1.0,1.6606599999999998e-06,-0.000601227
284,0.0,0.28571399999999997,0.1428575,0.8571424999999998,0.0,1.50834e-06,0.302566
2095,0.28571399999999997,0.0,0.285715,1.0,1.0,1.5141299999999998e-06,-8.44441e-05
3110,0.4285733333333333,0.0,0.285715,0.4285725,0.0,1.5243600000000001e-06,0.00093146
988,0.0,1.0,0.7142850000000001,0.8571424999999998,0.0,1.53623e-06,0.014196
7627,1.0,0.428571,0.5714274999999999,0.7142850000000002,1.0,1.41e-06,-0.00023441
2664,0.28571399999999997,0.5714299999999998,0.8571424999999999,0.5714275,0.0,1.7e-06,0.00894395
2457,0.28571399999999997,0.428571,0.1428575,0.5714275,1.0,1.6433700000000002e-06,-0.000103773
4945,0.5714266666666667,0.8571399999999998,0.7142850000000001,0.0,1.0,1.63826e-06,-0.000868209
7102,0.8571399999999999,1.0,0.42857249999999986,1.0,0.0,1.6818900000000003e-06,0.0771039
5241,0.7142866666666666,0.0,1.0,0.5714275,1.0,1.4448400000000002e-06,-0.000109823
3433,0.4285733333333333,0.28571399999999997,0.8571424999999999,0.5714275,1.0,1.4176e-06,-6.95878e-05
6043,0.7142866666666666,1.0,0.1428575,0.7142850000000002,1.0,1.5824299999999999e-06,-0.00153797
5195,0.7142866666666666,0.0,0.5714274999999999,0.7142850000000002,1.0,1.41887e-06,-0.000177858
1945,0.14285733333333336,1.0,0.1428575,0.5714275,1.0,1.43826e-06,-0.00323739
3449,0.4285733333333333,0.28571399999999997,1.0,0.5714275,1.0,1.45954e-06,-7.68751e-05
5099,0.5714266666666667,1.0,0.8571424999999999,0.7142850000000002,1.0,1.6624099999999998e-06,-0.000876733
6640,0.8571399999999999,0.428571,1.0,0.0,0.0,1.69271e-06,0.0154418
4783,0.5714266666666667,0.71429,0.285715,1.0,1.0,1.57768e-06,-0.000250199
4938,0.5714266666666667,0.8571399999999998,0.5714274999999999,0.7142850000000002,0.0,1.5112299999999998e-06,0.01649
7286,1.0,0.0,1.0,0.4285725,0.0,1.44352e-06,0.000861219
1553,0.14285733333333336,0.5714299999999998,0.1428575,0.0,1.0,1.6297999999999998e-06,-0.000157722
7833,1.0,0.71429,0.1428575,0.5714275,1.0,1.4e-06,-0.000384093
