,Fill Factor,Pitch,Duty Cycle,Theta,Lambda,Transmission,Mode
16474,0.6,7e-07,0.4,5,1.53e-06,0.0007232810000000001,1
5700,0.36,5e-07,0.56,5,1.47e-06,7.46e-05,1
8102,0.36,5e-07,0.64,5,1.47e-06,7.219999999999999e-05,1
7375,0.2,5e-07,0.64,5,1.34e-06,0.000598088,1
21325,0.6,7e-07,0.56,5,1.42e-06,0.14841300000000002,1
23744,0.6,7e-07,0.64,5,1.39e-06,0.00402939,1
6018,0.44,5e-07,0.56,5,1.65e-06,0.00012514,1
12884,0.36,5e-07,0.8,5,1.5e-06,-8.09e-07,1
14182,0.6,5e-07,0.8,5,1.33e-06,0.000923138,1
4058,0.52,5e-07,0.48,5,1.56e-06,6.49e-06,1
23784,0.6,7e-07,0.64,5,1.32e-06,0.00018457,1
19308,0.2,7e-07,0.56,5,1.46e-06,0.00155027,1
22086,0.28,7e-07,0.64,5,1.5e-06,0.00129654,1
19714,0.28,7e-07,0.56,5,1.45e-06,0.00500841,1
24410,0.28,7e-07,0.72,5,1.67e-06,-1.87e-05,1
3646,0.44,5e-07,0.48,5,1.59e-06,0.000691478,1
14525,0.2,7e-07,0.4,5,1.42e-06,0.00011265799999999999,1
928,0.36,5e-07,0.4,5,1.42e-06,0.000201974,1
878,0.36,5e-07,0.4,5,1.52e-06,0.000261985,1
3656,0.44,5e-07,0.48,5,1.56e-06,0.000643194,1
12088,0.2,5e-07,0.8,5,1.5e-06,1.67e-05,1
6432,0.52,5e-07,0.56,5,1.62e-06,0.000279782,1
9302,0.6,5e-07,0.64,5,1.47e-06,0.000138844,1
18003,0.44,7e-07,0.48,5,1.69e-06,-8.759999999999999e-05,1
516,0.28,5e-07,0.4,5,1.44e-06,0.00017637,1
7606,0.28,5e-07,0.64,5,1.68e-06,7.3e-05,1
14111,0.6,5e-07,0.8,5,1.45e-06,0.000531255,1
24495,0.28,7e-07,0.72,5,1.48e-06,0.023591,1
16177,0.52,7e-07,0.4,5,1.33e-06,0.0164371,1
11722,0.6,5e-07,0.72,5,1.43e-06,0.00011737399999999999,1
19212,0.2,7e-07,0.56,5,1.67e-06,-2.09e-06,1
14946,0.28,7e-07,0.4,5,1.39e-06,0.00107303,1
1285,0.44,5e-07,0.4,5,1.5e-06,0.000219482,1
9269,0.6,5e-07,0.64,5,1.54e-06,0.000318837,1
3284,0.36,5e-07,0.48,5,1.5e-06,0.000393316,1
10597,0.36,5e-07,0.72,5,1.3e-06,0.000230867,1
2040,0.6,5e-07,0.4,5,1.6e-06,0.000491509,1
807,0.36,5e-07,0.4,5,1.68e-06,1.05e-05,1
4551,0.6,5e-07,0.48,5,1.38e-06,0.000188079,1
18881,0.6,7e-07,0.48,5,1.51e-06,0.000869434,1
