,training_loss,testing_loss,learning_rate
0,0.8371384,0.84061253,0.001
1,0.6929826,0.6866098,0.001
2,0.64989966,0.645252,0.001
3,0.59803814,0.5956033,0.001
4,0.5352825,0.5363824,0.001
5,0.47010133,0.47516406,0.001
6,0.40977046,0.4195963,0.001
7,0.34404248,0.35419294,0.001
8,0.2964387,0.30404216,0.001
9,0.23782453,0.2447079,0.001
10,0.1999458,0.20597097,0.001
11,0.17845325,0.18416764,0.001
12,0.16109024,0.1660089,0.001
13,0.1660348,0.16924804,0.001
14,0.15442444,0.15726773,0.001
15,0.13490565,0.13824321,0.001
16,0.123857506,0.12774861,0.001
17,0.12160589,0.12529315,0.001
18,0.11558872,0.119088344,0.001
19,0.12813225,0.13017222,0.001
20,0.10266328,0.10723749,0.001
21,0.102364264,0.10596448,0.001
22,0.09606143,0.10039016,0.001
23,0.10354197,0.106205344,0.001
24,0.1078054,0.10968879,0.001
25,0.089989014,0.09370818,0.001
26,0.098722674,0.10075319,0.001
27,0.101357214,0.10290535,0.001
28,0.084164254,0.087489516,0.001
29,0.0937917,0.09560173,0.001
30,0.09550307,0.09701235,0.001
31,0.08126769,0.08403976,0.001
32,0.089839175,0.091302015,0.001
33,0.07778619,0.08064786,0.001
34,0.09505606,0.09573584,0.001
35,0.07743325,0.07971971,0.001
36,0.082805105,0.0841319,0.001
37,0.074087605,0.07658702,0.001
38,0.09474593,0.094875604,0.001
39,0.07516947,0.07718985,0.001
40,0.073722854,0.075660005,0.001
41,0.08345364,0.084103696,0.001
42,0.07453044,0.07628584,0.001
43,0.07208835,0.07392592,0.001
44,0.07798744,0.07890346,0.001
45,0.0724337,0.074004166,0.001
46,0.07333801,0.074613385,0.001
47,0.07111175,0.072511494,0.001
48,0.07998077,0.08045555,0.001
49,0.07118982,0.07247961,0.001
50,0.0713655,0.07247231,0.001
51,0.0760897,0.07669829,0.001
52,0.067731924,0.068997234,0.001
53,0.08329617,0.083329916,0.001
54,0.06728806,0.068430126,0.001
55,0.07961178,0.079782575,0.001
56,0.06772988,0.06863373,0.001
57,0.06735393,0.0682624,0.001
58,0.07595829,0.07621324,0.001
59,0.06494484,0.06591371,0.001
60,0.07399502,0.07428733,0.001
61,0.064538255,0.06539602,0.001
62,0.06918535,0.0696374,0.001
63,0.065875426,0.0664531,0.001
64,0.07102891,0.07127761,0.001
65,0.065279916,0.065779574,0.001
66,0.06813249,0.068248466,0.001
67,0.06073348,0.06253508,0.001
68,0.06164638,0.06227634,0.001
69,0.059854962,0.06079622,0.001
70,0.060064804,0.060839254,0.001
71,0.060857054,0.061451036,0.001
72,0.060895655,0.061431862,0.001
73,0.06073669,0.061152942,0.001
74,0.060148466,0.060613554,0.001
75,0.06026126,0.06065198,0.001
76,0.06038679,0.060693834,0.001
77,0.060197067,0.06044992,0.001
78,0.05971253,0.060008157,0.001
79,0.059707753,0.060005557,0.001
80,0.05982819,0.060071565,0.001
81,0.059970737,0.060225885,0.001
82,0.05957498,0.059903957,0.001
83,0.059543405,0.059880774,0.001
84,0.06220993,0.062340938,0.001
85,0.060103796,0.06032098,0.001
86,0.059934527,0.060163762,0.001
87,0.059594557,0.05983703,0.001
88,0.0591489,0.05940267,0.001
89,0.058947884,0.059174072,0.001
90,0.058924053,0.059147302,0.001
91,0.05743766,0.057757154,0.001
92,0.058093153,0.05832244,0.001
93,0.057986677,0.058226883,0.001
94,0.05836329,0.058559168,0.001
95,0.054788534,0.056160297,0.001
96,0.052952494,0.054058965,0.001
97,0.05261772,0.05365445,0.001
98,0.052424073,0.05341129,0.001
99,0.05228235,0.053268205,0.001
100,0.052367933,0.05326044,0.001
101,0.052343775,0.05322114,0.001
102,0.052138153,0.053005166,0.001
103,0.05218177,0.053019382,0.001
104,0.051902045,0.052722584,0.001
105,0.05163941,0.05248133,0.001
106,0.051812578,0.052637856,0.001
107,0.051477794,0.05229961,0.001
108,0.051339373,0.052200988,0.001
109,0.05097674,0.051923044,0.001
110,0.05092188,0.05185649,0.001
111,0.050853305,0.051745467,0.001
112,0.051121213,0.052020796,0.001
113,0.050765052,0.05168173,0.001
114,0.05045856,0.051393554,0.001
115,0.050157458,0.051060796,0.001
116,0.04970651,0.05069798,0.001
117,0.04955379,0.05056495,0.001
118,0.04998849,0.05089909,0.001
119,0.051468246,0.05222536,0.001
120,0.05283893,0.05363185,0.001
121,0.053060334,0.053843,0.001
122,0.052704446,0.053528246,0.001
123,0.052300975,0.053192478,0.001
124,0.052164145,0.05306698,0.001
125,0.052475102,0.05337188,0.001
126,0.052384157,0.053268857,0.001
127,0.052268878,0.053196065,0.001
128,0.052017957,0.052959282,0.001
129,0.051907234,0.05286289,0.001
130,0.050391074,0.05107562,0.001
131,0.0481407,0.049180124,0.001
132,0.049631838,0.050855126,0.001
133,0.048338857,0.049377903,0.001
134,0.048146788,0.04905552,0.001
135,0.048810285,0.049571972,0.001
136,0.049354993,0.050082505,0.001
137,0.04920963,0.0499549,0.001
138,0.049538713,0.050273072,0.001
139,0.049308054,0.050072994,0.001
140,0.049365085,0.050142106,0.001
141,0.049081482,0.049827915,0.001
142,0.048848767,0.049560614,0.001
143,0.04858339,0.049274426,0.001
144,0.04861414,0.04933007,0.001
145,0.048107624,0.04889308,0.001
146,0.04816919,0.048943896,0.001
147,0.047726914,0.048519928,0.001
148,0.048969485,0.050430045,0.001
149,0.049121365,0.050712854,0.001
150,0.047193468,0.048717465,0.001
151,0.046222255,0.047554526,0.001
152,0.046112042,0.04731271,0.001
153,0.046127856,0.047266014,0.001
154,0.04586051,0.04711654,0.001
155,0.046008497,0.047235087,0.001
156,0.04587214,0.04716731,0.001
157,0.0456379,0.04697177,0.001
158,0.04568998,0.047128964,0.001
159,0.047141373,0.04868703,0.001
160,0.04708544,0.048786763,0.001
161,0.046009045,0.04760598,0.001
162,0.045381688,0.04673544,0.001
163,0.045652214,0.046912003,0.001
164,0.045973424,0.047218297,0.001
165,0.045980077,0.047226697,0.001
