,training_loss,testing_loss,learning_rate
0,0.9115267,0.8760855,0.001
1,0.7477836,0.721736,0.001
2,0.70779234,0.6783723,0.001
3,0.671945,0.6435199,0.001
4,0.63743055,0.60876065,0.001
5,0.6029126,0.5718473,0.001
6,0.55691195,0.52761334,0.001
7,0.50582516,0.47885036,0.001
8,0.45699555,0.43579802,0.001
9,0.42797905,0.40798315,0.001
10,0.39541563,0.37793028,0.001
11,0.35171598,0.33843458,0.001
12,0.32577074,0.312431,0.001
13,0.2848328,0.27433822,0.001
14,0.2503924,0.24057285,0.001
15,0.221304,0.21238779,0.001
16,0.19906317,0.19051757,0.001
17,0.19129258,0.1825737,0.001
18,0.1792296,0.16918404,0.001
19,0.17472975,0.16320351,0.001
20,0.165908,0.15622072,0.001
21,0.16205658,0.15279965,0.001
22,0.15630765,0.14754665,0.001
23,0.15306501,0.14439586,0.001
24,0.14755338,0.13952492,0.001
25,0.14455746,0.13692112,0.001
26,0.14059646,0.13372229,0.001
27,0.13832657,0.13183571,0.001
28,0.13344283,0.12713999,0.001
29,0.1316253,0.12553617,0.001
30,0.1297399,0.12369343,0.001
31,0.12818389,0.122132055,0.001
32,0.12628311,0.12012488,0.001
33,0.12465688,0.11838754,0.001
34,0.122946784,0.1166814,0.001
35,0.12138409,0.1150852,0.001
36,0.11759665,0.11117032,0.001
37,0.1161694,0.10974028,0.001
38,0.11456127,0.107950136,0.001
39,0.1059745,0.09875268,0.001
40,0.1049608,0.09801783,0.001
41,0.10327497,0.09633239,0.001
42,0.10232338,0.09538162,0.001
43,0.103464164,0.096930966,0.001
44,0.099282406,0.09216534,0.001
45,0.108334586,0.10222157,0.001
46,0.09833886,0.09170534,0.001
47,0.10156779,0.0952505,0.001
48,0.095176764,0.08824253,0.001
49,0.094917946,0.08778908,0.001
50,0.09360541,0.0866397,0.001
51,0.09363906,0.08693262,0.001
52,0.09663423,0.090123266,0.001
53,0.09546583,0.08877845,0.001
54,0.122128494,0.116209306,0.001
55,0.09488499,0.08820351,0.001
56,0.09362475,0.086785726,0.001
57,0.09748998,0.09081191,0.001
58,0.09057994,0.08363485,0.001
59,0.091993734,0.08450349,0.001
60,0.08876441,0.081523776,0.001
61,0.10047573,0.09426728,0.001
62,0.087113775,0.08026957,0.001
63,0.086664364,0.07981185,0.001
64,0.08778967,0.08066024,0.001
65,0.08686862,0.08007494,0.001
66,0.08580878,0.079103336,0.001
67,0.09114973,0.084994026,0.001
68,0.08519083,0.078552686,0.001
69,0.08842039,0.082240544,0.001
70,0.084513456,0.07743412,0.001
71,0.08560432,0.0794503,0.001
72,0.08298501,0.0760218,0.001
73,0.09309471,0.085709915,0.001
74,0.08224126,0.075379424,0.001
75,0.088803135,0.08176417,0.001
76,0.08334158,0.07689018,0.001
77,0.081569195,0.07518898,0.001
78,0.08276402,0.077025056,0.001
79,0.080911405,0.07513751,0.001
80,0.08057047,0.07518581,0.001
81,0.08177514,0.0763838,0.001
82,0.07987073,0.07397029,0.001
83,0.08248119,0.07690313,0.001
84,0.07755985,0.07174121,0.001
85,0.07859594,0.07256262,0.001
86,0.07653047,0.070819385,0.001
87,0.08231891,0.075484365,0.001
88,0.07602684,0.07029631,0.001
89,0.08372964,0.07898343,0.001
90,0.0758493,0.07008301,0.001
91,0.07583038,0.069898084,0.001
92,0.07543307,0.06959131,0.001
93,0.07549848,0.06961806,0.001
94,0.075100265,0.06899713,0.001
95,0.07485626,0.069529705,0.001
96,0.07436926,0.068848625,0.001
97,0.074144706,0.068281434,0.001
98,0.0836229,0.07865031,0.001
99,0.077787854,0.07243183,0.001
100,0.07708541,0.07195148,0.001
101,0.072981276,0.06748922,0.001
102,0.07333981,0.06762082,0.001
103,0.072751924,0.067101695,0.001
104,0.083428085,0.078454494,0.001
105,0.07208631,0.06715622,0.001
106,0.07145508,0.06630345,0.001
107,0.0751699,0.07000434,0.001
108,0.08094888,0.07631003,0.001
109,0.07385576,0.06918779,0.001
110,0.07485277,0.070310034,0.001
111,0.080553345,0.07636422,0.001
112,0.070510305,0.06612048,0.001
113,0.070926376,0.06646379,0.001
114,0.06887522,0.06435938,0.001
115,0.07136638,0.066538826,0.001
116,0.06977017,0.06550604,0.001
117,0.07654237,0.07119112,0.001
118,0.08767901,0.083624855,0.001
119,0.07516687,0.07107024,0.001
120,0.07079774,0.06679149,0.001
121,0.06760103,0.06324315,0.001
122,0.06965112,0.064902104,0.001
123,0.07268534,0.06900081,0.001
124,0.075931475,0.07245269,0.001
125,0.071029395,0.067281045,0.001
126,0.0747414,0.07141233,0.001
127,0.070468396,0.06686912,0.001
128,0.071774304,0.0685618,0.001
129,0.07457182,0.07127745,0.001
130,0.0726717,0.069361955,0.001
131,0.06861473,0.06524219,0.001
132,0.07107515,0.06779047,0.001
133,0.065293536,0.061443653,0.001
134,0.073738776,0.070853814,0.001
135,0.066942506,0.06329657,0.001
136,0.06545594,0.062123384,0.001
137,0.07011999,0.067295425,0.001
138,0.067483,0.06447515,0.001
139,0.066713504,0.06378254,0.001
140,0.06793883,0.06520616,0.001
141,0.06856775,0.066016905,0.001
142,0.06749932,0.06330018,0.001
143,0.07470752,0.07198575,0.001
144,0.06897359,0.06695186,0.001
145,0.06756349,0.065028906,0.001
146,0.069542944,0.06738511,0.001
147,0.06785698,0.06579669,0.001
148,0.068285435,0.066164576,0.001
149,0.06820354,0.066253975,0.001
150,0.06660355,0.06451887,0.001
151,0.0664935,0.06449674,0.001
152,0.06396637,0.061698537,0.001
153,0.062460423,0.059831914,0.001
154,0.061692946,0.05881132,0.001
155,0.062111046,0.059407946,0.001
156,0.06346591,0.061105706,0.001
157,0.06161735,0.058902085,0.001
158,0.06115022,0.058162797,0.001
159,0.070349805,0.06844433,0.001
160,0.064469814,0.0623953,0.001
161,0.064161405,0.062091596,0.001
162,0.06625337,0.06461286,0.001
163,0.061898436,0.059644077,0.001
164,0.06111883,0.059186306,0.001
165,0.06511374,0.06366488,0.001
166,0.06571101,0.06435896,0.001
167,0.060502004,0.05862797,0.001
168,0.06047098,0.058857262,0.001
169,0.06207927,0.06076956,0.001
170,0.059309945,0.057580795,0.001
171,0.059011355,0.056974478,0.001
172,0.06826565,0.067894936,0.001
173,0.059467,0.05769584,0.001
174,0.062143717,0.06105823,0.001
175,0.06018367,0.058913376,0.001
176,0.058212664,0.05664939,0.001
177,0.061196744,0.060125176,0.001
178,0.05916014,0.057939067,0.001
179,0.058294844,0.057168514,0.001
180,0.059602533,0.058627747,0.001
181,0.05806715,0.057078708,0.001
182,0.05816867,0.057199992,0.001
183,0.062287353,0.0622843,0.001
184,0.056632005,0.054214686,0.001
185,0.056741565,0.055157837,0.001
186,0.05677594,0.055853244,0.001
187,0.059299916,0.05875453,0.001
188,0.059784215,0.05929073,0.001
189,0.056225736,0.05442039,0.001
190,0.057182305,0.05562736,0.001
191,0.056106046,0.055595916,0.001
192,0.055116016,0.054497883,0.001
193,0.0873183,0.08946615,0.001
194,0.06409515,0.06096634,0.001
195,0.05498606,0.05436615,0.001
196,0.05622608,0.05604804,0.001
197,0.058178633,0.056811612,0.001
198,0.061764065,0.062622905,0.001
199,0.05507585,0.05416772,0.001
200,0.05830878,0.058583967,0.001
201,0.062321708,0.06261254,0.001
202,0.054595724,0.053248044,0.001
203,0.057336975,0.05750743,0.001
204,0.0688741,0.06985065,0.001
205,0.06176174,0.05888222,0.001
206,0.06328306,0.06074546,0.001
207,0.053140514,0.051860265,0.001
208,0.053449124,0.053028464,0.001
209,0.05386811,0.0538233,0.001
210,0.07488426,0.075801075,0.001
211,0.065497145,0.06198406,0.001
212,0.05611619,0.05356896,0.001
213,0.052174885,0.0505248,0.001
214,0.055845004,0.054828867,0.001
215,0.05656141,0.05373941,0.001
216,0.053555004,0.051420674,0.001
217,0.05290717,0.050982993,0.001
218,0.0657392,0.06437394,0.001
219,0.056027252,0.05367209,0.001
220,0.05171448,0.050044402,0.001
