,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
0,0.95687795,0.8953695,2487.838935852051,2765.9286499023438,0.001
1,0.7679453,0.72727084,1005.5094718933105,1321.9659805297852,0.001
2,0.70774233,0.6725175,876.353645324707,1074.668788909912,0.001
3,0.6728052,0.63821024,802.0654678344727,903.2801628112793,0.001
4,0.6214443,0.586575,766.0736083984375,858.342170715332,0.001
5,0.5692845,0.53706384,664.9230480194092,756.9375038146973,0.001
6,0.5103169,0.48086917,607.6581954956055,697.1661567687988,0.001
7,0.4542589,0.43089285,513.6265754699707,595.2666282653809,0.001
8,0.411783,0.39347577,490.33665657043457,558.1102848052979,0.001
9,0.3726905,0.3613086,635.8023643493652,698.0647087097168,0.001
10,0.34406364,0.3366023,597.9452610015869,678.7041187286377,0.001
11,0.32320073,0.31840345,552.8516292572021,663.5038375854492,0.001
12,0.3079238,0.3054008,535.3179454803467,690.2637004852295,0.001
13,0.28941795,0.2889318,493.036413192749,668.3613300323486,0.001
14,0.27626863,0.2773908,482.8522205352783,675.3912925720215,0.001
15,0.2616897,0.2636237,445.6108093261719,633.0162525177002,0.001
16,0.24483268,0.24735877,388.35039138793945,561.2650871276855,0.001
17,0.23192792,0.23470008,334.7137928009033,471.3818073272705,0.001
18,0.22302887,0.2257578,334.6832752227783,470.0608253479004,0.001
19,0.21514715,0.21765663,328.24084758758545,452.2926330566406,0.001
20,0.20674986,0.20912957,305.600905418396,405.47728538513184,0.001
21,0.20082639,0.2030019,302.8597354888916,394.2589044570923,0.001
22,0.19497943,0.19703987,295.3920364379883,386.39354705810547,0.001
23,0.19022167,0.19203739,291.66998863220215,383.51051807403564,0.001
24,0.18496814,0.1866455,281.35643005371094,352.24335193634033,0.001
25,0.18083988,0.18232596,277.41568088531494,334.1714143753052,0.001
26,0.17649119,0.17782968,268.92638206481934,308.70189666748047,0.001
27,0.1734695,0.17457236,267.76063442230225,298.2393980026245,0.001
28,0.16995968,0.17088188,260.22679805755615,281.2173128128052,0.001
29,0.16680828,0.16759329,253.47726345062256,268.1257486343384,0.001
30,0.16411535,0.16476865,249.30760860443115,258.578085899353,0.001
31,0.16149856,0.16207148,244.60954666137695,249.40571784973145,0.001
32,0.15922341,0.15969853,241.54226779937744,246.09787464141846,0.001
33,0.15744856,0.15784557,241.3792848587036,246.1721658706665,0.001
34,0.15541123,0.15576045,238.3833408355713,243.41702461242676,0.001
35,0.15365393,0.15397371,236.9023561477661,242.92840957641602,0.001
36,0.15159506,0.15193918,232.92181491851807,238.97643089294434,0.001
37,0.1502265,0.15051913,232.61888027191162,239.95728492736816,0.001
38,0.1491644,0.14941731,233.52274894714355,241.97301864624023,0.001
39,0.14817388,0.14842086,233.9815855026245,243.3701992034912,0.001
40,0.1467906,0.14707507,231.96160793304443,242.1483278274536,0.001
41,0.14516835,0.14551228,228.8599967956543,239.6944761276245,0.001
42,0.14345169,0.14385217,224.7708559036255,235.1531982421875,0.001
43,0.14198254,0.14244124,221.5153694152832,231.6741943359375,0.001
44,0.14044295,0.14093524,217.35737323760986,227.26893424987793,0.001
45,0.13964252,0.14016111,217.61350631713867,228.21130752563477,0.001
