,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
0,0.9032089,0.8465553,1910.053825378418,2178.191375732422,0.001
1,0.7396622,0.7002794,971.183967590332,1153.266716003418,0.001
2,0.7089676,0.671003,879.3637275695801,1020.8739280700684,0.001
3,0.6842945,0.648172,796.0525989532471,931.749153137207,0.001
4,0.6549321,0.6210118,755.5591583251953,863.4396553039551,0.001
5,0.60577893,0.572615,734.3700885772705,786.3803386688232,0.001
6,0.54324496,0.51314706,744.0068244934082,765.7716274261475,0.001
7,0.4838129,0.4599358,732.0004940032959,797.3609447479248,0.001
8,0.41878816,0.40024924,601.6305923461914,661.1297130584717,0.001
9,0.36905634,0.35775423,528.5195350646973,580.012035369873,0.001
10,0.33300522,0.32749668,504.83407974243164,568.2384967803955,0.001
11,0.29994732,0.29923698,443.58606338500977,499.5927333831787,0.001
12,0.27577943,0.27769715,447.8292942047119,495.5819606781006,0.001
13,0.2538401,0.25667256,409.2658519744873,452.0587921142578,0.001
14,0.23834951,0.24060442,432.5754642486572,459.89766120910645,0.001
15,0.21726672,0.21912688,369.2125082015991,386.4380121231079,0.001
16,0.20370667,0.20524624,359.464430809021,365.3769254684448,0.001
17,0.1877905,0.18923272,305.6824207305908,310.7056140899658,0.001
18,0.1774606,0.17861187,285.19866466522217,288.0499601364136,0.001
19,0.16927665,0.17024589,267.78321266174316,269.38867568969727,0.001
20,0.1625255,0.16336022,256.2647342681885,255.2323818206787,0.001
21,0.15961607,0.1603191,265.19978046417236,265.8167362213135,0.001
22,0.1493109,0.1497843,227.19929218292236,223.93758296966553,0.001
23,0.14418636,0.14441647,222.26934432983398,211.94002628326416,0.001
24,0.13924013,0.139491,211.3041639328003,197.32723236083984,0.001
25,0.13519898,0.13548331,204.94704246520996,190.4719352722168,0.001
26,0.13168643,0.1319429,198.81210327148438,184.06133651733398,0.001
27,0.12877893,0.12902682,196.76433801651,182.09316730499268,0.001
28,0.12552246,0.12575479,187.3121738433838,173.13956022262573,0.001
29,0.12395227,0.12409472,191.8228030204773,176.71693563461304,0.001
30,0.1208254,0.12101738,186.00963354110718,170.8317518234253,0.001
31,0.11843432,0.11862001,182.78683423995972,168.7974452972412,0.001
32,0.11656777,0.11668836,182.09704160690308,169.29656267166138,0.001
33,0.11388316,0.1140006,174.9286413192749,162.43140697479248,0.001
34,0.11243325,0.11252523,176.6356110572815,163.83051872253418,0.001
35,0.110458516,0.11056611,173.16454648971558,160.67819595336914,0.001
36,0.108945236,0.109034084,171.24077081680298,159.28118228912354,0.001
37,0.1074145,0.107483074,167.61678457260132,155.8690309524536,0.001
38,0.106301576,0.10635714,166.79697036743164,156.04969263076782,0.001
39,0.104817085,0.104906335,162.5186324119568,151.7749547958374,0.001
