,training_loss,validation_loss
0,9.763532,9.766317
1,9.603804,9.606615
2,9.450213,9.453048
3,9.308577,9.311434
4,9.17301,9.175891
5,9.025645,9.028548
6,8.869448,8.872379
7,8.702966,8.705929
8,8.52111,8.524102
9,8.317951,8.32098
10,8.1003275,8.103395
11,7.859739,7.8628464
12,7.587214,7.59037
13,7.281901,7.2851143
14,6.942147,6.9454217
15,6.562764,6.5661154
16,6.1446295,6.1480656
17,5.680795,5.6843295
18,5.1778865,5.1815352
19,4.6376705,4.641452
20,4.066517,4.0704517
21,3.4755034,3.4796152
22,2.8796024,2.8839192
23,2.3030546,2.307609
24,1.7771173,1.7819455
25,1.3430306,1.3481723
26,1.0494541,1.054951
27,0.94455713,0.950444
28,1.0514718,1.0577619
29,1.3226742,1.3293337
30,1.6249583,1.6318938
31,1.8166049,1.8236842
32,1.8388749,1.8459675
33,1.7166307,1.7236313
34,1.5156159,1.5224515
35,1.3024288,1.3090577
36,1.1248525,1.1312577
37,1.0068578,1.0130423
38,0.9516165,0.9575979
39,0.9483742,0.9541769
40,0.98009783,0.9857496
41,1.0289121,1.0344433
42,1.0796918,1.0851324
43,1.1215515,1.12693
44,1.1481109,1.1534536
45,1.1568682,1.1621989
46,1.1482617,1.1536022
47,1.1251158,1.1304858
48,1.091701,1.0971186
49,1.0531752,1.0586553
50,1.0149487,1.0205036
51,0.9820271,0.9876661
52,0.9583351,0.9640639
53,0.94609547,0.9519153
54,0.94538057,0.9512888
55,0.95397604,0.95996433
56,0.96773523,0.97379017
57,0.98171777,0.9878219
58,0.9917193,0.99785316
59,0.9952955,1.0014393
60,0.99205726,0.99819195
61,0.983478,0.98958725
62,0.97211426,0.9781853
63,0.9607474,0.96677136
64,0.9516313,0.95760334
65,0.9460633,0.95198274
66,0.9442972,0.9501666
67,0.9457007,0.9515249
68,0.94902146,0.95480835
69,0.9527753,0.95853496
70,0.9557417,0.9614841
71,0.9572114,0.96294606
72,0.95698273,0.9627192
73,0.95527655,0.9610226
74,0.9525976,0.95836014
75,0.9495844,0.95536876
76,0.9468736,0.95268404
77,0.94496846,0.950807
78,0.94414556,0.95001304
79,0.9444002,0.95029485
80,0.9453899,0.9513076
81,0.9465186,0.95245266
82,0.947295,0.9532381
83,0.9475081,0.95345354
84,0.9471692,0.95311135
85,0.94645166,0.9523857
86,0.9455978,0.9515201
87,0.9448314,0.95074004
88,0.9443012,0.95019543
89,0.9440613,0.94994134
90,0.9440781,0.94994533
91,0.94426835,0.9501248
92,0.9445184,0.95036674
93,0.9447207,0.950564
94,0.9448017,0.9506431
95,0.944738,0.95058084
96,0.94455564,0.9504027
97,0.9443169,0.9501706
98,0.9441002,0.94996244
99,0.9439761,0.9498481
100,0.94398034,0.9498622
101,0.9440835,0.9499739
102,0.9441865,0.95008177
103,0.9442138,0.9501105
104,0.94415706,0.9500523
105,0.94405484,0.94994634
106,0.94395524,0.9498417
107,0.9438919,0.94977266
108,0.94387525,0.94975066
109,0.9438934,0.9497641
110,0.9439213,0.949789
111,0.9439399,0.9498059
112,0.9439368,0.94980246
113,0.94391125,0.94977796
114,0.9438707,0.9497396
115,0.94382685,0.9496988
116,0.9437913,0.9496666
117,0.94377,0.94964886
118,0.94376296,0.94964516
119,0.94376403,0.949649
120,0.9437648,0.94965136
121,0.94375837,0.94964576
122,0.9437422,0.9496295
123,0.94371873,0.94960505
124,0.9436931,0.94957805
125,0.94367087,0.9495537
126,0.94365436,0.9495353
127,0.9436436,0.9495228
128,0.9436357,0.9495136
129,0.9436272,0.94950426
130,0.9436153,0.9494922
131,0.9435991,0.94947636
132,0.9435792,0.9494576
133,0.94355804,0.94943756
134,0.94353694,0.949418
135,0.9435167,0.9493994
136,0.94349587,0.94938
137,0.9434744,0.9493602
138,0.9434516,0.94933873
139,0.9434266,0.9493142
140,0.943399,0.94928664
141,0.9433714,0.9492586
142,0.9433442,0.9492308
143,0.9433179,0.9492039
144,0.9432921,0.94917756
145,0.94326514,0.94915044
146,0.94323725,0.9491231
147,0.9432059,0.94909257
148,0.9431726,0.9490604
149,0.94313854,0.94902784
150,0.9431047,0.94899553
151,0.9430712,0.9489633
152,0.9430366,0.9489298
153,0.9430004,0.94889426
154,0.942962,0.94885606
155,0.94292223,0.94881606
156,0.9428819,0.9487753
157,0.9428412,0.9487343
158,0.9427992,0.94869226
159,0.94275516,0.9486488
160,0.942709,0.9486034
161,0.9426612,0.9485568
162,0.94261265,0.94850945
163,0.9425631,0.9484607
164,0.94251144,0.9484098
165,0.9424579,0.94835645
166,0.94240254,0.94830084
167,0.9423458,0.948244
168,0.9422877,0.9481858
169,0.9422273,0.94812584
170,0.94216496,0.94806415
171,0.94210035,0.94800043
172,0.942034,0.94793504
173,0.9419655,0.9478672
174,0.94189423,0.9477963
175,0.9418203,0.9477224
176,0.9417437,0.9476456
177,0.9416638,0.94756585
178,0.94157994,0.94748265
179,0.9414919,0.94739544
180,0.9413996,0.947304
181,0.9413023,0.94720685
182,0.94119936,0.9471038
183,0.94109106,0.94699514
184,0.9409763,0.94688094
185,0.9408553,0.9467606
186,0.94072783,0.9466333
187,0.94059324,0.9464982
188,0.9404518,0.94635636
189,0.940303,0.94620806
190,0.94014716,0.9460524
191,0.9399837,0.9458884
192,0.9398138,0.945719
193,0.93963593,0.9455398
194,0.93945116,0.9453537
195,0.9392577,0.9451607
196,0.93905646,0.94495946
197,0.9388472,0.9447483
198,0.9386295,0.9445301
199,0.9384034,0.9443043
200,0.9381683,0.94406706
201,0.93792367,0.943822
202,0.9376695,0.94356734
203,0.9374055,0.9433007
204,0.9371342,0.94303155
205,0.93685716,0.9427477
206,0.9365727,0.94246924
207,0.9362705,0.94216096
208,0.9359701,0.9418576
209,0.9356582,0.941551
210,0.93532616,0.94121176
211,0.93498653,0.94087136
212,0.9346421,0.94053054
213,0.93428653,0.94016486
214,0.9339061,0.9397903
215,0.9335177,0.9393977
216,0.9331253,0.93899983
217,0.9327259,0.93860716
218,0.93233025,0.93819666
219,0.9319135,0.9377932
220,0.9314643,0.9373304
221,0.9310266,0.93689185
222,0.9306058,0.9364782
223,0.9301622,0.9360179
224,0.92967516,0.93554085
225,0.92918915,0.93504936
226,0.9287198,0.9345715
227,0.9282523,0.934116
228,0.9277699,0.93361205
229,0.9272316,0.9330892
230,0.9266802,0.93252593
231,0.9261672,0.93200654
232,0.92566645,0.93151736
233,0.92513096,0.93095946
234,0.9245366,0.93037874
235,0.92394465,0.9297775
236,0.92338574,0.9292093
237,0.922835,0.92867213
238,0.9222652,0.92807627
239,0.9216289,0.9274601
240,0.92095673,0.9267691
241,0.92031103,0.926123
242,0.9197146,0.9255333
243,0.91912824,0.92492104
244,0.9185685,0.92438996
245,0.9178886,0.923671
246,0.9170522,0.9228543
247,0.91639715,0.9221967
248,0.91587734,0.92164874
249,0.915186,0.9209868
250,0.91433686,0.92011076
251,0.9136414,0.9194103
252,0.91307104,0.9188585
253,0.9123874,0.91813713
254,0.9115141,0.91728663
255,0.9107002,0.9164592
256,0.9100476,0.91578865
257,0.9094232,0.91518956
258,0.9086563,0.91438067
259,0.9077349,0.9134838
260,0.9068486,0.91257966
261,0.9061087,0.91182667
262,0.9054581,0.9111955
263,0.90479887,0.9104918
264,0.9039827,0.90971285
265,0.9029563,0.9086456
266,0.90199256,0.90769094
267,0.90124923,0.90694946
268,0.9006328,0.90629673
269,0.8999794,0.9056791
270,0.8990779,0.90472466
271,0.8979729,0.90364707
272,0.89700514,0.90266025
273,0.8962997,0.9019337
274,0.89571625,0.90137523
275,0.895051,0.90065503
276,0.89410335,0.8997466
277,0.89294976,0.89855003
278,0.89196455,0.89756805
279,0.8912695,0.8968761
280,0.8907252,0.89628804
281,0.8901442,0.8957445
282,0.88926893,0.89480734
283,0.88808125,0.893652
284,0.88697755,0.8925176
285,0.886227,0.8917506
286,0.8857243,0.8912642
287,0.8852657,0.89074785
288,0.8845892,0.8901136
289,0.8834864,0.88894814
290,0.8822372,0.88772064
291,0.8813225,0.8867857
292,0.8808003,0.8862309
293,0.88045245,0.8859082
294,0.88001347,0.8854026
295,0.87917435,0.88460475
296,0.8779155,0.8832849
297,0.8767455,0.8821255
298,0.8760383,0.88140494
299,0.87569064,0.8810139
300,0.8754524,0.880804
301,0.8750322,0.8803115
302,0.8741235,0.87944233
303,0.8728154,0.87807274
304,0.8716784,0.87693995
305,0.8710623,0.8763097
306,0.8708255,0.8760281
307,0.87070334,0.87593144
308,0.87039584,0.8755482
309,0.8695761,0.8747672
310,0.86825883,0.8733832
311,0.867038,0.87216824
312,0.8663655,0.8714736
313,0.8661605,0.87122655
314,0.8661561,0.87124103
315,0.86605364,0.8710624
316,0.8655066,0.87055355
317,0.86431146,0.8692829
318,0.8629273,0.8679127
319,0.8620021,0.86695373
320,0.86168605,0.8666029
321,0.8617271,0.8666516
322,0.86182636,0.86667734
323,0.86167705,0.8665637
324,0.86087817,0.8656794
325,0.8595105,0.8643405
326,0.8581891,0.86296576
327,0.8574857,0.8622443
328,0.857374,0.86212546
329,0.857552,0.86223465
330,0.85772675,0.8624411
331,0.85752124,0.8621373
332,0.8566253,0.86128855
333,0.8552012,0.8597825
334,0.85393447,0.8585274
335,0.8532996,0.85786104
336,0.8532363,0.8577457
337,0.85347646,0.8580039
338,0.8537679,0.8581947
339,0.8537654,0.85824805
340,0.85309386,0.85746145
341,0.85171384,0.85613537
342,0.85026,0.8546049
343,0.8493829,0.8537212
344,0.849197,0.85352117
345,0.8494425,0.8536896
346,0.8498099,0.85409695
347,0.85000324,0.8541729
348,0.8496139,0.85385
349,0.8485171,0.85263795
350,0.8470425,0.85120744
351,0.8458929,0.84999406
352,0.8453969,0.8494731
353,0.84544194,0.8495169
354,0.8457812,0.8497684
355,0.84618026,0.8502142
356,0.846389,0.8503014
357,0.84602463,0.85000575
358,0.84494984,0.8488132
359,0.84345865,0.8473687
360,0.842227,0.84606993
361,0.8416481,0.84547323
362,0.84164965,0.8454682
363,0.8419833,0.8457226
364,0.8424433,0.84622407
365,0.8427972,0.84646225
366,0.84272736,0.84646064
367,0.8419684,0.8455793
368,0.8406002,0.8442698
369,0.8391832,0.8427696
370,0.83828723,0.84187466
371,0.8380056,0.84156924
372,0.8381827,0.8416847
373,0.83864325,0.84217435
374,0.83917403,0.84259456
375,0.83957237,0.84306246
376,0.8395087,0.8428649
377,0.83869773,0.8421326
378,0.8372795,0.84059817
379,0.8358359,0.8391934
380,0.83492607,0.8382288
381,0.83469754,0.8379675
382,0.8349791,0.83825594
383,0.83559394,0.83877695
384,0.83642966,0.83967346
385,0.8371714,0.840281
386,0.8373005,0.8405014
387,0.8363721,0.8394317
388,0.8345241,0.83765703
389,0.8327425,0.8357865
390,0.83191895,0.83496135
391,0.8321331,0.8351701
392,0.83291674,0.8358685
393,0.833698,0.8367079
394,0.8339326,0.83681846
395,0.83338314,0.8363429
396,0.83219296,0.8350404
397,0.83086663,0.8337554
398,0.82995147,0.83278036
399,0.8296605,0.83246696
400,0.8298622,0.8326712
401,0.8303255,0.8330577
402,0.83087736,0.8336567
403,0.8313589,0.8340267
404,0.83161163,0.83435214
405,0.83152014,0.83413357
406,0.83107495,0.8337663
407,0.8301763,0.8327502
408,0.8290677,0.8316974
409,0.828044,0.83059275
410,0.82730585,0.8298636
411,0.8269451,0.82946944
412,0.8269167,0.82940584
413,0.8271103,0.82960755
414,0.82746935,0.8298971
415,0.8280173,0.83048695
416,0.8287591,0.8311185
417,0.8298364,0.832277
418,0.83095753,0.83325154
419,0.8315264,0.83393914
420,0.8305185,0.8327723
421,0.82813615,0.83048636
422,0.8256917,0.8279485
423,0.82480043,0.82705337
424,0.8255315,0.82779044
425,0.8269357,0.8291102
426,0.8279155,0.8301679
427,0.8274836,0.8296129
428,0.8260037,0.8282017
429,0.82443136,0.8265523
430,0.8237671,0.8258836
431,0.82406175,0.8261754
432,0.824801,0.82685167
433,0.82544386,0.8275461
434,0.82547164,0.8274757
435,0.8248784,0.82693905
436,0.82393366,0.825912
437,0.82314646,0.8251454
438,0.82269925,0.8246641
439,0.8226366,0.82458186
440,0.8228421,0.82479084
441,0.82317394,0.82506007
442,0.82355064,0.8254696
443,0.8239375,0.82576895
444,0.8242818,0.8261725
445,0.8245455,0.8263331
446,0.82459563,0.826459
447,0.8243507,0.82610106
448,0.82381976,0.82563806
449,0.8232748,0.82499444
450,0.82277834,0.82455367
451,0.8222706,0.823966
452,0.8218046,0.8235357
453,0.82141,0.82308567
454,0.8211099,0.82280105
455,0.82089186,0.82254857
456,0.820738,0.8223911
457,0.82062566,0.8222589
458,0.82054186,0.82215625
459,0.82048386,0.8220907
460,0.82046,0.82203317
461,0.8204994,0.822082
462,0.82068795,0.8222163
463,0.82119447,0.8227594
464,0.8224297,0.8239022
465,0.8250668,0.82663363
466,0.83035094,0.83174706
467,0.83667415,0.8382884
468,0.8399853,0.8413357
469,0.8315653,0.83313227
470,0.82130057,0.8227085
471,0.8209193,0.82231134
472,0.8281341,0.8296401
473,0.830605,0.8319135
474,0.8236915,0.8251639
475,0.81947315,0.8208866
476,0.8233592,0.824699
477,0.82625926,0.82772726
478,0.82251585,0.82383454
479,0.81926167,0.8206169
480,0.8218909,0.823281
481,0.82406247,0.82532567
482,0.8211621,0.82253003
