,training_loss,validation_loss
0,0.70408976,0.70542073
1,0.79538864,0.79754764
2,0.7095108,0.71102566
3,0.72379875,0.7249224
4,0.75489765,0.75567317
5,0.7404155,0.7413464
6,0.71227956,0.71356136
7,0.7041013,0.7055734
8,0.71825325,0.71985304
9,0.72987235,0.7315589
10,0.7244491,0.72610176
11,0.71071845,0.7122852
12,0.70353943,0.7050314
13,0.7078748,0.70924926
14,0.7158174,0.71705735
15,0.7175081,0.7187057
16,0.7118016,0.7130563
17,0.70511806,0.70646197
18,0.7037454,0.7051379
19,0.70760316,0.70906657
20,0.71123165,0.71274745
21,0.7103922,0.71192855
22,0.7063872,0.707905
23,0.70358586,0.7050809
24,0.70436263,0.7058137
25,0.70695466,0.7083348
26,0.7079806,0.7093117
27,0.7063596,0.7076797
28,0.7040605,0.70538527
29,0.70350564,0.70484585
30,0.7048223,0.70619863
31,0.7060182,0.7074297
32,0.70558816,0.707023
33,0.70416,0.705602
34,0.7034086,0.7048563
35,0.7039539,0.7053831
36,0.7048192,0.70621663
37,0.70481783,0.70618874
38,0.70399874,0.7053516
39,0.7034013,0.70474637
40,0.7036375,0.7049815
41,0.7041986,0.70555764
42,0.704263,0.70563906
43,0.70377266,0.70516384
44,0.70338416,0.70479196
45,0.7035218,0.70493394
46,0.7038711,0.705277
47,0.7038993,0.7052915
48,0.7035824,0.7049591
49,0.7033578,0.70472157
50,0.7034725,0.7048268
51,0.7036827,0.7050372
52,0.70365655,0.705018
53,0.70344245,0.704816
54,0.7033425,0.7047289
55,0.7034518,0.70484453
56,0.70356035,0.7049546
57,0.7034991,0.7048901
58,0.70336425,0.70474917
59,0.7033418,0.70471835
60,0.7034301,0.70479804
61,0.7034654,0.7048302
62,0.7033908,0.70475894
63,0.7033234,0.7046987
64,0.7033511,0.7047327
65,0.70340306,0.70478904
66,0.7033877,0.7047755
67,0.7033296,0.7047163
68,0.70331484,0.7046968
69,0.7033499,0.7047257
70,0.7033622,0.7047337
71,0.70332867,0.7046996
72,0.70330256,0.7046759
73,0.70331675,0.70469373
74,0.7033343,0.7047147
75,0.7033197,0.70470256
76,0.70329547,0.70467836
77,0.70329654,0.70467734
78,0.70331025,0.70468795
79,0.70330584,0.7046812
80,0.7032882,0.7046625
81,0.70328337,0.70465845
82,0.7032921,0.704669
83,0.7032916,0.7046699
84,0.70327884,0.70465755
85,0.703273,0.70465124
86,0.7032777,0.7046556
87,0.70327777,0.70465577
88,0.70326895,0.7046473
89,0.70326334,0.7046424
90,0.70326555,0.704645
91,0.7032651,0.7046443
92,0.7032582,0.70463675
93,0.7032536,0.70463187
94,0.70325404,0.7046327
95,0.7032528,0.70463264
96,0.70324767,0.70462894
97,0.7032437,0.704626
98,0.7032432,0.7046256
99,0.70324147,0.7046228
100,0.703237,0.7046166
101,0.70323366,0.7046125
102,0.7032326,0.70461196
103,0.7032301,0.70461124
104,0.70322615,0.70460904
105,0.7032236,0.7046076
106,0.7032221,0.7046058
107,0.70321906,0.7046016
108,0.70321554,0.7045966
109,0.7032132,0.70459366
110,0.70321125,0.70459205
111,0.703208,0.70459014
112,0.7032049,0.70458853
113,0.7032027,0.70458734
114,0.70320016,0.704585
115,0.703197,0.7045811
116,0.70319414,0.7045775
117,0.7031918,0.70457464
118,0.7031889,0.70457184
119,0.7031859,0.7045697
120,0.7031833,0.70456773
121,0.7031806,0.7045657
122,0.7031776,0.704563
123,0.7031747,0.70456
124,0.7031721,0.70455664
125,0.7031691,0.70455307
126,0.7031662,0.70455015
127,0.7031634,0.7045478
128,0.70316046,0.70454603
129,0.7031574,0.70454425
130,0.70315456,0.7045419
131,0.70315164,0.7045383
132,0.70314866,0.7045339
133,0.7031457,0.7045302
134,0.7031427,0.7045277
135,0.7031396,0.70452595
136,0.7031366,0.70452416
137,0.70313364,0.70452124
138,0.7031305,0.7045173
139,0.7031274,0.70451343
140,0.7031243,0.70451033
141,0.7031212,0.70450807
142,0.703118,0.704506
143,0.7031149,0.70450306
144,0.70311177,0.70449954
145,0.7031085,0.7044967
146,0.70310533,0.7044935
147,0.7031021,0.7044902
148,0.70309883,0.70448697
149,0.7030956,0.70448387
150,0.7030923,0.70448095
151,0.70308906,0.7044781
152,0.70308566,0.7044749
153,0.7030824,0.70447147
154,0.70307904,0.7044682
155,0.70307565,0.70446503
156,0.70307225,0.7044619
157,0.70306885,0.70445853
158,0.7030653,0.70445514
159,0.70306194,0.70445186
160,0.7030584,0.70444876
161,0.7030549,0.70444536
162,0.7030513,0.7044418
163,0.7030478,0.70443827
164,0.7030442,0.704435
165,0.70304054,0.7044316
166,0.7030369,0.704428
167,0.70303315,0.70442474
168,0.70302945,0.7044214
169,0.7030257,0.70441777
170,0.703022,0.70441395
171,0.7030181,0.7044105
172,0.7030143,0.7044072
173,0.7030104,0.7044032
174,0.7030065,0.70439947
175,0.7030026,0.7043959
176,0.70299864,0.70439214
177,0.70299464,0.704388
178,0.70299053,0.70438474
179,0.70298654,0.70438117
180,0.7029824,0.70437676
181,0.7029783,0.7043731
182,0.70297414,0.7043696
183,0.70297,0.7043651
184,0.70296586,0.70436126
185,0.7029616,0.70435774
186,0.7029572,0.70435333
187,0.70295304,0.70434946
188,0.70294863,0.7043458
189,0.7029442,0.7043414
190,0.7029398,0.7043379
191,0.7029353,0.70433336
192,0.70293087,0.7043286
193,0.70292634,0.7043246
194,0.70292175,0.7043201
195,0.70291716,0.70431614
196,0.7029125,0.704311
197,0.7029078,0.7043069
198,0.7029031,0.7043021
199,0.7028983,0.7042987
200,0.70289344,0.70429295
201,0.70288855,0.70429057
202,0.70288366,0.70428336
203,0.7028788,0.7042826
204,0.7028737,0.7042751
205,0.7028688,0.70427084
206,0.7028649,0.7042745
207,0.7028593,0.7042597
208,0.7028545,0.70425457
209,0.70284945,0.7042586
210,0.70284414,0.7042527
211,0.70283973,0.7042415
212,0.7028341,0.7042413
213,0.70282954,0.7042395
214,0.7028242,0.70422906
215,0.70281935,0.7042237
216,0.70281416,0.70422506
217,0.70280904,0.7042204
218,0.70280397,0.7042103
219,0.7027986,0.7042068
220,0.7027936,0.7042068
221,0.7027881,0.70419925
222,0.7027831,0.70419186
223,0.7027776,0.7041907
224,0.7027724,0.70418644
225,0.702767,0.70417744
226,0.7027615,0.70417434
227,0.7027562,0.70417327
228,0.70275056,0.70416486
229,0.70274514,0.70415866
230,0.7027396,0.70415723
231,0.702734,0.7041504
232,0.70272857,0.70414394
233,0.7027229,0.70414186
234,0.7027171,0.7041351
235,0.70271146,0.7041279
236,0.7027058,0.7041259
237,0.7027001,0.704119
238,0.70269424,0.704112
239,0.7026884,0.7041095
240,0.70268244,0.70410186
241,0.7026766,0.7040963
242,0.7026707,0.704093
243,0.7026648,0.7040846
244,0.7026587,0.70408136
245,0.70265263,0.7040752
246,0.70264655,0.704068
247,0.70264053,0.70406497
248,0.70263445,0.70405674
249,0.70262825,0.70405453
250,0.7026221,0.7040462
251,0.70261586,0.7040412
252,0.70260954,0.70403564
253,0.70260334,0.7040298
254,0.702597,0.7040259
255,0.70259076,0.70401615
256,0.7025845,0.70401496
257,0.70257837,0.7040032
258,0.7025721,0.7040068
259,0.70256567,0.7039912
260,0.70255893,0.7039916
261,0.7025523,0.7039835
262,0.70254624,0.70397526
263,0.70254004,0.7039763
264,0.7025335,0.7039623
265,0.70252675,0.7039613
266,0.7025202,0.70395505
267,0.7025138,0.7039457
268,0.70250756,0.70394576
269,0.70250076,0.70393306
270,0.70249397,0.7039314
271,0.7024874,0.703925
272,0.7024809,0.7039158
273,0.70247436,0.70391494
274,0.7024676,0.70390296
275,0.7024608,0.7039025
276,0.70245403,0.7038922
277,0.70244724,0.7038867
278,0.7024405,0.7038823
279,0.7024337,0.7038736
280,0.7024269,0.7038718
281,0.7024201,0.70385927
282,0.70241326,0.70385885
283,0.7024062,0.7038482
284,0.7023992,0.70384514
285,0.70239216,0.7038353
286,0.70238507,0.7038309
287,0.7023779,0.70382357
288,0.70237094,0.7038171
289,0.7023641,0.7038138
290,0.70235807,0.70379907
291,0.7023534,0.7038135
292,0.70234656,0.7037846
293,0.7023363,0.7037879
294,0.7023305,0.7037872
295,0.70232487,0.7037657
296,0.70231545,0.70376843
297,0.70230955,0.7037667
298,0.7023034,0.7037464
299,0.70229465,0.7037472
300,0.7022888,0.70374703
301,0.7022819,0.70372814
302,0.70227385,0.7037265
303,0.7022679,0.7037271
304,0.7022605,0.70370984
305,0.7022528,0.7037061
306,0.70224655,0.7037069
307,0.7022391,0.7036909
308,0.70223165,0.7036861
309,0.702225,0.7036863
310,0.7022175,0.70367193
311,0.7022101,0.7036689
312,0.7022034,0.7036668
313,0.70219636,0.70365244
314,0.70218885,0.70365185
315,0.7021816,0.7036436
316,0.70217454,0.7036331
317,0.70216715,0.7036318
318,0.70215964,0.7036227
319,0.7021525,0.7036137
320,0.70214534,0.70361406
321,0.70213765,0.70359993
322,0.70212984,0.7035954
323,0.7021225,0.7035899
324,0.7021149,0.703579
325,0.7021072,0.7035769
326,0.7020994,0.70356786
327,0.70209163,0.70355904
328,0.70208395,0.7035566
329,0.70207626,0.70354354
330,0.70206815,0.70354086
331,0.7020602,0.70353097
332,0.7020523,0.70352256
333,0.70204425,0.70351917
334,0.7020363,0.70350605
335,0.70202816,0.7035029
336,0.70201993,0.7034906
337,0.70201176,0.7034868
338,0.7020036,0.70347786
339,0.7019955,0.7034692
340,0.7019871,0.7034642
341,0.7019787,0.70345294
342,0.70197034,0.7034499
343,0.70196176,0.70343417
344,0.7019534,0.7034335
345,0.70194477,0.7034179
346,0.7019359,0.70341516
347,0.70192695,0.7034041
348,0.7019182,0.70339596
349,0.7019094,0.70339054
350,0.7019008,0.7033772
351,0.7018922,0.70337707
352,0.7018838,0.703358
353,0.701875,0.7033619
354,0.7018659,0.70334244
355,0.70185655,0.7033425
356,0.70184726,0.7033294
357,0.70183825,0.7033217
358,0.7018293,0.7033154
359,0.7018208,0.70330155
360,0.70181257,0.70330435
361,0.70180446,0.70328224
362,0.70179605,0.70329016
363,0.7017867,0.7032654
364,0.70177704,0.7032683
365,0.7017676,0.70325404
366,0.7017591,0.70324326
367,0.7017513,0.70324624
368,0.7017439,0.70322317
369,0.7017362,0.70323765
370,0.7017259,0.7032076
371,0.7017153,0.70320743
372,0.7017072,0.7032034
373,0.7017001,0.7031832
374,0.7016907,0.7031914
375,0.7016803,0.70317096
376,0.7016715,0.70316255
377,0.70166403,0.70316637
378,0.7016561,0.70314276
379,0.7016463,0.70315164
380,0.70163584,0.70313054
381,0.70162654,0.7031222
382,0.70161855,0.70312536
383,0.7016096,0.7031026
384,0.7015992,0.70310503
385,0.7015894,0.70309275
386,0.701581,0.70307857
387,0.7015731,0.70308584
388,0.70156366,0.7030609
389,0.7015533,0.70306486
390,0.70154315,0.7030485
391,0.701534,0.7030385
392,0.7015255,0.7030402
393,0.70151603,0.7030196
394,0.70150596,0.7030205
395,0.70149606,0.70300645
396,0.7014867,0.7029971
397,0.7014776,0.7029953
398,0.7014685,0.7029768
399,0.7014591,0.70297956
400,0.70144933,0.7029606
401,0.7014394,0.70295733
402,0.7014297,0.70294744
403,0.70142037,0.7029358
404,0.70141125,0.70293593
405,0.70140225,0.7029171
406,0.7013934,0.70292383
407,0.7013841,0.70289934
408,0.70137423,0.7029066
409,0.70136404,0.7028861
410,0.7013542,0.7028824
411,0.7013451,0.70287544
412,0.7013364,0.70286196
413,0.701328,0.7028662
414,0.7013197,0.7028418
415,0.70131123,0.7028532
416,0.7013015,0.7028247
417,0.7012909,0.70283055
418,0.70128083,0.70281404
419,0.701272,0.7028029
420,0.70126384,0.70280623
421,0.7012555,0.70278347
422,0.7012465,0.70279336
423,0.7012367,0.70276815
424,0.70122653,0.7027696
425,0.701217,0.7027562
426,0.70120806,0.702746
427,0.7011994,0.7027466
428,0.70119053,0.7027261
429,0.7011812,0.70272946
430,0.7011715,0.70271105
431,0.70116204,0.70271
432,0.70115256,0.7026972
433,0.70114344,0.702688
434,0.70113426,0.7026839
435,0.701125,0.70267045
436,0.7011157,0.7026698
437,0.70110613,0.7026527
438,0.70109653,0.7026524
439,0.7010871,0.7026363
440,0.7010776,0.7026352
441,0.7010679,0.7026188
442,0.70105827,0.70261586
443,0.7010486,0.70260316
444,0.70103884,0.70259744
445,0.7010291,0.7025878
446,0.70101947,0.7025778
447,0.70100987,0.7025714
448,0.70100015,0.70255923
449,0.7009906,0.702556
450,0.70098096,0.7025391
451,0.7009716,0.70254123
452,0.70096254,0.702518
453,0.70095444,0.7025313
454,0.70094675,0.7024975
455,0.700939,0.7025218
456,0.7009275,0.7024782
457,0.7009138,0.7024896
458,0.7009014,0.7024675
459,0.70089257,0.7024548
460,0.70088536,0.7024659
461,0.7008763,0.70243174
462,0.7008649,0.70244396
463,0.7008528,0.7024199
464,0.7008428,0.7024129
465,0.70083445,0.7024142
466,0.70082563,0.70238763
467,0.7008154,0.7023967
468,0.70080423,0.70237505
469,0.7007943,0.7023682
470,0.70078564,0.70236605
471,0.7007771,0.7023438
472,0.7007679,0.7023533
473,0.7007572,0.7023294
474,0.7007468,0.70232564
475,0.70073736,0.7023173
476,0.70072854,0.7023017
477,0.70071954,0.70230716
478,0.7007095,0.7022834
479,0.70069927,0.70228195
480,0.70068926,0.7022686
481,0.7006797,0.70225877
482,0.7006704,0.7022566
483,0.7006608,0.70223707
484,0.70065105,0.7022368
485,0.700641,0.70221925
486,0.7006309,0.70221514
487,0.70062107,0.7022049
488,0.70061123,0.7021913
489,0.70060146,0.702187
490,0.7005916,0.7021715
491,0.70058167,0.7021705
492,0.7005716,0.7021522
493,0.7005613,0.702148
494,0.70055103,0.70213366
495,0.7005408,0.7021287
496,0.7005305,0.70211726
497,0.7005203,0.70210606
498,0.70051,0.7020978
499,0.7004998,0.70208627
500,0.7004894,0.7020821
501,0.7004792,0.7020649
502,0.7004689,0.7020654
503,0.7004587,0.70204526
504,0.7004487,0.7020529
505,0.7004392,0.702024
506,0.70043015,0.70203865
507,0.700421,0.7020038
508,0.700411,0.7020256
509,0.7003993,0.7019842
510,0.7003857,0.7019943
511,0.7003724,0.7019667
512,0.70036083,0.70196056
513,0.70035106,0.70195895
514,0.70034206,0.70193475
515,0.7003331,0.7019497
516,0.7003235,0.70191354
517,0.7003119,0.7019302
518,0.7002987,0.70189536
519,0.7002857,0.7018971
520,0.70027417,0.7018826
521,0.70026445,0.7018655
522,0.70025486,0.70187443
523,0.70024467,0.70184565
524,0.70023304,0.70185447
525,0.7002208,0.7018246
526,0.70020854,0.7018233
527,0.7001968,0.7018099
528,0.7001856,0.70179486
529,0.70017475,0.70179236
530,0.7001642,0.7017688
531,0.7001528,0.7017718
532,0.70014125,0.70174825
533,0.7001295,0.70174474
534,0.700118,0.70172745
535,0.7001068,0.7017196
536,0.70009583,0.7017122
537,0.70008487,0.70169485
538,0.7000742,0.7016925
539,0.7000633,0.7016732
540,0.7000524,0.7016756
541,0.7000414,0.7016518
542,0.70003027,0.7016558
543,0.7000189,0.7016311
544,0.7000075,0.7016366
545,0.69999605,0.7016099
546,0.6999845,0.7016156
547,0.69997275,0.70159143
548,0.6999611,0.70159423
549,0.6999495,0.70157117
550,0.6999379,0.70157063
551,0.6999263,0.70155185
552,0.6999149,0.70154834
553,0.69990355,0.70152867
554,0.6998922,0.7015261
555,0.699881,0.70150715
556,0.69987005,0.70150745
557,0.6998591,0.70148355
558,0.6998488,0.7014915
559,0.69983965,0.70145994
560,0.69983214,0.7014837
561,0.6998257,0.7014394
562,0.6998192,0.7014806
563,0.6998079,0.7014211
564,0.6997903,0.70144844
565,0.69977087,0.7014005
566,0.69975704,0.70139503
567,0.69975024,0.70140326
568,0.6997445,0.70136666
569,0.69973403,0.7013919
570,0.69971824,0.7013468
571,0.699703,0.7013514
572,0.6996921,0.70134026
573,0.6996844,0.70131713
574,0.6996761,0.7013344
575,0.6996644,0.70129704
576,0.69965065,0.7013061
