,training_loss,validation_loss
0,10.151028,10.153766
1,10.123123,10.125865
2,10.095494,10.098239
3,10.06806,10.070807
4,10.040892,10.043642
5,10.014031,10.016784
6,9.987953,9.990709
7,9.962556,9.965316
8,9.937462,9.940223
9,9.912399,9.915164
10,9.887313,9.89008
11,9.862167,9.864941
12,9.837213,9.83999
13,9.812554,9.815334
14,9.787832,9.790617
15,9.763072,9.765858
16,9.738309,9.7411
17,9.713553,9.716349
18,9.6888275,9.6916275
19,9.664123,9.666925
20,9.639418,9.642224
21,9.614649,9.617459
22,9.58983,9.592644
23,9.565616,9.568431
24,9.541609,9.544427
25,9.517604,9.520426
26,9.493992,9.496818
27,9.470814,9.473641
28,9.447511,9.450343
29,9.4241905,9.427026
30,9.401297,9.404135
31,9.3783,9.381139
32,9.355063,9.357905
33,9.331805,9.334652
34,9.308705,9.311557
35,9.285442,9.288298
36,9.261954,9.264813
37,9.238293,9.241156
38,9.214766,9.217633
39,9.191236,9.194107
40,9.167317,9.170193
41,9.143101,9.145981
42,9.118615,9.121499
43,9.093872,9.096759
44,9.068876,9.071767
45,9.043633,9.046529
46,9.018144,9.021043
47,8.992407,8.995311
48,8.966427,8.969336
49,8.940206,8.943118
50,8.913739,8.916656
51,8.887023,8.889944
52,8.860049,8.862976
53,8.832813,8.835745
54,8.805313,8.8082485
55,8.77754,8.78048
56,8.749496,8.752441
57,8.721193,8.724143
58,8.692784,8.695742
59,8.664288,8.667249
60,8.635558,8.638526
61,8.606615,8.609589
62,8.577457,8.580435
63,8.548171,8.551152
64,8.518931,8.521918
65,8.489614,8.492605
66,8.460529,8.463526
67,8.431204,8.434205
68,8.401584,8.404591
69,8.37167,8.374681
70,8.341456,8.344474
71,8.310945,8.313968
72,8.280131,8.283159
73,8.24906,8.252094
74,8.217977,8.221015
75,8.186907,8.189952
76,8.155926,8.158976
77,8.124733,8.127789
78,8.093329,8.096391
79,8.06179,8.064859
80,8.030228,8.033303
81,7.998435,8.001515
82,7.966341,7.9694266
83,7.9339437,7.9370356
84,7.9012437,7.904341
85,7.8682656,7.8713684
86,7.8351307,7.83824
87,7.801907,7.8050237
88,7.768463,7.771585
89,7.734709,7.737838
90,7.7006445,7.703779
91,7.6662703,7.6694107
92,7.6315823,7.6347303
93,7.596583,7.599737
94,7.5612698,7.564431
95,7.5256433,7.5288115
96,7.4897017,7.492877
97,7.4534473,7.4566293
98,7.4168777,7.4200664
99,7.379993,7.3831887
100,7.3427935,7.3459973
101,7.3052793,7.3084903
102,7.2674484,7.2706676
103,7.229303,7.2325296
104,7.1908417,7.1940756
105,7.152065,7.1553073
106,7.112974,7.116225
107,7.07357,7.0768275
108,7.0338526,7.037119
109,6.993829,6.997103
110,6.953488,6.956771
111,6.912941,6.916231
112,6.8725023,6.8758016
113,6.832008,6.835315
114,6.7912455,6.794562
115,6.750185,6.753509
116,6.7088256,6.712159
117,6.667173,6.670515
118,6.625228,6.628578
119,6.582994,6.586354
120,6.540473,6.543843
121,6.497669,6.5010476
122,6.454584,6.4579716
123,6.4112206,6.4146185
124,6.3675823,6.3709893
125,6.3236713,6.3270884
126,6.2794933,6.28292
127,6.2350492,6.238486
128,6.1903434,6.193791
129,6.1453834,6.14884
130,6.100181,6.103648
131,6.0548067,6.0582843
132,6.009391,6.01288
133,5.963852,5.9673505
134,5.9180827,5.921592
135,5.872088,5.875608
136,5.825872,5.829403
137,5.77944,5.782982
138,5.732814,5.7363667
139,5.6861157,5.6896796
140,5.6394525,5.643028
141,5.5927033,5.59629
142,5.5457697,5.5493674
143,5.4986553,5.5022645
144,5.4513674,5.454988
145,5.4039125,5.407544
146,5.3562956,5.359939
147,5.308523,5.312179
148,5.260603,5.264271
149,5.2125406,5.2162204
150,5.1643443,5.1680365
151,5.1160207,5.1197248
152,5.067577,5.071293
153,5.0190206,5.0227494
154,4.970359,4.974101
155,4.9216022,4.925356
156,4.8727555,4.8765225
157,4.823828,4.827608
158,4.7748294,4.778622
159,4.7257667,4.729573
160,4.676649,4.6804686
161,4.6274858,4.631318
162,4.5782847,4.582131
163,4.5290546,4.532915
164,4.4798045,4.4836783
165,4.4305425,4.4344296
166,4.3812747,4.3851757
167,4.3320055,4.335921
168,4.2827396,4.286669
169,4.233485,4.237429
170,4.1842546,4.188213
171,4.1350603,4.139033
172,4.0859118,4.089899
173,4.036821,4.0408225
174,3.9877965,3.9918137
175,3.9388509,3.9428823
176,3.8900034,3.8940501
177,3.841255,3.845317
178,3.7926009,3.796678
179,3.7440825,3.7481751
180,3.6956995,3.6998072
181,3.647462,3.6515853
182,3.5993826,3.603522
183,3.5514734,3.5556283
184,3.503746,3.5079162
185,3.4562125,3.460399
186,3.4088855,3.4130878
187,3.361776,3.3659952
188,3.314898,3.319133
189,3.2682626,3.2725146
190,3.2218826,3.2261505
191,3.1757727,3.1800575
192,3.1299393,3.1342409
193,3.0843987,3.088717
194,3.0391626,3.0434976
195,2.9942431,2.9985945
196,2.9496508,2.9540195
197,2.905399,2.909785
198,2.8614986,2.865902
199,2.8179617,2.8223822
200,2.7748005,2.7792377
201,2.7320256,2.7364805
202,2.6896524,2.694125
203,2.6476998,2.6521895
204,2.6061864,2.6106937
205,2.5651162,2.5696414
206,2.524492,2.5290344
207,2.4843183,2.4888787
208,2.4446044,2.4491825
209,2.4053607,2.4099565
210,2.366596,2.3712099
211,2.3283203,2.332952
212,2.2905424,2.2951915
213,2.2532706,2.2579384
214,2.2165143,2.2211998
215,2.1802807,2.1849842
216,2.144578,2.1492996
217,2.109413,2.114153
218,2.0747938,2.0795512
219,2.0407262,2.0455022
220,2.0072172,2.0120108
221,1.9742723,1.9790841
222,1.9418969,1.9467267
223,1.9100966,1.9149446
224,1.8788759,1.8837421
225,1.848239,1.8531232
226,1.8181897,1.8230919
227,1.7887317,1.7936519
228,1.7598675,1.7648056
229,1.7315978,1.736554
230,1.7038214,1.7087959
231,1.6765442,1.6815369
232,1.6498128,1.6548233
233,1.6236496,1.628678
234,1.5980672,1.6031135
235,1.5730724,1.5781368
236,1.548671,1.5537529
237,1.5248662,1.529966
238,1.5016598,1.5067773
239,1.4790523,1.4841874
240,1.4570436,1.4621962
241,1.4356326,1.4408026
242,1.4148177,1.4200051
243,1.3945955,1.3997998
244,1.3749634,1.380185
245,1.355917,1.3611559
246,1.3374518,1.3427073
247,1.3195629,1.3248354
248,1.3022448,1.3075337
249,1.2854909,1.2907964
250,1.2692951,1.2746168
251,1.2536497,1.2589877
252,1.2385477,1.2439017
253,1.2239805,1.2293506
254,1.2099406,1.2153262
255,1.1964185,1.2018199
256,1.1834055,1.1888224
257,1.1708924,1.1763244
258,1.1588688,1.1643159
259,1.1473255,1.1527874
260,1.1362517,1.1417284
261,1.1256368,1.1311281
262,1.1154705,1.120976
263,1.1057419,1.1112614
264,1.0964396,1.1019732
265,1.0875528,1.0931
266,1.0790697,1.0846304
267,1.0709792,1.0765531
268,1.0632701,1.068857
269,1.0559301,1.0615299
270,1.0489483,1.0545607
271,1.042313,1.0479378
272,1.0360128,1.0416496
273,1.0300359,1.0356845
274,1.024371,1.0300316
275,1.0190067,1.0246787
276,1.013932,1.0196153
277,1.0091356,1.0148298
278,1.0046066,1.0103116
279,1.0003341,1.0060495
280,0.9963075,1.0020331
281,0.99251616,0.99825186
282,0.98895,0.9946957
283,0.9855989,0.9913542
284,0.9824529,0.98821753
285,0.9795027,0.9852764
286,0.9767385,0.9825211
287,0.9741514,0.9799428
288,0.9717325,0.9775323
289,0.9694732,0.9752813
290,0.9673652,0.9731813
291,0.9654004,0.9712242
292,0.96357095,0.96940225
293,0.9618693,0.96770793
294,0.96028847,0.9661342
295,0.95882106,0.96467376
296,0.95746064,0.96332
297,0.9562009,0.96206677
298,0.95503545,0.9609076
299,0.9539586,0.9598368
300,0.9529646,0.95884866
301,0.9520482,0.9579379
