Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 5e-07, 0.4, 0.2, 0, 1.36793e-06, 0.00092077
5, 5e-07, 0.4, 0.2, 1, 1.56231e-06, -0.000183906
5, 5e-07, 0.4, 0.28, 0, 1.52546e-06, 0.0010319
5, 5e-07, 0.4, 0.28, 1, 1.45481e-06, -0.000122049
5, 5e-07, 0.4, 0.36, 0, 1.54042e-06, 0.000891539
5, 5e-07, 0.4, 0.36, 1, 1.61509e-06, -7.40234e-05
5, 5e-07, 0.4, 0.44, 0, 1.31713e-06, 0.00280798
5, 5e-07, 0.4, 0.44, 1, 1.65896e-06, -4.70007e-05
5, 5e-07, 0.4, 0.52, 0, 1.57349e-06, 0.000836606
5, 5e-07, 0.4, 0.52, 1, 1.69215e-06, -4.0009e-05
5, 5e-07, 0.4, 0.6, 0, 1.35445e-06, 0.00137499
5, 5e-07, 0.4, 0.6, 1, 1.61985e-06, -4.24691e-05
5, 5e-07, 0.48, 0.2, 0, 1.53397e-06, 0.00097836
5, 5e-07, 0.48, 0.2, 1, 1.58712e-06, -0.00015179
5, 5e-07, 0.48, 0.28, 0, 1.5491e-06, 0.000887406
5, 5e-07, 0.48, 0.28, 1, 1.58255e-06, -0.000102085
5, 5e-07, 0.48, 0.36, 0, 1.56009e-06, 0.000774016
5, 5e-07, 0.48, 0.36, 1, 1.41185e-06, -8.14204e-05
5, 5e-07, 0.48, 0.44, 0, 1.57574e-06, 0.000813798
5, 5e-07, 0.48, 0.44, 1, 1.45481e-06, -3.23515e-05
5, 5e-07, 0.48, 0.52, 0, 1.31713e-06, 0.000693895
5, 5e-07, 0.48, 0.52, 1, 1.63917e-06, -4.38717e-05
5, 5e-07, 0.48, 0.6, 0, 1.3e-06, 0.00214063
5, 5e-07, 0.48, 0.6, 1, 1.60801e-06, -4.50185e-05
5, 5e-07, 0.56, 0.2, 0, 1.56009e-06, 0.000915907
5, 5e-07, 0.56, 0.2, 1, 1.36964e-06, -0.000105635
5, 5e-07, 0.56, 0.28, 0, 1.57124e-06, 0.000793163
5, 5e-07, 0.56, 0.28, 1, 1.55788e-06, -7.89235e-05
5, 5e-07, 0.56, 0.36, 0, 1.58255e-06, 0.00078118
5, 5e-07, 0.56, 0.36, 1, 1.4265e-06, -6.78706e-05
5, 5e-07, 0.56, 0.44, 0, 1.32507e-06, 0.000695778
5, 5e-07, 0.56, 0.44, 1, 1.46061e-06, -3.54092e-05
5, 5e-07, 0.56, 0.52, 0, 1.3396e-06, 0.00076605
5, 5e-07, 0.56, 0.52, 1, 1.64901e-06, -3.63645e-05
5, 5e-07, 0.56, 0.6, 0, 1.32347e-06, 0.0025626
5, 5e-07, 0.56, 0.6, 1, 1.62224e-06, -3.79991e-05
5, 5e-07, 0.64, 0.2, 0, 1.32347e-06, 0.000713365
5, 5e-07, 0.64, 0.2, 1, 1.43021e-06, -3.95845e-05
5, 5e-07, 0.64, 0.28, 0, 1.53397e-06, 0.000665264
5, 5e-07, 0.64, 0.28, 1, 1.61036e-06, -4.92875e-05
5, 5e-07, 0.64, 0.36, 0, 1.3396e-06, 0.000806651
5, 5e-07, 0.64, 0.36, 1, 1.4645e-06, -2.48895e-05
5, 5e-07, 0.64, 0.44, 0, 1.5491e-06, 0.000644481
5, 5e-07, 0.64, 0.44, 1, 1.65646e-06, -3.82357e-05
5, 5e-07, 0.64, 0.52, 0, 1.3331e-06, 0.000997291
5, 5e-07, 0.64, 0.52, 1, 1.50871e-06, -3.23234e-05
5, 5e-07, 0.64, 0.6, 0, 1.51914e-06, 0.00082339
5, 5e-07, 0.64, 0.6, 1, 1.4763e-06, -2.11426e-05
5, 5e-07, 0.72, 0.2, 0, 1.34781e-06, 0.000661007
5, 5e-07, 0.72, 0.2, 1, 1.48028e-06, -3.13109e-05
5, 5e-07, 0.72, 0.28, 0, 1.55568e-06, 0.000764726
5, 5e-07, 0.72, 0.28, 1, 1.49031e-06, -2.77579e-05
5, 5e-07, 0.72, 0.36, 0, 1.34287e-06, 0.000893311
5, 5e-07, 0.72, 0.36, 1, 1.66903e-06, -4.1214e-05
5, 5e-07, 0.72, 0.44, 0, 1.33797e-06, 0.000594086
5, 5e-07, 0.72, 0.44, 1, 1.68437e-06, -3.54337e-05
5, 5e-07, 0.72, 0.52, 0, 1.34781e-06, 0.00107328
5, 5e-07, 0.72, 0.52, 1, 1.48227e-06, -3.74126e-05
5, 5e-07, 0.72, 0.6, 0, 1.35445e-06, 0.000854517
5, 5e-07, 0.72, 0.6, 1, 1.65646e-06, -3.36275e-05
5, 5e-07, 0.8, 0.2, 0, 1.52758e-06, 0.000815126
5, 5e-07, 0.8, 0.2, 1, 1.54042e-06, -3.15856e-05
5, 5e-07, 0.8, 0.28, 0, 1.53184e-06, 0.000880406
5, 5e-07, 0.8, 0.28, 1, 1.56009e-06, -3.91381e-05
5, 5e-07, 0.8, 0.36, 0, 1.3578e-06, 0.000989281
5, 5e-07, 0.8, 0.36, 1, 1.64407e-06, -4.19893e-05
5, 5e-07, 0.8, 0.44, 0, 1.54258e-06, 0.000970727
5, 5e-07, 0.8, 0.44, 1, 1.65397e-06, -3.74881e-05
5, 5e-07, 0.8, 0.52, 0, 1.36964e-06, 0.000957087
5, 5e-07, 0.8, 0.52, 1, 1.55788e-06, -2.87827e-05
5, 5e-07, 0.8, 0.6, 0, 1.37477e-06, 0.00642051
5, 5e-07, 0.8, 0.6, 1, 1.66147e-06, -3.97999e-05
5, 7e-07, 0.4, 0.2, 0, 1.31555e-06, 0.197992
5, 7e-07, 0.4, 0.2, 1, 1.32188e-06, -0.000230382
5, 7e-07, 0.4, 0.28, 0, 1.32988e-06, 0.285603
5, 7e-07, 0.4, 0.28, 1, 1.32188e-06, -0.000237041
5, 7e-07, 0.4, 0.36, 0, 1.34123e-06, 0.33999
5, 7e-07, 0.4, 0.36, 1, 1.57574e-06, -0.000162455
5, 7e-07, 0.4, 0.44, 0, 1.35445e-06, 0.309684
5, 7e-07, 0.4, 0.44, 1, 1.41185e-06, -8.4299e-05
5, 7e-07, 0.4, 0.52, 0, 1.37134e-06, 0.163455
5, 7e-07, 0.4, 0.52, 1, 1.44335e-06, -4.15735e-05
5, 7e-07, 0.4, 0.6, 0, 1.39395e-06, 0.0249331
5, 7e-07, 0.4, 0.6, 1, 1.44525e-06, -6.19183e-05
5, 7e-07, 0.48, 0.2, 0, 1.36964e-06, 0.111642
5, 7e-07, 0.48, 0.2, 1, 1.33634e-06, -0.000254859
5, 7e-07, 0.48, 0.28, 0, 1.37477e-06, 0.164584
5, 7e-07, 0.48, 0.28, 1, 1.32188e-06, -0.000232468
5, 7e-07, 0.48, 0.36, 0, 1.37995e-06, 0.221605
5, 7e-07, 0.48, 0.36, 1, 1.42835e-06, -7.17005e-05
5, 7e-07, 0.48, 0.44, 0, 1.38691e-06, 0.26175
5, 7e-07, 0.48, 0.44, 1, 1.44525e-06, -3.71482e-05
5, 7e-07, 0.48, 0.52, 0, 1.39927e-06, 0.24114
5, 7e-07, 0.48, 0.52, 1, 1.43581e-06, -4.86386e-05
5, 7e-07, 0.48, 0.6, 0, 1.41366e-06, 0.164018
5, 7e-07, 0.48, 0.6, 1, 1.45097e-06, -3.24252e-05
5, 7e-07, 0.56, 0.2, 0, 1.39927e-06, 0.0967377
5, 7e-07, 0.56, 0.2, 1, 1.34946e-06, -0.00026841
5, 7e-07, 0.56, 0.28, 0, 1.40105e-06, 0.12793
