Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 5e-07, 0.4, 0.2, 0, 1.51123e-06, 0.00083658
5, 5e-07, 0.4, 0.2, 1, 1.51268e-06, -0.000174103
5, 5e-07, 0.4, 0.257143, 0, 1.52584e-06, 0.00100724
5, 5e-07, 0.4, 0.257143, 1, 1.54677e-06, -0.000135666
5, 5e-07, 0.4, 0.314286, 0, 1.54223e-06, 0.00120186
5, 5e-07, 0.4, 0.314286, 1, 1.5888e-06, -9.45704e-05
5, 5e-07, 0.4, 0.371429, 0, 1.54525e-06, 0.000840787
5, 5e-07, 0.4, 0.371429, 1, 1.68728e-06, -4.5162e-05
5, 5e-07, 0.4, 0.428571, 0, 1.55745e-06, 0.000816349
5, 5e-07, 0.4, 0.428571, 1, 1.44617e-06, -4.98893e-05
5, 5e-07, 0.4, 0.485714, 0, 1.5872e-06, 0.00160255
5, 5e-07, 0.4, 0.485714, 1, 1.68189e-06, -3.97153e-05
5, 5e-07, 0.4, 0.542857, 0, 1.58084e-06, 0.000655745
5, 5e-07, 0.4, 0.542857, 1, 1.592e-06, -6.13368e-05
5, 5e-07, 0.4, 0.6, 0, 1.52143e-06, 0.000489563
5, 5e-07, 0.4, 0.6, 1, 1.47729e-06, -5.43201e-05
5, 5e-07, 0.457143, 0.2, 0, 1.53474e-06, 0.00127363
5, 5e-07, 0.457143, 0.2, 1, 1.53176e-06, -0.00015941
5, 5e-07, 0.457143, 0.257143, 0, 1.54374e-06, 0.00128037
5, 5e-07, 0.457143, 0.257143, 1, 1.56053e-06, -0.000140367
5, 5e-07, 0.457143, 0.314286, 0, 1.54828e-06, 0.00081702
5, 5e-07, 0.457143, 0.314286, 1, 1.59522e-06, -9.3185e-05
5, 5e-07, 0.457143, 0.371429, 0, 1.55899e-06, 0.00081151
5, 5e-07, 0.457143, 0.371429, 1, 1.7e-06, -6.0875e-05
5, 5e-07, 0.457143, 0.428571, 0, 1.58243e-06, 0.00137804
5, 5e-07, 0.457143, 0.428571, 1, 1.66768e-06, -5.29316e-05
5, 5e-07, 0.457143, 0.485714, 0, 1.5856e-06, 0.000935803
5, 5e-07, 0.457143, 0.485714, 1, 1.69817e-06, -4.02529e-05
5, 5e-07, 0.457143, 0.542857, 0, 1.51996e-06, 0.000575838
5, 5e-07, 0.457143, 0.542857, 1, 1.63826e-06, -4.1e-05
5, 5e-07, 0.457143, 0.6, 0, 1.60822e-06, 0.000659366
5, 5e-07, 0.457143, 0.6, 1, 1.51268e-06, -5.92582e-05
5, 5e-07, 0.514286, 0.2, 0, 1.5498e-06, 0.00105644
5, 5e-07, 0.514286, 0.2, 1, 1.56672e-06, -0.000118375
5, 5e-07, 0.514286, 0.257143, 0, 1.55745e-06, 0.000750993
5, 5e-07, 0.514286, 0.257143, 1, 1.5856e-06, -9.43861e-05
5, 5e-07, 0.514286, 0.314286, 0, 1.56984e-06, 0.00106945
5, 5e-07, 0.514286, 0.314286, 1, 1.62143e-06, -7.73744e-05
5, 5e-07, 0.514286, 0.371429, 0, 1.5856e-06, 0.00143585
5, 5e-07, 0.514286, 0.371429, 1, 1.65024e-06, -8.13334e-05
5, 5e-07, 0.514286, 0.428571, 0, 1.5872e-06, 0.00102508
5, 5e-07, 0.514286, 0.428571, 1, 1.68368e-06, -5.45469e-05
5, 5e-07, 0.514286, 0.485714, 0, 1.52436e-06, 0.000619842
5, 5e-07, 0.514286, 0.485714, 1, 1.63148e-06, -4.43703e-05
5, 5e-07, 0.514286, 0.542857, 0, 1.60495e-06, 0.00069892
5, 5e-07, 0.514286, 0.542857, 1, 1.5026e-06, -6.31904e-05
5, 5e-07, 0.514286, 0.6, 0, 1.6468e-06, 0.00197304
5, 5e-07, 0.514286, 0.6, 1, 1.5026e-06, -5.7658e-05
5, 5e-07, 0.571429, 0.2, 0, 1.5714e-06, 0.000907646
5, 5e-07, 0.571429, 0.2, 1, 1.60169e-06, -0.000101191
5, 5e-07, 0.571429, 0.257143, 0, 1.58243e-06, 0.00132282
5, 5e-07, 0.571429, 0.257143, 1, 1.61811e-06, -6.74524e-05
5, 5e-07, 0.571429, 0.314286, 0, 1.592e-06, 0.00126796
5, 5e-07, 0.571429, 0.314286, 1, 1.6468e-06, -7.2392e-05
5, 5e-07, 0.571429, 0.371429, 0, 1.59361e-06, 0.000872085
5, 5e-07, 0.571429, 0.371429, 1, 1.56984e-06, -7.63951e-05
5, 5e-07, 0.571429, 0.428571, 0, 1.59522e-06, 0.000587979
5, 5e-07, 0.571429, 0.428571, 1, 1.7e-06, -4.79724e-05
5, 5e-07, 0.571429, 0.485714, 0, 1.60986e-06, 0.000738847
5, 5e-07, 0.571429, 0.485714, 1, 1.5904e-06, -9.68542e-05
5, 5e-07, 0.571429, 0.542857, 0, 1.64509e-06, 0.00196799
5, 5e-07, 0.571429, 0.542857, 1, 1.48703e-06, -5.25201e-05
5, 5e-07, 0.571429, 0.6, 0, 1.66416e-06, 0.0014014
5, 5e-07, 0.571429, 0.6, 1, 1.60332e-06, -7.81826e-05
5, 5e-07, 0.628571, 0.2, 0, 1.59683e-06, 0.00132076
5, 5e-07, 0.628571, 0.2, 1, 1.5714e-06, -7.69727e-05
5, 5e-07, 0.628571, 0.257143, 0, 1.59683e-06, 0.000855447
5, 5e-07, 0.628571, 0.257143, 1, 1.57926e-06, -7.62031e-05
5, 5e-07, 0.628571, 0.314286, 0, 1.60007e-06, 0.000645485
5, 5e-07, 0.628571, 0.314286, 1, 1.59845e-06, -6.48711e-05
5, 5e-07, 0.628571, 0.371429, 0, 1.54073e-06, 0.000619992
