,training_loss,validation_loss
0,8.8741045,8.877045
1,8.864622,8.867562
2,8.855255,8.858195
3,8.845921,8.848862
4,8.836584,8.839528
5,8.827224,8.83017
6,8.817831,8.820779
7,8.808394,8.811342
8,8.798891,8.801842
9,8.7893,8.792252
10,8.779781,8.782734
11,8.770646,8.7736
12,8.761501,8.764458
13,8.752275,8.755233
14,8.742984,8.745943
15,8.733706,8.736668
16,8.7244215,8.727385
17,8.715099,8.718063
18,8.705739,8.708705
19,8.696333,8.699302
20,8.686871,8.689839
21,8.677669,8.680641
22,8.6691475,8.672121
23,8.660558,8.663533
24,8.651898,8.654877
25,8.64318,8.646159
26,8.634403,8.637385
27,8.625615,8.628597
28,8.617067,8.620052
29,8.608454,8.611441
30,8.599933,8.602922
31,8.591914,8.594905
32,8.5837555,8.586748
33,8.575472,8.578465
34,8.567072,8.570066
35,8.558557,8.561553
36,8.549931,8.552929
37,8.541194,8.544193
38,8.53235,8.535353
39,8.523417,8.526421
40,8.51443,8.517436
41,8.5056925,8.508698
42,8.49702,8.500029
43,8.488459,8.491468
44,8.479912,8.482925
45,8.47126,8.474275
46,8.462496,8.465512
47,8.453619,8.456637
48,8.444629,8.447648
49,8.435547,8.438569
50,8.426517,8.429539
51,8.4175005,8.420525
52,8.408388,8.411415
53,8.399133,8.402161
54,8.38974,8.39277
55,8.380382,8.383413
56,8.371026,8.374058
57,8.361521,8.364556
58,8.3518505,8.354887
59,8.341967,8.345005
60,8.331871,8.334912
61,8.321582,8.324625
62,8.31113,8.314177
63,8.300579,8.303628
64,8.290012,8.293063
65,8.279289,8.282342
66,8.268385,8.2714405
67,8.257532,8.260589
68,8.246785,8.249844
69,8.235874,8.238934
70,8.224743,8.227805
71,8.2133875,8.216453
72,8.201842,8.204911
73,8.190143,8.1932125
74,8.178227,8.181299
75,8.16608,8.169155
76,8.153695,8.156773
77,8.141089,8.14417
78,8.128281,8.131363
79,8.115293,8.118379
80,8.1020775,8.105166
81,8.088625,8.091717
82,8.074946,8.078041
83,8.061055,8.064153
84,8.0469475,8.050047
85,8.032608,8.035711
86,8.018021,8.021127
87,8.003178,8.006287
88,7.9880753,7.9911876
89,7.9727225,7.975839
90,7.957143,7.9602623
91,7.941314,7.944437
92,7.9252605,7.928386
93,7.9088945,7.912024
94,7.8921933,7.895325
95,7.875205,7.8783402
96,7.8579397,7.8610787
97,7.840372,7.8435154
98,7.8224964,7.825643
99,7.8043046,7.807455
100,7.7857924,7.7889466
101,7.766958,7.7701173
102,7.7478004,7.7509627
103,7.728312,7.731478
104,7.7084985,7.711669
105,7.688344,7.691519
106,7.667844,7.6710224
107,7.646999,7.650182
108,7.625856,7.6290436
109,7.604434,7.607626
110,7.5825524,7.5857496
111,7.5602617,7.5634627
112,7.5377183,7.5409255
113,7.514797,7.518008
114,7.491492,7.494708
115,7.467782,7.4710035
116,7.4436474,7.446873
117,7.41907,7.422302
118,7.394062,7.397299
119,7.368627,7.3718686
120,7.342756,7.3460035
121,7.3164415,7.319695
122,7.289673,7.2929325
123,7.2624564,7.2657213
124,7.2347727,7.2380433
125,7.2066283,7.2099056
126,7.178016,7.1812997
127,7.1489305,7.15222
128,7.119364,7.1226597
129,7.089311,7.0926137
130,7.058766,7.062074
131,7.0277224,7.0310388
132,6.9961853,6.9995065
133,6.9641466,6.967476
