,training_loss,validation_loss
0,9.437719,9.440545
1,9.420603,9.423432
2,9.40365,9.406483
3,9.386954,9.389791
4,9.3703785,9.37322
5,9.35387,9.356716
6,9.337456,9.340306
7,9.321121,9.323976
8,9.304791,9.307651
9,9.288492,9.291354
10,9.272092,9.274959
11,9.255547,9.258413
12,9.238901,9.241771
13,9.222166,9.225039
14,9.20534,9.208216
15,9.188431,9.191308
16,9.171415,9.174296
17,9.154319,9.157204
18,9.137102,9.13999
19,9.119667,9.122559
20,9.102115,9.105011
21,9.084499,9.0874
22,9.066748,9.069652
23,9.048864,9.051772
24,9.030836,9.033747
25,9.012641,9.015556
26,8.994296,8.997216
27,8.975835,8.978759
28,8.95717,8.960096
29,8.93835,8.941282
30,8.919442,8.9223795
31,8.900426,8.903368
32,8.881246,8.884193
33,8.862351,8.865303
34,8.843301,8.846258
35,8.823928,8.826892
36,8.804313,8.807282
37,8.784308,8.787281
38,8.763843,8.766819
39,8.742897,8.745878
40,8.721976,8.724961
41,8.701266,8.704257
42,8.680461,8.683456
43,8.659163,8.662166
44,8.637254,8.640259
45,8.614687,8.617696
46,8.591728,8.594742
47,8.568873,8.571892
48,8.545704,8.548727
49,8.522087,8.525116
50,8.497988,8.501022
51,8.473562,8.476601
52,8.448816,8.451861
53,8.424091,8.427143
54,8.3986225,8.40168
55,8.372449,8.375513
56,8.345533,8.348603
57,8.317923,8.320998
58,8.289647,8.292729
59,8.260712,8.263801
60,8.231116,8.234214
61,8.200805,8.20391
62,8.169748,8.172859
63,8.13798,8.141101
64,8.105491,8.10862
65,8.07226,8.075397
66,8.0382395,8.041384
67,8.0034275,8.006581
68,7.9678016,7.9709625
69,7.931342,7.9345126
70,7.894038,7.897219
71,7.855872,7.859063
72,7.8168426,7.8200426
73,7.7769256,7.780136
74,7.735639,7.738859
75,7.693055,7.6962857
76,7.6493607,7.6526027
77,7.604572,7.6078243
78,7.558683,7.561947
79,7.5117226,7.514999
80,7.463764,7.467051
81,7.414688,7.4179864
82,7.3645115,7.3678217
83,7.3133373,7.316662
84,7.2610874,7.2644234
85,7.2078094,7.211161
86,7.1535687,7.1569333
