,training_loss,validation_loss
0,10.223614,10.153445
1,10.127408,10.057645
2,10.033544,9.964179
3,9.939229,9.870264
4,9.844553,9.775993
5,9.745713,9.677579
6,9.638122,9.570456
7,9.51936,9.4522085
8,9.391523,9.324934
9,9.252695,9.18672
10,9.090337,9.025086
11,8.905262,8.840848
12,8.6787615,8.615382
13,8.402594,8.340498
14,8.071988,8.01146
15,7.6648016,7.606258
16,7.162298,7.106286
17,6.5528455,6.5000443
18,5.820056,5.7713566
19,4.957694,4.9142394
20,3.9775188,3.9407651
21,2.919651,2.891502
22,1.8899425,1.8728714
23,1.1214032,1.1184113
24,1.0047482,1.0189899
25,1.7943962,1.8258431
26,2.5235453,2.5635386
27,2.4284148,2.467427
28,1.8675865,1.9000266
29,1.3144628,1.3379076
30,1.0031174,1.0172733
31,0.9480951,0.9539559
32,1.0566294,1.0558106
33,1.0224797,1.0230658
34,0.9940641,0.99607176
35,0.97175926,0.9751933
36,0.9551281,0.96004856
37,0.9451271,0.9515625
38,0.94215167,0.9501308
39,0.9450927,0.9515347
40,0.94214696,0.95013285
41,0.94505835,0.95150685
42,0.9421423,0.95013493
43,0.9450241,0.95147914
44,0.9421378,0.950137
45,0.94498986,0.9514516
46,0.9421335,0.95013946
47,0.94495595,0.95142406
48,0.9421292,0.95014185
49,0.94492203,0.9513967
50,0.94212496,0.95014435
51,0.94488806,0.9513694
52,0.9421208,0.9501468
53,0.9448542,0.95134205
54,0.9421168,0.9501495
55,0.9448205,0.95131487
56,0.942113,0.95015234
57,0.9447869,0.9512878
58,0.9421092,0.9501553
59,0.94475335,0.9512607
60,0.94210535,0.9501581
61,0.9447199,0.95123386
62,0.9421022,0.9501616
63,0.94468707,0.95120764
64,0.9420989,0.95016515
65,0.9446543,0.9511813
66,0.942096,0.9501688
67,0.9446217,0.9511553
68,0.94209313,0.9501727
69,0.94458914,0.95112926
70,0.94209033,0.9501766
71,0.94455737,0.951104
72,0.9420877,0.95018053
73,0.94454145,0.9510911
74,0.94208497,0.95018095
75,0.94452566,0.95107824
76,0.9420824,0.9501814
77,0.9445098,0.9510653
78,0.94207984,0.95018184
79,0.94449395,0.95105255
80,0.9420773,0.95018244
81,0.94447815,0.9510397
82,0.9420747,0.950183
83,0.9444623,0.9510269
84,0.9420723,0.95018345
85,0.9444465,0.95101416
86,0.9420697,0.95018405
87,0.94443077,0.9510013
88,0.9420672,0.9501849
89,0.94441515,0.9509886
90,0.9420649,0.95018524
91,0.9443995,0.95097595
92,0.94206256,0.9501861
93,0.9443837,0.9509633
94,0.94206005,0.95018685
95,0.944368,0.9509506
96,0.9420577,0.9501875
97,0.9443524,0.950938
98,0.9420554,0.9501883
99,0.9443368,0.9509254
100,0.9420531,0.95018905
101,0.9443213,0.9509129
102,0.94205076,0.95018977
103,0.94430566,0.9509003
104,0.9420485,0.9501905
105,0.9442902,0.95088774
106,0.9420463,0.9501914
107,0.94427466,0.9508753
108,0.9420441,0.9501923
109,0.9442592,0.9508628
110,0.9420419,0.9501933
111,0.94424367,0.95085037
112,0.9420398,0.9501942
113,0.94422823,0.9508378
114,0.9420376,0.950195
115,0.9442128,0.95082545
116,0.94203544,0.950196
117,0.9441974,0.950813
118,0.9420334,0.9501971
119,0.94418204,0.9508007
120,0.94203126,0.9501981
121,0.94416666,0.95078826
122,0.94202936,0.9501991
123,0.94415134,0.95077604
124,0.9420274,0.95020026
125,0.944136,0.95076376
126,0.9420253,0.9502012
127,0.94412076,0.9507514
128,0.9420234,0.95020235
129,0.9441055,0.950739
130,0.9420214,0.95020354
131,0.94409025,0.950727
132,0.94201946,0.95020473
133,0.94407505,0.95071477
134,0.9420177,0.95020586
135,0.94405985,0.9507026
136,0.9420158,0.95020705
137,0.94404465,0.95069045
138,0.94201386,0.95020837
139,0.9440295,0.95067817
140,0.94201213,0.9502097
141,0.9440144,0.9506661
142,0.9420103,0.950211
143,0.9439993,0.95065403
144,0.9420085,0.9502122
145,0.9439843,0.950642
146,0.9420069,0.9502136
147,0.94397354,0.9506333
148,0.9420051,0.9502138
149,0.9439628,0.9506244
150,0.94200337,0.9502141
151,0.94395214,0.9506159
152,0.9420017,0.9502144
153,0.9439415,0.95060706
154,0.94200003,0.9502147
155,0.94393086,0.9505982
156,0.9419983,0.950215
157,0.94392014,0.95058954
158,0.94199663,0.9502154
159,0.9439095,0.9505809
160,0.941995,0.9502158
161,0.94389886,0.9505722
162,0.9419933,0.9502161
163,0.9438883,0.9505636
164,0.9419917,0.9502164
165,0.94387764,0.9505548
166,0.9419901,0.9502168
167,0.9438671,0.95054615
168,0.9419885,0.9502172
169,0.9438565,0.9505376
170,0.94198686,0.9502176
171,0.94384587,0.9505291
172,0.94198537,0.950218
173,0.9438354,0.9505202
174,0.9419837,0.95021844
175,0.94382477,0.9505117
176,0.94198245,0.9502192
177,0.94381416,0.95050305
178,0.94198096,0.95021963
179,0.94380367,0.9504944
180,0.9419794,0.9502202
181,0.9437931,0.9504859
182,0.9419779,0.95022064
183,0.9437826,0.9504774
184,0.9419764,0.9502211
185,0.9437721,0.9504688
186,0.94197494,0.95022166
187,0.94376165,0.95046014
188,0.94197345,0.950222
189,0.94375116,0.95045173
190,0.94197196,0.9502226
191,0.94374067,0.9504431
192,0.94197047,0.95022315
193,0.94373006,0.9504346
194,0.94196916,0.9502236
195,0.9437196,0.950426
196,0.94196767,0.95022434
197,0.9437093,0.9504176
198,0.9419663,0.9502249
199,0.9436988,0.950409
200,0.9419648,0.9502255
201,0.9436883,0.9504006
202,0.9419634,0.95022607
203,0.94367796,0.9503921
204,0.941962,0.95022666
205,0.9436675,0.95038366
206,0.9419606,0.95022726
207,0.9436571,0.95037514
208,0.94195926,0.95022786
209,0.9436467,0.95036674
210,0.94195795,0.9502286
211,0.94363636,0.9503584
212,0.9419566,0.9502293
213,0.943626,0.9503498
214,0.9419552,0.9502299
215,0.9436157,0.9503416
216,0.9419539,0.9502306
217,0.94360524,0.9503332
218,0.9419526,0.9502312
219,0.9435949,0.9503247
220,0.94195133,0.95023197
221,0.9435846,0.95031637
222,0.9419501,0.9502327
223,0.9435743,0.950308
224,0.9419488,0.9502333
225,0.9435639,0.9502996
226,0.94194746,0.9502341
227,0.9435536,0.95029134
228,0.9419463,0.9502349
229,0.9435433,0.95028293
230,0.941945,0.9502356
231,0.9435331,0.9502746
232,0.9419438,0.9502363
233,0.9435229,0.95026636
234,0.9419427,0.9502372
235,0.94351256,0.950258
236,0.9419414,0.95023793
237,0.94350237,0.9502498
238,0.9419402,0.9502387
239,0.9434921,0.95024145
240,0.94193906,0.9502397
241,0.94348186,0.9502331
242,0.9419378,0.9502403
243,0.9434717,0.95022494
244,0.9419367,0.9502413
245,0.9434615,0.9502167
246,0.94193554,0.9502421
247,0.9434513,0.9502085
248,0.9419344,0.95024294
249,0.9434412,0.95020026
250,0.94193333,0.9502437
251,0.943431,0.9501921
252,0.9419322,0.9502447
253,0.94342095,0.95018387
254,0.94193107,0.9502456
255,0.9434107,0.95017564
256,0.94193006,0.95024663
257,0.94340056,0.9501676
258,0.9419289,0.9502476
259,0.9433904,0.9501594
260,0.9419278,0.95024854
261,0.94338036,0.9501512
262,0.9419268,0.9502494
263,0.9433703,0.95014304
264,0.9419258,0.9502504
265,0.9433602,0.95013505
266,0.94192475,0.9502514
267,0.9433501,0.95012677
268,0.94192374,0.9502523
269,0.9433402,0.9501188
270,0.94192284,0.95025337
271,0.9433301,0.95011073
272,0.9419217,0.9502544
273,0.9433201,0.95010257
274,0.94192076,0.9502554
275,0.94330996,0.95009446
276,0.9419198,0.9502564
277,0.94329995,0.9500864
278,0.94191885,0.9502574
279,0.94329,0.95007837
280,0.94191796,0.9502585
281,0.9432799,0.9500703
282,0.941917,0.9502596
283,0.94327,0.9500623
284,0.94191605,0.95026064
285,0.94326,0.9500542
286,0.94191515,0.9502616
287,0.9432502,0.95004624
288,0.94191426,0.95026284
289,0.9432402,0.9500382
290,0.94191337,0.9502639
291,0.94323015,0.9500303
292,0.94191253,0.95026505
293,0.94322026,0.9500223
294,0.94191164,0.95026624
295,0.9432103,0.9500143
296,0.94191074,0.95026726
297,0.94320047,0.9500064
298,0.9419101,0.95026845
299,0.9431905,0.9499984
300,0.9419091,0.95026964
301,0.9417043,0.9499084
302,0.9437016,0.9503591
303,0.9431757,0.94998676
304,0.94190866,0.9502725
305,0.94170225,0.9499098
306,0.9436853,0.9503461
307,0.9431608,0.9499751
308,0.94190824,0.9502755
309,0.94170034,0.9499112
310,0.9436693,0.9503332
311,0.94314605,0.9499636
312,0.9419079,0.9502783
313,0.94169855,0.9499125
314,0.9436581,0.95032394
315,0.94313574,0.9499554
316,0.9419071,0.95027953
317,0.9416968,0.9499128
318,0.943647,0.9503149
319,0.9431256,0.9499472
320,0.9419062,0.9502808
321,0.94169503,0.94991297
322,0.94363594,0.9503058
323,0.9431154,0.94993913
324,0.94190544,0.9502821
325,0.94169325,0.9499134
326,0.9436249,0.95029676
327,0.9431053,0.9499309
328,0.94190466,0.95028335
329,0.9416915,0.9499136
330,0.9436139,0.95028776
331,0.94309515,0.94992286
332,0.9419038,0.95028454
333,0.9416897,0.949914
334,0.9436028,0.9502787
335,0.9430851,0.9499146
336,0.941903,0.95028573
337,0.94168794,0.9499142
338,0.94359183,0.95026976
339,0.94307494,0.9499066
340,0.9419023,0.95028716
