,training_loss,validation_loss
0,9.494991,9.497814
1,9.329053,9.331907
2,9.178818,9.181702
3,9.037485,9.040395
4,8.88735,8.890289
5,8.7265415,8.72951
6,8.556326,8.559324
7,8.369856,8.3728895
8,8.16456,8.167631
9,7.9367414,7.939855
10,7.6847425,7.6879034
11,7.406558,7.409773
12,7.097017,7.100291
13,6.752029,6.7553725
14,6.366704,6.3701262
15,5.9443555,5.947868
16,5.4866214,5.490234
17,4.9930067,4.996735
18,4.4656057,4.469464
19,3.910551,3.9145584
20,3.3382058,3.3423805
21,2.7641249,2.7684908
22,2.2120907,2.2166715
23,1.7125366,1.7173584
24,1.3044636,1.309554
25,1.0334959,1.0388799
26,0.94278806,0.9484841
27,1.0500824,1.0560913
28,1.3091675,1.315456
29,1.5978017,1.6042973
30,1.7838706,1.7904758
31,1.8085325,1.8151504
32,1.6937869,1.7003384
33,1.5011393,1.5075684
34,1.2946175,1.3008902
35,1.1211971,1.1272986
36,1.0051514,1.0110807
37,0.9500409,0.9558075
38,0.946229,0.95185024
39,0.9773471,0.98284435
40,1.0254494,1.0308471
41,1.0751454,1.0804683
42,1.115555,1.1208276
43,1.1404316,1.145676
44,1.1475247,1.1527613
45,1.1376914,1.1429386
46,1.1137608,1.1190354
47,1.0802125,1.0855286
48,1.042217,1.0475869
49,1.0051728,1.0106065
50,0.97402316,0.97952795
51,0.9526133,0.95819366
52,0.94301116,0.94866735
53,0.9450244,0.95075333
54,0.9558414,0.9616346
55,0.970398,0.976242
56,0.9832202,0.98909885
57,0.9904495,0.9963452
58,0.9905541,0.9964504
59,0.98408383,0.9899652
60,0.9735383,0.9793925
61,0.96187705,0.96769506
62,0.95180523,0.9575815
63,0.94511706,0.9508492
64,0.9424666,0.9481556
65,0.9434363,0.9490857
66,0.9467523,0.9523687
67,0.95070904,0.9563006
68,0.9538202,0.9593965
69,0.95524955,0.96081954
70,0.9548288,0.9604006
71,0.9529013,0.95848215
72,0.95008665,0.95568216
73,0.947094,0.95270824
74,0.94456345,0.9501993
75,0.942933,0.94859165
76,0.94237274,0.9480539
77,0.942773,0.9484749
78,0.94373965,0.9494585
79,0.9447535,0.95048386
80,0.94544613,0.95118314
81,0.9456454,0.95138437
82,0.9453515,0.9510879
83,0.9446898,0.9504201
84,0.9438617,0.94958246
85,0.94308466,0.94879395
86,0.9425378,0.94823414
87,0.9423271,0.9480101
88,0.94245756,0.9481273
89,0.9427489,0.94840837
90,0.94294554,0.94859964
91,0.9429401,0.94859344
92,0.94274634,0.94840235
93,0.942463,0.94812465
94,0.9422133,0.9478826
95,0.942102,0.94778025
96,0.94216377,0.9478502
97,0.9422803,0.947972
98,0.9422928,0.9479854
99,0.9421934,0.9478831
100,0.9420547,0.9477394
101,0.94194824,0.9476269
102,0.9419032,0.94757587
103,0.941906,0.94757366
104,0.9419213,0.9475854
105,0.9419173,0.94757926
106,0.9418769,0.9475385
107,0.9418068,0.9474696
108,0.9417276,0.9473928
109,0.9416668,0.9473358
110,0.9416427,0.94731575
111,0.94163615,0.94731206
112,0.9416101,0.94728625
113,0.9415607,0.94723547
114,0.9415041,0.9471762
115,0.94145405,0.94712317
116,0.9414153,0.94708115
117,0.94138294,0.9470471
118,0.941349,0.94701284
119,0.9413106,0.9469749
120,0.94126457,0.94693005
