,training_loss,validation_loss
0,9.912639,9.91541
1,9.7763405,9.779131
2,9.657596,9.660404
3,9.549816,9.552641
4,9.446924,9.449763
5,9.357792,9.360643
6,9.26719,9.270059
7,9.175714,9.1785965
8,9.095476,9.09837
9,9.013774,9.016683
10,8.929321,8.932243
11,8.842514,8.845452
12,8.749487,8.752442
13,8.652801,8.655774
14,8.5479555,8.550949
15,8.434603,8.437617
16,8.310059,8.313096
17,8.175205,8.1782675
18,8.032665,8.035754
19,7.8766584,7.879777
20,7.706199,7.709349
21,7.5211053,7.524291
22,7.3187213,7.3219457
23,7.098179,7.1014466
24,6.8581877,6.861503
25,6.597873,6.6012416
26,6.31654,6.3199663
27,6.01682,6.02031
28,5.6962624,5.6998234
29,5.3566036,5.360243
30,4.9983344,5.002062
31,4.619632,4.6234546
32,4.225241,4.2291713
33,3.8179922,3.8220406
34,3.4027731,3.4069533
35,2.9856102,2.9899366
36,2.5751038,2.5795918
37,2.181511,2.186177
38,1.8179911,1.822853
39,1.4968454,1.5019227
40,1.2361853,1.2414961
41,1.051097,1.0566581
42,0.95442396,0.96024746
43,0.9512198,0.95731014
44,1.0324169,1.0387647
45,1.170036,1.176613
46,1.3207947,1.327554
47,1.4402916,1.4471716
48,1.4992654,1.5061995
49,1.4908762,1.4978018
50,1.4269418,1.4338065
51,1.3289961,1.3357605
52,1.2198609,1.2264988
53,1.118332,1.124829
54,1.0366657,1.0430176
55,0.9804564,0.9866663
56,0.94985455,0.9559317
57,0.94123363,0.94719106
58,0.9489401,0.9547929
59,0.96675265,0.9725176
60,0.98890334,0.9945974
61,1.0106686,1.0163083
62,1.0286161,1.0342172
63,1.0406188,1.0461965
64,1.0457308,1.0512989
65,1.0439937,1.0495651
66,1.03622,1.0418059
67,1.0237701,1.029381
68,1.0083383,1.0139831
69,0.99174607,0.997432
70,0.9757472,0.9814803
71,0.96185094,0.967635
72,0.95117176,0.95700914
73,0.9443224,0.9502136
74,0.9413688,0.94731224
75,0.9418584,0.9478506
76,0.9449044,0.9509402
77,0.94935805,0.9554304
78,0.95404166,0.9601426
79,0.95793384,0.96405506
80,0.96030664,0.96643883
81,0.96083134,0.96696585
82,0.9595723,0.96570116
83,0.9569087,0.96302474
84,0.95340955,0.9595069
85,0.94969463,0.9557692
86,0.94631416,0.95236284
87,0.94366467,0.94968635
88,0.9419526,0.9479469
89,0.9411968,0.94716495
90,0.94127136,0.94721496
91,0.9419393,0.9478618
92,0.94291246,0.94881755
93,0.9439184,0.9498105
94,0.9447409,0.9506241
95,0.9452327,0.9511114
96,0.94533706,0.9512151
97,0.94507307,0.95095444
98,0.9445167,0.95040447
99,0.9437802,0.9496769
100,0.9429713,0.94887894
101,0.94221914,0.9481393
102,0.9416196,0.94755346
103,0.94123805,0.94718605
104,0.9411015,0.94706357
105,0.94119096,0.94716614
106,0.94142413,0.9474099
107,0.9416794,0.947673
108,0.94186944,0.94786763
109,0.94195503,0.9479551
110,0.94193447,0.947934
111,0.94182706,0.94782424
112,0.94166654,0.9476595
113,0.9414865,0.947474
114,0.9413162,0.9472976
115,0.94118035,0.9471551
116,0.9410965,0.9470643
117,0.9410737,0.9470344
118,0.94110733,0.94706166
119,0.94116765,0.94711715
120,0.9412128,0.9471594
121,0.9412259,0.9471718
122,0.9412105,0.94715714
123,0.94117755,0.9471258
124,0.9411386,0.947089
125,0.9411017,0.94705456
126,0.94107157,0.9470269
127,0.94105065,0.94700843
128,0.94103724,0.9469973
129,0.9410301,0.94699186
130,0.94102526,0.9469885
131,0.94102,0.9469845
132,0.94101244,0.94697785
133,0.94100255,0.946968
134,0.94099087,0.9469566
135,0.9409763,0.94694173
136,0.94095975,0.9469245
137,0.9409422,0.94690627
138,0.9409235,0.9468865
139,0.94090456,0.9468666
140,0.94088644,0.94684714
141,0.94086903,0.9468285
142,0.9408522,0.9468107
143,0.9408355,0.946793
144,0.94081795,0.94677514
145,0.9407992,0.9467558
146,0.9407787,0.9467356
147,0.9407587,0.9467161
148,0.94073707,0.94669515
149,0.9407155,0.9466743
150,0.9406939,0.94665354
151,0.94067264,0.94663286
152,0.940651,0.946612
153,0.94062847,0.94658965
154,0.94060475,0.94656605
155,0.94057995,0.94654125
156,0.9405546,0.94651544
157,0.94052905,0.9464894
158,0.9405033,0.9464633
159,0.9404774,0.94643694
160,0.94045067,0.94641024
161,0.9404229,0.9463829
162,0.9403942,0.9463547
163,0.9403648,0.946326
164,0.9403351,0.9462973
165,0.940305,0.94626796
166,0.94027454,0.9462382
167,0.9402431,0.9462073
168,0.940211,0.9461755
169,0.94017804,0.9461427
170,0.94014466,0.9461093
171,0.940111,0.9460757
172,0.94007653,0.9460415
173,0.94004124,0.94600683
174,0.9400053,0.94597167
175,0.9399687,0.945936
176,0.9399317,0.94589984
177,0.9398941,0.94586307
178,0.93985564,0.9458252
179,0.9398165,0.94578654
180,0.9397766,0.94574696
181,0.939736,0.94570696
182,0.9396946,0.94566613
183,0.9396523,0.94562477
184,0.93960917,0.94558257
185,0.93956506,0.94553953
186,0.9395199,0.94549537
187,0.93947357,0.94544977
188,0.93942595,0.9454026
189,0.9393772,0.9453544
190,0.9393271,0.9453053
191,0.9392749,0.94525415
192,0.9392214,0.94520175
193,0.9391661,0.9451475
194,0.9391093,0.9450915
195,0.93905324,0.945035
196,0.9389947,0.94497734
197,0.93893284,0.94491786
198,0.9388713,0.9448588
199,0.93880576,0.9447934
200,0.93873924,0.94472635
201,0.9386696,0.9446576
202,0.93859833,0.9445889
203,0.9385226,0.94451416
204,0.9384462,0.9444382
205,0.9383668,0.9443601
206,0.9382843,0.9442795
207,0.93819875,0.94419485
208,0.93811,0.9441066
209,0.9380178,0.94401586
210,0.93792266,0.9439228
211,0.9378242,0.9438245
212,0.93772167,0.94372356
213,0.93761545,0.9436193
214,0.9375051,0.9435091
215,0.9373904,0.94339657
216,0.93727183,0.9432794
217,0.93714935,0.94315726
218,0.93702227,0.94303286
219,0.9368907,0.94290125
220,0.9367542,0.9427674
221,0.9366128,0.9426268
222,0.9364663,0.9424823
223,0.93631434,0.9423318
224,0.93615735,0.9421765
225,0.9359948,0.9420153
226,0.9358267,0.9418494
227,0.935654,0.9416763
228,0.9354785,0.9415069
229,0.9353298,0.9413492
230,0.9351371,0.94116956
231,0.93496,0.9409924
232,0.9348031,0.94082797
233,0.9346052,0.9406385
234,0.9344391,0.9404779
235,0.9342523,0.9402829
236,0.9340569,0.9400909
237,0.9338791,0.9399218
238,0.93366885,0.939706
239,0.93347615,0.9395122
240,0.9332712,0.9393165
241,0.93305266,0.93909556
242,0.93284553,0.9388853
243,0.93261975,0.93866706
244,0.9323897,0.9384368
245,0.9321628,0.9382062
246,0.93191946,0.9379702
247,0.9316693,0.9377188
248,0.9314198,0.93746704
249,0.9311605,0.93721485
250,0.93088967,0.9369393
251,0.93061125,0.9366647
252,0.93032813,0.9363835
253,0.93003947,0.9360906
