,training_loss,validation_loss
0,7.7456875,7.748821
1,7.7448225,7.7479568
2,7.743958,7.7470922
3,7.743094,7.7462287
4,7.7422304,7.7453647
5,7.741368,7.7445016
6,7.7405047,7.743639
7,7.7396417,7.742777
8,7.7387795,7.7419143
9,7.7379174,7.7410526
10,7.737056,7.740191
11,7.7361946,7.7393293
12,7.7353334,7.738469
13,7.7344728,7.7376094
14,7.733613,7.7367477
15,7.7327523,7.7358885
16,7.7318935,7.735029
17,7.731034,7.734171
18,7.7301755,7.7333126
19,7.729317,7.7324533
20,7.7284584,7.7315955
21,7.7276015,7.7307386
22,7.726744,7.7298813
23,7.7258873,7.7290244
24,7.7250304,7.7281685
25,7.7241745,7.7273126
26,7.7233195,7.726457
27,7.722464,7.725601
28,7.7216096,7.7247477
29,7.720755,7.723892
30,7.7199006,7.7230387
31,7.719047,7.722185
32,7.7181945,7.7213335
33,7.7173405,7.7204795
34,7.7164884,7.719628
35,7.7156363,7.7187757
36,7.7147846,7.7179246
37,7.7139344,7.7170734
38,7.7130833,7.716223
39,7.7122335,7.7153726
40,7.711383,7.714524
41,7.7105336,7.7136736
42,7.709685,7.7128253
43,7.708836,7.7119765
44,7.707988,7.7111287
45,7.70714,7.710282
46,7.706293,7.7094345
47,7.7054453,7.7085867
48,7.704599,7.707741
49,7.703753,7.7068944
50,7.702907,7.706049
51,7.7020617,7.7052045
52,7.701217,7.7043595
53,7.700372,7.703515
54,7.6995277,7.702671
55,7.6986847,7.701827
56,7.6978416,7.700984
57,7.696999,7.700143
58,7.6961565,7.6993
59,7.695315,7.698458
60,7.6944733,7.697616
61,7.693632,7.6967754
62,7.692791,7.6959352
63,7.6919503,7.6950955
64,7.6911116,7.694255
65,7.6902714,7.6934156
66,7.6894317,7.6925764
67,7.688594,7.691738
68,7.687755,7.6909
69,7.686918,7.6900625
70,7.68608,7.6892247
71,7.685243,7.6883883
72,7.684407,7.6875525
73,7.6835704,7.6867156
74,7.682735,7.6858797
75,7.681899,7.6850452
76,7.681064,7.6842093
77,7.680229,7.6833754
78,7.6793947,7.682541
79,7.678561,7.6817083
80,7.6777277,7.6808753
81,7.676895,7.6800413
82,7.676062,7.679209
83,7.6752295,7.678377
84,7.6743984,7.6775446
85,7.6735663,7.6767144
86,7.672735,7.6758823
87,7.6719046,7.675053
88,7.6710744,7.674222
89,7.670245,7.6733923
90,7.669415,7.672563
91,7.6685863,7.6717353
92,7.667757,7.6709065
93,7.666929,7.670078
94,7.6661005,7.66925
95,7.665273,7.6684227
96,7.664446,7.667596
97,7.6636195,7.6667695
98,7.662793,7.6659427
99,7.661967,7.6651173
100,7.661142,7.6642914
101,7.660317,7.663467
102,7.659492,7.6626415
103,7.658667,7.6618176
104,7.657843,7.6609936
105,7.6570187,7.660169
106,7.656195,7.659347
107,7.655373,7.658524
108,7.6545496,7.6577015
109,7.653728,7.6568794
110,7.652906,7.656059
111,7.6520844,7.6552362
112,7.6512628,7.6544156
113,7.650443,7.6535945
114,7.649622,7.6527743
115,7.6488023,7.6519547
116,7.647983,7.651136
117,7.6471634,7.6503167
118,7.646345,7.6494985
119,7.6455264,7.648679
120,7.644708,7.647862
121,7.643891,7.6470437
122,7.6430726,7.6462264
123,7.642256,7.6454096
124,7.641439,7.6445937
125,7.6406226,7.6437774
126,7.6398067,7.6429605
127,7.638991,7.6421456
128,7.6381755,7.6413307
129,7.6373615,7.6405163
130,7.6365466,7.6397023
131,7.635733,7.638888
132,7.634919,7.6380754
133,7.634106,7.6372604
134,7.6332936,7.636449
135,7.632481,7.635637
136,7.6316686,7.634825
137,7.6308575,7.634013
138,7.630046,7.6332016
139,7.6292357,7.6323915
140,7.6284246,7.6315813
141,7.6276145,7.630771
142,7.626805,7.6299615
143,7.625996,7.6291523
144,7.6251874,7.6283436
145,7.6243787,7.627536
146,7.6235704,7.626728
147,7.6227636,7.6259203
148,7.621957,7.625114
149,7.62115,7.624307
150,7.6203437,7.623502
151,7.619538,7.6226964
152,7.618733,7.621891
153,7.6179285,7.6210856
154,7.6171236,7.620282
155,7.6163197,7.619478
156,7.6155167,7.6186743
157,7.6147137,7.6178713
158,7.6139107,7.61707
159,7.6131086,7.616268
160,7.6123075,7.6154656
161,7.6115065,7.6146655
162,7.610706,7.6138654
163,7.609906,7.6130657
164,7.609106,7.612266
165,7.6083074,7.611468
166,7.607509,7.610669
167,7.606711,7.609872
168,7.6059136,7.6090746
169,7.6051164,7.608277
170,7.6043205,7.6074815
171,7.603525,7.6066856
172,7.6027293,7.6058917
173,7.601936,7.605097
174,7.6011415,7.6043034
175,7.600348,7.6035094
176,7.599555,7.602717
177,7.5987625,7.601925
178,7.5979705,7.6011343
179,7.5971804,7.600343
180,7.59639,7.599553
181,7.5955997,7.598764
182,7.594811,7.5979743
183,7.5940223,7.597186
184,7.5932336,7.5963974
185,7.592446,7.5956116
186,7.5916586,7.594825
187,7.5908723,7.5940375
188,7.590087,7.593253
189,7.5893016,7.592468
190,7.5885167,7.5916834
191,7.5877333,7.5909
192,7.586949,7.590117
193,7.5861664,7.589334
194,7.585384,7.588552
195,7.5846024,7.58777
196,7.583821,7.5869894
197,7.5830407,7.5862093
198,7.58226,7.5854297
199,7.5814815,7.58465
200,7.580702,7.583872
201,7.5799236,7.5830936
202,7.5791464,7.582316
203,7.578369,7.581539
204,7.5775924,7.580763
205,7.576816,7.579988
206,7.5760407,7.5792117
207,7.5752654,7.578438
208,7.5744915,7.5776634
209,7.5737166,7.5768895
210,7.5729437,7.576117
211,7.572171,7.575344
212,7.571399,7.5745726
213,7.570627,7.5738006
214,7.569856,7.57303
215,7.569087,7.57226
216,7.568317,7.571491
217,7.5675497,7.570723
218,7.566782,7.569956
219,7.566015,7.5691895
220,7.56525,7.568425
221,7.564485,7.5676603
222,7.563721,7.5668964
223,7.5629582,7.566134
224,7.5621963,7.5653725
225,7.561436,7.5646124
226,7.560676,7.563852
227,7.5599174,7.563094
228,7.5591598,7.562337
229,7.5584025,7.5615788
230,7.5576463,7.5608234
231,7.55689,7.5600677
232,7.556134,7.5593123
233,7.555379,7.5585575
234,7.554625,7.5578027
235,7.553872,7.5570507
236,7.5531187,7.5562973
237,7.552367,7.555546
238,7.5516157,7.5547953
239,7.5508657,7.5540447
240,7.550117,7.5532956
241,7.549368,7.552548
242,7.54862,7.5518003
243,7.547873,7.551053
244,7.547127,7.550307
245,7.5463815,7.549561
246,7.5456367,7.5488167
247,7.5448914,7.548073
248,7.5441494,7.54733
249,7.543406,7.5465875
250,7.5426645,7.545846
251,7.5419245,7.545105
252,7.541184,7.544366
253,7.5404434,7.5436244
254,7.539705,7.5428867
255,7.538967,7.542149
256,7.5382295,7.541411
257,7.537493,7.5406747
258,7.5367556,7.5399384
259,7.5360203,7.539203
260,7.535285,7.538468
261,7.5345507,7.537734
262,7.5338173,7.537
263,7.533084,7.536267
264,7.532352,7.535536
265,7.5316195,7.5348024
266,7.5308886,7.534071
267,7.530158,7.5333414
268,7.5294275,7.5326114
269,7.528698,7.531882
270,7.5279694,7.5311537
271,7.527241,7.5304255
272,7.5265136,7.529697
273,7.5257854,7.52897
274,7.525059,7.528243
275,7.524333,7.5275173
276,7.5236073,7.5267906
277,7.522881,7.526066
278,7.522157,7.5253406
279,7.521432,7.524617
280,7.5207086,7.523894
281,7.5199847,7.5231705
282,7.519262,7.522447
283,7.518539,7.5217257
284,7.5178175,7.5210037
285,7.5170956,7.520282
286,7.5163746,7.5195603
287,7.515654,7.51884
288,7.5149336,7.51812
289,7.5142136,7.5174
290,7.5134935,7.516681
291,7.512774,7.5159616
292,7.5120554,7.5152426
293,7.5113363,7.514524
294,7.510618,7.5138054
295,7.5099006,7.513088
296,7.5091825,7.5123706
297,7.5084653,7.511653
298,7.5077477,7.5109367
299,7.507032,7.5102205
300,7.5063157,7.5095034
301,7.505599,7.508788
302,7.5048833,7.508073
303,7.504168,7.5073576
304,7.503453,7.5066423
305,7.502738,7.5059285
306,7.502023,7.5052123
307,7.5013084,7.5044985
308,7.500594,7.503784
309,7.49988,7.5030704
310,7.4991665,7.5023565
311,7.4984536,7.5016437
312,7.49774,7.50093
313,7.4970264,7.500217
314,7.496313,7.499505
315,7.495601,7.4987926
316,7.4948883,7.49808
317,7.494177,7.4973683
318,7.4934645,7.4966555
319,7.4927526,7.495944
320,7.4920416,7.495233
321,7.4913297,7.4945216
322,7.490618,7.49381
323,7.4899073,7.4930997
324,7.4891963,7.4923882
325,7.4884863,7.4916787
326,7.4877753,7.490968
327,7.4870667,7.4902587
328,7.4863563,7.4895496
329,7.485646,7.488839
330,7.4849367,7.48813
331,7.484226,7.4874196
332,7.483518,7.4867125
333,7.482809,7.4860024
334,7.4821,7.4852943
335,7.4813914,7.484586
336,7.480682,7.4838767
337,7.4799747,7.4831686
338,7.4792666,7.4824605
339,7.4785585,7.4817533
340,7.4778504,7.4810457
341,7.4771433,7.4803386
342,7.476436,7.4796314
343,7.475729,7.478924
344,7.4750214,7.4782166
345,7.474315,7.477511
346,7.4736075,7.476804
347,7.4729023,7.476098
348,7.472196,7.4753914
349,7.4714904,7.4746866
350,7.470783,7.47398
351,7.4700775,7.4732738
352,7.4693723,7.4725685
353,7.468667,7.4718637
354,7.4679627,7.471159
355,7.4672565,7.4704537
356,7.4665523,7.469749
357,7.4658475,7.469045
358,7.4651437,7.46834
359,7.464438,7.467636
360,7.4637346,7.466932
361,7.463031,7.4662285
362,7.4623265,7.4655247
363,7.4616227,7.4648213
364,7.4609203,7.464119
365,7.460217,7.4634147
366,7.4595146,7.462713
367,7.4588113,7.46201
368,7.4581084,7.461307
