,training_loss,testing_loss,learning_rate
0,19.591534,19.572784,0.001
1,14.546064,14.535473,0.001
2,1.3249813,1.2941294,0.001
3,1.2170528,1.1827269,0.001
4,2.107277,2.1006095,0.001
5,1.1260439,1.0836228,0.001
6,0.82849497,0.8048532,0.001
7,0.79957247,0.7852753,0.001
8,0.75365573,0.72567445,0.001
9,0.69652593,0.68554246,0.001
10,0.6713607,0.64916813,0.001
11,0.6462608,0.63095,0.001
12,0.6398761,0.61901337,0.001
13,0.63111097,0.6131141,0.001
14,0.62452585,0.60683084,0.001
15,0.6179198,0.60000956,0.001
16,0.60789627,0.59017706,0.001
17,0.5892166,0.57156277,0.001
18,0.5462526,0.5282783,0.001
19,0.43884996,0.41990957,0.001
20,0.28028953,0.2593515,0.001
21,0.25649333,0.23842649,0.001
22,0.23847651,0.22358936,0.001
23,0.23528472,0.22025765,0.001
24,0.2259881,0.21372183,0.001
25,0.22377047,0.21197341,0.001
26,0.21829796,0.2077234,0.001
27,0.21456955,0.20456569,0.001
28,0.2098665,0.20086317,0.001
29,0.20540066,0.19692233,0.001
30,0.19999799,0.19230422,0.001
31,0.19386709,0.18776959,0.001
32,0.18650687,0.18190697,0.001
33,0.17804779,0.17556018,0.001
34,0.1696632,0.16870749,0.001
35,0.16043516,0.1604477,0.001
36,0.15069713,0.15224548,0.001
37,0.14141604,0.14383663,0.001
38,0.13381465,0.13700029,0.001
39,0.12732948,0.13174444,0.001
40,0.12282899,0.12871309,0.001
41,0.11962445,0.12672243,0.001
42,0.11079266,0.11806111,0.001
43,0.10257131,0.10936159,0.001
44,0.09587381,0.10337659,0.001
45,0.08976721,0.09800331,0.001
46,0.0841037,0.09217746,0.001
47,0.07837334,0.08603542,0.001
48,0.07288591,0.07994387,0.001
49,0.068388246,0.07483269,0.001
50,0.06529876,0.07117937,0.001
51,0.06346807,0.06889271,0.001
52,0.061551303,0.06630607,0.001
53,0.057092827,0.061517775,0.001
54,0.05150583,0.05588249,0.001
55,0.048029985,0.052292865,0.001
56,0.04626192,0.0502122,0.001
57,0.04500778,0.048671678,0.001
58,0.043580655,0.04726143,0.001
59,0.04229412,0.046020962,0.001
60,0.041258205,0.045049537,0.001
61,0.040496964,0.044319417,0.001
62,0.040077165,0.043756522,0.001
63,0.04040843,0.04385163,0.001
64,0.041547284,0.044619784,0.001
65,0.04283627,0.045639828,0.001
66,0.043035146,0.045766067,0.001
67,0.04151846,0.044388857,0.001
68,0.039369587,0.042460285,0.001
69,0.037987046,0.041161187,0.001
70,0.0373513,0.040527333,0.001
71,0.03715536,0.040230572,0.001
72,0.037152383,0.040135805,0.001
73,0.037158012,0.040041603,0.001
74,0.037148017,0.03992651,0.001
75,0.03720706,0.039896954,0.001
76,0.03725552,0.039856393,0.001
77,0.037187815,0.03973721,0.001
78,0.036903247,0.03942732,0.001
79,0.03665916,0.03917122,0.001
80,0.036331844,0.03887235,0.001
81,0.03598414,0.038537215,0.001
82,0.03567942,0.03821852,0.001
83,0.035323825,0.037869465,0.001
84,0.035012186,0.03754018,0.001
85,0.034717005,0.037230633,0.001
86,0.03447632,0.036962267,0.001
87,0.03429934,0.036726546,0.001
88,0.034141414,0.036525756,0.001
89,0.033998836,0.036335252,0.001
90,0.03345028,0.035791587,0.001
91,0.03331339,0.035592448,0.001
92,0.033431064,0.035572845,0.001
93,0.033458114,0.035495248,0.001
94,0.03355599,0.035497088,0.001
95,0.033588674,0.035440374,0.001
96,0.033422567,0.03523259,0.001
97,0.033213895,0.03496313,0.001
98,0.032905206,0.03461301,0.001
99,0.032554608,0.034242965,0.001
100,0.03221926,0.03384044,0.001
101,0.031519517,0.033114992,0.001
102,0.03114323,0.032676615,0.001
103,0.030713899,0.032192767,0.001
104,0.030177228,0.03164025,0.001
105,0.029630994,0.031072618,0.001
106,0.029047139,0.030504214,0.001
107,0.028482564,0.029932873,0.001
108,0.027912706,0.029352885,0.001
109,0.027347026,0.028803768,0.001
110,0.026849564,0.028327448,0.001
111,0.026409212,0.027941931,0.001
112,0.02606091,0.027651524,0.001
113,0.025818853,0.027435921,0.001
114,0.025589503,0.027137877,0.001
115,0.025396187,0.02682898,0.001
116,0.025199313,0.026536487,0.001
117,0.025015853,0.02621743,0.001
118,0.0248145,0.025927734,0.001
119,0.024608532,0.025628697,0.001
120,0.02451106,0.025312332,0.001
121,0.024193145,0.025070056,0.001
122,0.02415566,0.024775105,0.001
123,0.023891062,0.024506822,0.001
124,0.023829872,0.024262011,0.001
125,0.023685006,0.024022253,0.001
126,0.02359591,0.02382892,0.001
127,0.023554198,0.023688892,0.001
128,0.023414712,0.023488048,0.001
129,0.023370892,0.023343123,0.001
130,0.023357388,0.023268117,0.001
131,0.023456192,0.023325246,0.001
132,0.023708407,0.023504887,0.001
133,0.023814287,0.023560897,0.001
134,0.023774121,0.023468446,0.001
135,0.02388106,0.023531036,0.001
136,0.024307383,0.023868505,0.001
137,0.024670511,0.024190152,0.001
138,0.024954047,0.024407374,0.001
139,0.024401579,0.023886494,0.001
140,0.023249013,0.022824548,0.001
141,0.0227168,0.022340778,0.001
142,0.022855222,0.022405434,0.001
143,0.023490611,0.02292152,0.001
144,0.025167525,0.024441011,0.001
145,0.026217595,0.025487125,0.001
146,0.022540567,0.022107432,0.001
147,0.020517392,0.020628043,0.001
148,0.020520283,0.020524481,0.001
149,0.021113956,0.020800678,0.001
150,0.023167888,0.022562826,0.001
151,0.028768178,0.02792615,0.001
152,0.021813998,0.021511232,0.001
153,0.020440422,0.021168461,0.001
154,0.020106087,0.020066686,0.001
155,0.022001762,0.021518087,0.001
156,0.022772206,0.02226298,0.001
157,0.02148722,0.021059586,0.001
158,0.020623852,0.020298246,0.001
159,0.020465534,0.020113705,0.001
160,0.020905608,0.020494519,0.001
161,0.022554552,0.022004658,0.001
162,0.024635188,0.023958955,0.001
163,0.021573517,0.021196576,0.001
164,0.018984335,0.019068474,0.001
165,0.01886319,0.019010257,0.001
166,0.019128073,0.01901481,0.001
167,0.020056106,0.019713257,0.001
168,0.024810173,0.024107607,0.001
169,0.02481922,0.024235453,0.001
170,0.018567,0.019167054,0.001
171,0.018674823,0.0190914,0.001
172,0.019361533,0.019080333,0.001
173,0.021227363,0.020743057,0.001
174,0.021351023,0.020914638,0.001
175,0.02002797,0.019680316,0.001
176,0.019320156,0.019087892,0.001
177,0.01929679,0.019047588,0.001
178,0.019853167,0.019565456,0.001
