,training_loss,validation_loss
0,0.69017047,0.6914192
1,0.68809175,0.6897109
2,0.68945813,0.6911375
3,0.6867258,0.68836325
4,0.68629974,0.6878101
5,0.68777275,0.689159
6,0.6876539,0.6889967
7,0.6863962,0.68778723
8,0.6860453,0.68750954
9,0.686751,0.688296
10,0.6871096,0.6886956
11,0.686602,0.68819207
12,0.68603027,0.68758357
13,0.6861083,0.687591
14,0.6865329,0.6879549
15,0.6865899,0.6879761
16,0.6862121,0.6875951
17,0.6859622,0.6873734
18,0.68610543,0.6875704
19,0.6863379,0.68784934
20,0.68628657,0.6878194
21,0.6860427,0.6875692
22,0.68595386,0.68744165
23,0.68608075,0.6875289
24,0.68618804,0.6875975
25,0.6861013,0.6874889
26,0.6859585,0.68734765
27,0.685957,0.687366
28,0.68605155,0.6874977
29,0.6860723,0.6875488
30,0.6859877,0.687476
31,0.6859273,0.68740374
32,0.6859592,0.6874136
33,0.68600565,0.6874308
34,0.68598145,0.68738097
35,0.68592453,0.6873132
36,0.6859196,0.68731433
37,0.68595356,0.6873713
38,0.68595517,0.687399
39,0.6859204,0.68738025
40,0.6859026,0.6873627
41,0.6859182,0.68736446
42,0.68592674,0.6873512
43,0.6859078,0.6873102
44,0.6858913,0.687282
45,0.6858975,0.68729264
46,0.6859047,0.68731874
47,0.6858931,0.687329
48,0.68588,0.6873302
49,0.6858819,0.6873327
50,0.68588656,0.68732566
51,0.6858785,0.6873001
52,0.6858686,0.68727463
53,0.6858693,0.68727034
54,0.68587154,0.6872805
55,0.6858648,0.68728983
56,0.68585724,0.6872963
57,0.68585724,0.6873006
58,0.68585783,0.687295
59,0.68585175,0.68727636
60,0.6858461,0.6872576
61,0.68584615,0.6872512
62,0.6858453,0.6872547
63,0.68583953,0.6872605
64,0.6858352,0.6872678
65,0.6858345,0.68727213
66,0.6858327,0.687267
67,0.685828,0.6872544
68,0.6858248,0.6872425
69,0.68582356,0.68723595
70,0.68582076,0.6872341
71,0.6858167,0.6872357
72,0.6858145,0.68724006
73,0.6858129,0.6872408
74,0.6858096,0.6872343
75,0.6858061,0.6872239
76,0.68580395,0.68721586
77,0.68580157,0.6872121
78,0.6857979,0.6872126
79,0.6857947,0.68721575
80,0.68579257,0.6872188
81,0.68579,0.68721616
82,0.6857865,0.68720776
83,0.68578386,0.68719906
84,0.68578154,0.6871933
85,0.6857786,0.6871908
86,0.6857755,0.68719095
87,0.68577284,0.687192
88,0.6857703,0.6871915
89,0.6857673,0.68718606
90,0.68576443,0.6871781
91,0.6857618,0.687172
92,0.68575895,0.6871683
93,0.68575597,0.68716747
94,0.6857532,0.68716806
95,0.6857504,0.6871666
96,0.6857474,0.68716204
97,0.6857446,0.68715703
98,0.6857418,0.6871525
99,0.6857389,0.68714905
100,0.6857359,0.6871458
101,0.6857333,0.68714345
102,0.6857304,0.6871405
103,0.68572754,0.6871368
104,0.6857246,0.6871336
105,0.68572176,0.6871304
106,0.6857188,0.68712693
107,0.685716,0.68712413
108,0.685713,0.6871211
109,0.68571025,0.68711823
110,0.68570745,0.6871139
111,0.6857043,0.6871092
112,0.6857015,0.68710524
113,0.68569857,0.68710256
114,0.6856956,0.68710005
115,0.6856927,0.6870977
116,0.6856899,0.68709403
117,0.6856869,0.6870895
118,0.6856837,0.6870858
119,0.68568105,0.6870825
120,0.6856781,0.6870796
121,0.68567497,0.68707645
122,0.68567204,0.6870738
123,0.6856692,0.68707025
124,0.68566614,0.6870661
125,0.68566316,0.6870629
126,0.6856602,0.6870592
127,0.6856572,0.68705624
128,0.6856541,0.6870528
129,0.6856512,0.68704873
130,0.6856482,0.6870448
131,0.6856451,0.68704325
132,0.68564224,0.687041
133,0.6856392,0.68703693
134,0.6856361,0.6870332
135,0.6856331,0.6870292
136,0.68563014,0.68702585
137,0.68562704,0.68702304
138,0.68562406,0.6870201
139,0.68562096,0.6870173
140,0.68561786,0.6870127
141,0.68561476,0.68700767
142,0.68561184,0.6870039
143,0.6856086,0.68700236
144,0.68560565,0.6870004
145,0.68560255,0.6869963
146,0.6855993,0.68699086
147,0.6855964,0.6869865
148,0.6855932,0.6869857
149,0.68559015,0.6869838
150,0.685587,0.68697935
151,0.68558383,0.68697387
152,0.6855806,0.68696964
153,0.6855774,0.68696684
154,0.6855744,0.6869645
155,0.685571,0.68696135
156,0.68556774,0.68695825
157,0.6855646,0.68695503
158,0.68556154,0.68695194
159,0.68555814,0.68694854
160,0.68555474,0.6869449
161,0.6855516,0.6869397
162,0.6855481,0.68693566
163,0.68554467,0.68693334
164,0.6855413,0.6869307
165,0.68553793,0.68692786
166,0.6855344,0.6869244
167,0.68553096,0.68692046
168,0.68552786,0.6869156
169,0.68552434,0.68691283
170,0.6855208,0.6869114
171,0.6855175,0.6869087
172,0.68551415,0.6869045
173,0.6855106,0.6868996
174,0.68550736,0.6868959
175,0.685504,0.68689376
176,0.6855003,0.68689114
177,0.6854969,0.6868862
178,0.6854935,0.68688023
179,0.68548995,0.6868759
180,0.68548673,0.6868735
181,0.6854832,0.6868702
182,0.68547964,0.6868659
183,0.68547624,0.68686134
184,0.68547267,0.6868574
185,0.6854691,0.68685305
186,0.6854655,0.68684894
187,0.68546194,0.686846
188,0.6854583,0.68684274
189,0.68545485,0.686837
190,0.68545127,0.6868307
191,0.6854476,0.6868269
192,0.6854441,0.68682593
193,0.68544036,0.6868248
194,0.6854367,0.68682
195,0.685433,0.6868134
196,0.68542933,0.6868082
197,0.6854257,0.68680567
198,0.68542206,0.6868036
199,0.68541837,0.6867991
200,0.6854147,0.686794
201,0.6854109,0.6867894
202,0.6854072,0.68678546
203,0.68540347,0.6867836
204,0.6853997,0.68677956
205,0.6853959,0.6867728
206,0.6853922,0.68676776
207,0.68538845,0.6867659
208,0.68538463,0.6867618
209,0.6853809,0.68675584
210,0.685377,0.6867526
